setup,macro,threshold,entry_time,flow_column,ret_bps,flow_threshold,all_windows_ge_50,min_window_tpy,full_tpy,full_count,limited_10pct_tpy,limited_10pct_count,wfa90_tpy,wfa90_count,latest1y_tpy,latest1y_count
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large10_signed_volume,0,0,True,56.04,62.02,957,90.02,139,61.79,858,56.04,56
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large10_signed_volume,0,50,True,55.04,61.63,951,90.02,139,61.5,854,55.04,55
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large10_signed_volume,0,100,True,54.04,60.98,941,90.02,139,60.85,845,54.04,54
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large10_signed_volume,1,0,True,54.04,60.08,927,87.43,135,59.84,831,54.04,54
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large10_signed_volume,2,0,True,54.04,58.71,906,84.19,130,58.4,811,54.04,54
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large10_signed_volume,1,50,True,53.04,59.69,921,87.43,135,59.55,827,53.04,53
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large10_signed_volume,2,50,True,53.04,58.33,900,84.19,130,58.11,807,53.04,53
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large10_signed_volume,1,100,True,52.04,59.04,911,87.43,135,58.91,818,52.04,52
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large10_signed_volume,2,100,True,52.04,57.68,890,84.19,130,57.47,798,52.04,52
core_pressure,core_vs_headline_rank_120m,0.4,10:30:00,large10_signed_volume,0,0,True,52.04,57.68,890,90.02,139,57.25,795,52.04,52
core_pressure,core_vs_headline_rank_120m,0.4,10:30:00,large10_signed_volume,0,50,True,51.03,57.35,885,90.02,139,57.03,792,51.03,51
core_pressure,core_vs_headline_rank_120m,0.4,10:30:00,large10_signed_volume,0,100,True,50.03,56.77,876,90.02,139,56.46,784,50.03,50
core_pressure,core_vs_headline_rank_120m,0.4,10:30:00,large10_signed_volume,1,0,True,50.03,55.73,860,87.43,135,55.31,768,50.03,50
core_pressure,core_vs_headline_rank_120m,0.4,10:30:00,large10_signed_volume,2,0,True,50.03,54.44,840,84.19,130,53.94,749,50.03,50
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large20_signed_volume,0,0,True,57.04,59.95,925,81.6,126,59.05,820,57.04,57
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large20_signed_volume,0,50,True,55.04,59.43,917,80.3,124,58.62,814,55.04,55
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large20_signed_volume,1,0,True,55.04,58.13,897,80.3,124,57.39,797,55.04,55
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large20_signed_volume,2,0,True,55.04,56.9,878,78.36,121,56.1,779,55.04,55
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large20_signed_volume,1,50,True,53.04,57.68,890,79.66,123,57.03,792,53.04,53
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large20_signed_volume,2,50,True,53.04,56.45,871,77.71,120,55.74,774,53.04,53
core_pressure,core_vs_headline_rank_120m,0.4,10:30:00,large20_signed_volume,0,0,True,53.04,56.06,865,81.6,126,55.02,764,53.04,53
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large20_signed_volume,0,100,True,52.04,58.91,909,80.3,124,58.33,810,52.04,52
core_pressure,core_vs_headline_rank_120m,0.4,10:30:00,large20_signed_volume,0,50,True,51.03,55.54,857,80.3,124,54.59,758,51.03,51
core_pressure,core_vs_headline_rank_120m,0.4,10:30:00,large20_signed_volume,1,0,True,51.03,54.24,837,80.3,124,53.36,741,51.03,51
core_pressure,core_vs_headline_rank_120m,0.4,10:30:00,large20_signed_volume,2,0,True,51.03,53.14,820,78.36,121,52.21,725,51.03,51
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large20_signed_volume,1,100,True,50.03,57.16,882,79.66,123,56.75,788,50.03,50
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,large20_signed_volume,2,100,True,50.03,55.93,863,77.71,120,55.45,770,50.03,50
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,signed_volume,0,0,True,63.04,71.74,1107,97.14,150,71.65,995,63.04,63
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,signed_volume,1,0,True,62.04,69.99,1080,93.9,145,69.78,969,62.04,62
core_pressure,core_vs_headline_rank_120m,0.35,10:30:00,signed_volume,2,0,True,60.04,68.11,1051,89.37,138,67.91,943,60.04,60
core_pressure,core_vs_headline_rank_120m,0.4,10:30:00,signed_volume,0,0,True,58.04,67.07,1035,97.14,150,66.83,928,58.04,58
core_pressure,core_vs_headline_rank_120m,0.4,10:30:00,signed_volume,1,0,True,57.04,65.33,1008,93.9,145,64.96,902,57.04,57
core_pressure,core_vs_headline_rank_120m,0.4,10:30:00,signed_volume,2,0,True,55.04,63.51,980,89.37,138,63.16,877,55.04,55
core_pressure,core_vs_headline_rank_120m,0.45,10:30:00,signed_volume,0,0,True,50.03,61.37,947,90.02,139,62.36,866,50.03,50
core_pressure,core_vs_headline_rank_120m,0.35,11:00:00,large10_signed_volume,0,0,True,54.04,62.15,959,87.43,135,62.0,861,54.04,54
