campaign_id,variant_id,rejection_buffer_ticks,min_orderflow_imbalance,full_signals,full_signal_days,full_signals_per_year,limited_core_start,limited_core_end,limited_core_signals,limited_core_signal_days,limited_core_signals_per_year,latest252_signals,latest252_signal_days,latest252_signals_per_year,full_long_signals,full_short_signals,density_pass
nq_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,0,0.0,836,836,54.14949459123958,2011-02-22,2012-09-07,106,106,68.76820603907638,45,45,44.66372282608696,400,436,False
nq_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,0,0.02,824,824,53.37222911863805,2011-02-22,2012-09-07,103,103,66.82193605683837,45,45,44.66372282608696,393,431,False
nq_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,0,0.04,817,817,52.9188242596205,2011-02-22,2012-09-07,101,101,65.52442273534636,45,45,44.66372282608696,387,430,False
nq_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,1,0.0,789,789,51.105204823550274,2011-02-22,2012-09-07,94,94,60.98312611012433,45,45,44.66372282608696,381,408,False
nq_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,1,0.02,780,780,50.52225571909913,2011-02-22,2012-09-07,92,92,59.685612788632326,45,45,44.66372282608696,377,403,False
nq_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,1,0.04,774,774,50.133622982798364,2011-02-22,2012-09-07,91,91,59.036856127886324,45,45,44.66372282608696,372,402,False
nq_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,2,0.0,749,749,48.51431991487852,2011-02-22,2012-09-07,86,86,55.793072824156305,44,44,43.671195652173914,372,377,False
nq_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,2,0.02,739,739,47.866598687710585,2011-02-22,2012-09-07,83,83,53.84680284191829,44,44,43.671195652173914,367,372,False
nq_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,2,0.04,734,734,47.54273807412662,2011-02-22,2012-09-07,82,82,53.19804618117229,44,44,43.671195652173914,362,372,False
nq_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,0,0.0,1518,1518,98.32408228409292,2011-02-22,2012-09-07,129,129,83.68960923623446,90,90,89.32744565217392,674,844,True
nq_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,0,0.02,1471,1471,95.27979251640362,2011-02-22,2012-09-07,128,128,83.04085257548846,85,85,84.3648097826087,652,819,True
nq_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,0,0.04,1378,1378,89.25598510374179,2011-02-22,2012-09-07,123,123,79.79706927175843,76,76,75.43206521739131,603,775,True
nq_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,1,0.0,1495,1495,96.83432346160666,2011-02-22,2012-09-07,125,125,81.09458259325044,90,90,89.32744565217392,664,831,True
nq_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,1,0.02,1446,1446,93.66048944848377,2011-02-22,2012-09-07,124,124,80.44582593250443,85,85,84.3648097826087,639,807,True
nq_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,1,0.04,1355,1355,87.76622628125554,2011-02-22,2012-09-07,119,119,77.20204262877442,76,76,75.43206521739131,590,765,True
nq_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,2,0.0,1464,1464,94.82638765738606,2011-02-22,2012-09-07,116,116,75.25577264653641,89,89,88.33491847826087,649,815,True
nq_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,2,0.02,1411,1411,91.393465153396,2011-02-22,2012-09-07,114,114,73.95825932504441,84,84,83.37228260869566,622,789,True
nq_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,2,0.04,1323,1323,85.69351835431814,2011-02-22,2012-09-07,110,110,71.36323268206039,76,76,75.43206521739131,578,745,True
nq_prior_value_area_orderflow_rejection,midday_large10_two_sided_rejection,0,0.0,1230,1230,79.66971094165632,2011-02-22,2012-09-07,120,120,77.85079928952042,71,71,70.4694293478261,542,688,True
nq_prior_value_area_orderflow_rejection,midday_large10_two_sided_rejection,0,0.02,1212,1212,78.50381273275403,2011-02-22,2012-09-07,118,118,76.55328596802842,70,70,69.47690217391305,534,678,True
nq_prior_value_area_orderflow_rejection,midday_large10_two_sided_rejection,0,0.04,1204,1204,77.98563575101969,2011-02-22,2012-09-07,116,116,75.25577264653641,69,69,68.484375,529,675,True
nq_prior_value_area_orderflow_rejection,midday_large10_two_sided_rejection,1,0.0,1200,1200,77.7265472601525,2011-02-22,2012-09-07,116,116,75.25577264653641,71,71,70.4694293478261,531,669,True
nq_prior_value_area_orderflow_rejection,midday_large10_two_sided_rejection,1,0.02,1178,1178,76.30156056038304,2011-02-22,2012-09-07,114,114,73.95825932504441,70,70,69.47690217391305,520,658,True
nq_prior_value_area_orderflow_rejection,midday_large10_two_sided_rejection,1,0.04,1168,1168,75.6538393332151,2011-02-22,2012-09-07,112,112,72.66074600355239,69,69,68.484375,515,653,True
nq_prior_value_area_orderflow_rejection,midday_large10_two_sided_rejection,2,0.0,1161,1161,75.20043447419755,2011-02-22,2012-09-07,104,104,67.47069271758437,71,71,70.4694293478261,517,644,True
nq_prior_value_area_orderflow_rejection,midday_large10_two_sided_rejection,2,0.02,1136,1136,73.5811314062777,2011-02-22,2012-09-07,100,100,64.87566607460035,70,70,69.47690217391305,505,631,True
nq_prior_value_area_orderflow_rejection,midday_large10_two_sided_rejection,2,0.04,1125,1125,72.86863805639297,2011-02-22,2012-09-07,98,98,63.57815275310835,69,69,68.484375,499,626,True
nq_prior_value_area_orderflow_rejection,morning_signed_vah_rejection_short,0,0.0,1267,1267,82.06627948217769,2011-02-22,2012-09-07,102,102,66.17317939609237,88,88,87.34239130434783,0,1267,True
nq_prior_value_area_orderflow_rejection,morning_signed_vah_rejection_short,0,0.02,1185,1185,76.7549654194006,2011-02-22,2012-09-07,98,98,63.57815275310835,83,83,82.37975543478261,0,1185,True
nq_prior_value_area_orderflow_rejection,morning_signed_vah_rejection_short,0,0.04,1059,1059,68.59367795708458,2011-02-22,2012-09-07,89,89,57.73934280639431,69,69,68.484375,0,1059,True
nq_prior_value_area_orderflow_rejection,morning_signed_vah_rejection_short,1,0.0,1250,1250,80.96515339599219,2011-02-22,2012-09-07,101,101,65.52442273534636,88,88,87.34239130434783,0,1250,True
nq_prior_value_area_orderflow_rejection,morning_signed_vah_rejection_short,1,0.02,1169,1169,75.7186114559319,2011-02-22,2012-09-07,97,97,62.929396092362346,83,83,82.37975543478261,0,1169,True
nq_prior_value_area_orderflow_rejection,morning_signed_vah_rejection_short,1,0.04,1045,1045,67.68686823904947,2011-02-22,2012-09-07,88,88,57.09058614564831,69,69,68.484375,0,1045,True
nq_prior_value_area_orderflow_rejection,morning_signed_val_rejection_long,0,0.0,1060,1060,68.65845007980138,2011-02-22,2012-09-07,99,99,64.22690941385434,73,73,72.45448369565219,1060,0,True
nq_prior_value_area_orderflow_rejection,morning_signed_val_rejection_long,0,0.02,978,978,63.34713601702429,2011-02-22,2012-09-07,91,91,59.036856127886324,70,70,69.47690217391305,978,0,True
nq_prior_value_area_orderflow_rejection,morning_signed_val_rejection_long,0,0.04,859,859,55.63925341372583,2011-02-22,2012-09-07,80,80,51.90053285968028,57,57,56.574048913043484,859,0,True
nq_prior_value_area_orderflow_rejection,morning_signed_val_rejection_long,1,0.0,1046,1046,67.75164036176626,2011-02-22,2012-09-07,97,97,62.929396092362346,73,73,72.45448369565219,1046,0,True
nq_prior_value_area_orderflow_rejection,morning_signed_val_rejection_long,1,0.02,965,965,62.50509842170597,2011-02-22,2012-09-07,90,90,58.388099467140314,70,70,69.47690217391305,965,0,True
nq_prior_value_area_orderflow_rejection,morning_signed_val_rejection_long,1,0.04,848,848,54.9267600638411,2011-02-22,2012-09-07,80,80,51.90053285968028,57,57,56.574048913043484,848,0,True
nq_prior_value_area_orderflow_rejection,morning_signed_val_rejection_long,2,0.0,1027,1027,66.52097003014718,2011-02-22,2012-09-07,93,93,60.33436944937833,73,73,72.45448369565219,1027,0,True
nq_prior_value_area_orderflow_rejection,morning_signed_val_rejection_long,2,0.02,946,946,61.27442809008689,2011-02-22,2012-09-07,86,86,55.793072824156305,70,70,69.47690217391305,946,0,True
nq_prior_value_area_orderflow_rejection,morning_signed_val_rejection_long,2,0.04,832,832,53.8904061003724,2011-02-22,2012-09-07,78,78,50.60301953818828,57,57,56.574048913043484,832,0,True
