campaign_id,variant_id,symbol,run_id,trade_log_csv
es_market_structure_pivot_trend_bias,afternoon_15_30_first_bias_1300_1530,ES,rescue1,backtest-campaigns/es_market_structure_pivot_trend_bias/afternoon_15_30_first_bias_1300_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_market_structure_pivot_trend_bias,afternoon_15_30_first_bias_1300_1530,ES,run1,backtest-campaigns/es_market_structure_pivot_trend_bias/afternoon_15_30_first_bias_1300_1530/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_market_structure_pivot_trend_bias,afternoon_5_15_first_bias_1300_1530,ES,rescue1,backtest-campaigns/es_market_structure_pivot_trend_bias/afternoon_5_15_first_bias_1300_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_market_structure_pivot_trend_bias,afternoon_5_15_first_bias_1300_1530,ES,run1,backtest-campaigns/es_market_structure_pivot_trend_bias/afternoon_5_15_first_bias_1300_1530/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_market_structure_pivot_trend_bias,late_morning_5_15_first_bias_1030_1330,ES,rescue1,backtest-campaigns/es_market_structure_pivot_trend_bias/late_morning_5_15_first_bias_1030_1330/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_market_structure_pivot_trend_bias,late_morning_5_15_first_bias_1030_1330,ES,run1,backtest-campaigns/es_market_structure_pivot_trend_bias/late_morning_5_15_first_bias_1030_1330/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_market_structure_pivot_trend_bias,midday_5_15_30_first_bias_1200_1500,ES,rescue1,backtest-campaigns/es_market_structure_pivot_trend_bias/midday_5_15_30_first_bias_1200_1500/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_market_structure_pivot_trend_bias,midday_5_15_30_first_bias_1200_1500,ES,run1,backtest-campaigns/es_market_structure_pivot_trend_bias/midday_5_15_30_first_bias_1200_1500/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_market_structure_pivot_trend_bias,midday_5_15_first_bias_1130_1400,ES,rescue1,backtest-campaigns/es_market_structure_pivot_trend_bias/midday_5_15_first_bias_1130_1400/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_market_structure_pivot_trend_bias,midday_5_15_first_bias_1130_1400,ES,run1,backtest-campaigns/es_market_structure_pivot_trend_bias/midday_5_15_first_bias_1130_1400/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
