campaign_id,variant_id,test_run_id,trade_log_path,exists
es_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,rescue1,backtest-campaigns/es_sector_rotation_orderflow_pullback/cyclical_vwap_reclaim_signed_long_1400/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_rotation_orderflow_pullback,cyclical_vwap_reclaim_signed_long_1400,run1,backtest-campaigns/es_sector_rotation_orderflow_pullback/cyclical_vwap_reclaim_signed_long_1400/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,rescue1,backtest-campaigns/es_sector_rotation_orderflow_pullback/defensive_ema_pullback_signed_short_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_rotation_orderflow_pullback,defensive_ema_pullback_signed_short_1530,run1,backtest-campaigns/es_sector_rotation_orderflow_pullback/defensive_ema_pullback_signed_short_1530/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,rescue1,backtest-campaigns/es_sector_rotation_orderflow_pullback/defensive_vwap_reject_large10_short_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_rotation_orderflow_pullback,defensive_vwap_reject_large10_short_1130,run1,backtest-campaigns/es_sector_rotation_orderflow_pullback/defensive_vwap_reject_large10_short_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,rescue1,backtest-campaigns/es_sector_rotation_orderflow_pullback/financial_industrial_ema_pullback_large10_long_1500/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_rotation_orderflow_pullback,financial_industrial_ema_pullback_large10_long_1500,run1,backtest-campaigns/es_sector_rotation_orderflow_pullback/financial_industrial_ema_pullback_large10_long_1500/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,rescue1,backtest-campaigns/es_sector_rotation_orderflow_pullback/growth_vwap_reclaim_large10_long_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_rotation_orderflow_pullback,growth_vwap_reclaim_large10_long_1130,run1,backtest-campaigns/es_sector_rotation_orderflow_pullback/growth_vwap_reclaim_large10_long_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
