wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.pc_rank_min,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,11,False,10,0.625,0.004,1.5,347,347,347,0,0,0,0,0,0,0,347,93.25265081220722,-495.0,0.9888888888888889,0.033740119962795516,8420.0,0.053887137805795106,-0.0008879128577891082,-0.016477268861246157,0.43515850144092216,0,0,False,-355.0,0.0,11,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;max_consecutive_losses;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,12,False,5,0.6,0.006,2.0,372,372,372,0,0,0,0,0,0,0,372,99.96322468146025,-765.0,0.9873249937867616,0.02001624751202712,10180.0,0.06523550144184556,-0.0013730267089513415,-0.021047231623954502,0.4220430107526882,0,0,False,-530.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,13,False,22,0.65,0.006,1.5,327,327,327,0,0,0,0,0,0,0,327,87.8729193979704,-840.0,0.9843225083986562,0.016344677762706032,9277.5,0.05954367498876837,-0.0015079486341212922,-0.02532508506412703,0.4434250764525994,0,0,False,-530.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,14,False,13,0.625,0.006,1.5,347,347,347,0,0,0,0,0,0,0,347,93.2474098810267,-890.0,0.9841791840725269,0.016198645359559966,9067.5,0.058225775380466194,-0.001597903110675536,-0.027443225963661562,0.4409221902017291,0,0,False,-530.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,15,False,15,0.625,0.006,2.5,347,347,347,0,0,0,0,0,0,0,347,93.2428364588304,-1000.0,0.9825859817152808,0.01830887146961418,9780.0,0.06288175914614544,-0.0017957926291644055,-0.028558244132304702,0.41786743515850144,0,0,False,-530.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,16,False,25,0.65,0.008,1.5,327,327,327,0,0,0,0,0,0,0,327,87.87089911515457,-1475.0,0.974855097170133,0.013058367574286866,10990.0,0.07027977617905676,-0.0026519520012227016,-0.03773421239228389,0.44954128440366975,0,0,False,-675.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,17,False,4,0.6,0.006,1.5,372,372,372,0,0,0,0,0,0,0,372,99.96552298484707,-1367.5,0.9770303183001595,0.013211724732390294,8792.5,0.05673404203836041,-0.0024580815424236624,-0.04332639547807371,0.43548387096774194,0,0,False,-530.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,18,False,26,0.65,0.008,2.0,327,327,327,0,0,0,0,0,0,0,327,87.86847489839553,-2050.0,0.9652630687113446,0.008828278035337487,11550.0,0.07377598926894702,-0.0036908802627863,-0.05002820428922158,0.44036697247706424,0,0,False,-675.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,19,False,27,0.65,0.008,2.5,327,327,327,0,0,0,0,0,0,0,327,87.86847489839553,-2492.5,0.9582425866979394,0.01065256617272264,12967.5,0.08231765378023234,-0.004492472036036865,-0.05457483091088393,0.43425076452599387,0,0,False,-675.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,20,False,1,0.6,0.004,1.5,372,372,372,0,0,0,0,0,0,0,372,99.97114150472936,-1657.5,0.9652078085642317,0.019495263068801102,8400.0,0.05416908492938673,-0.0029816476838805395,-0.055043345992780386,0.4274193548387097,0,0,False,-355.0,0.0,11,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;max_consecutive_losses;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,21,False,6,0.6,0.006,2.5,372,372,372,0,0,0,0,0,0,0,372,99.96062006537437,-2670.0,0.9563225911990839,0.007179851944200378,10997.5,0.0709161548258129,-0.004814516058685769,-0.06789025815783972,0.4112903225806452,0,0,False,-530.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,22,False,16,0.625,0.008,1.5,347,347,347,0,0,0,0,0,0,0,347,93.24526603351265,-3020.0,0.9511366394304668,0.004233609210532081,11755.0,0.07546140266409886,-0.005450492768427351,-0.07222888226301749,0.44668587896253603,0,0,False,-690.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,23,False,17,0.625,0.008,2.0,347,347,347,0,0,0,0,0,0,0,347,93.24269354661544,-3595.0,0.9421653796653797,0.000247328866911211,12315.0,0.07896508608252381,-0.0064973353812474155,-0.08228111566239875,0.43804034582132567,0,0,False,-690.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,24,False,7,0.6,0.008,1.5,372,372,372,0,0,0,0,0,0,0,372,99.96322468146025,-3827.5,0.9414173107828882,4.55753538016256e-05,13080.0,0.08368923652766448,-0.006921728700503893,-0.08270751398497742,0.44086021505376344,0,0,False,-690.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,25,False,18,0.625,0.008,2.5,347,347,347,0,0,0,0,0,0,0,347,93.24269354661544,-4037.5,0.9357444099626004,0.0019664707139571322,13732.5,0.0875071688013764,-0.007305113838021904,-0.08348017583111432,0.4322766570605187,0,0,False,-690.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,26,False,9,0.6,0.008,2.5,372,372,372,0,0,0,0,0,0,0,372,99.96046685689033,-6182.5,0.9076273718810698,-0.00841627456400111,16112.5,0.1025196449591194,-0.011246367405745472,-0.10969963278969663,0.42473118279569894,0,0,False,-690.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;max_drawdown_pct;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,2a01fc1fd94dd4f7b0ebcb16b544df43715c4dbdcefe8bc93a1753cdaf9d318a,043552d95101d8ba761036a786778ee0f127401d98cefecde32c2482fc8388c3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,27,False,8,0.6,0.008,2.0,372,372,372,0,0,0,0,0,0,0,372,99.96046685689033,-5740.0,0.913365029054411,-0.010019882684767074,14570.0,0.09335853650722456,-0.010429809535205337,-0.11171779170293897,0.43010752688172044,0,0,False,-690.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
