campaign_id,variant_id,symbol,timeframe,dataset_id,summary_passed,summary_halted,stage_count,passed_stage_count,passed_stages,first_failed_stage,reversion_like,config_path,output_dir,summary_path
bankruptcy_distress_reversion,chapter11_yoy_prior_down_long,ES,1m,1m_full_history,False,True,8,2,limited_core_grid_test|limited_monkey_test,walk_forward_analysis,True,configs/campaigns/bankruptcy_distress_reversion/variants/ES/1m/chapter11_yoy_prior_down_long.yaml,data/reports/campaigns/bankruptcy_distress_reversion/ES/1m_full_history/1m/chapter11_yoy_prior_down_long/campaign_tests,data/reports/campaigns/bankruptcy_distress_reversion/ES/1m_full_history/1m/chapter11_yoy_prior_down_long/campaign_tests/campaign_test_summary.json
bar_orderflow_participation_state,dense_rank_value_priority_ensemble,ES,1m,databento_trades_20250609_20260608,False,True,7,2,limited_core_grid_test|limited_monkey_test,walk_forward_analysis,False,configs/campaigns/bar_orderflow_participation_state/variants/ES/1m/dense_rank_value_priority_ensemble.yaml,data/reports/campaigns/bar_orderflow_participation_state/ES/databento_trades_20250609_20260608/1m/dense_rank_value_priority_ensemble/campaign_tests,data/reports/campaigns/bar_orderflow_participation_state/ES/databento_trades_20250609_20260608/1m/dense_rank_value_priority_ensemble/campaign_tests/campaign_test_summary.json
bar_orderflow_participation_state,low_abs_imbalance_afternoon_long,ES,1m,databento_trades_20250609_20260608,False,True,7,2,limited_core_grid_test|limited_monkey_test,walk_forward_analysis,False,configs/campaigns/bar_orderflow_participation_state/variants/ES/1m/low_abs_imbalance_afternoon_long.yaml,data/reports/campaigns/bar_orderflow_participation_state/ES/databento_trades_20250609_20260608/1m/low_abs_imbalance_afternoon_long/campaign_tests,data/reports/campaigns/bar_orderflow_participation_state/ES/databento_trades_20250609_20260608/1m/low_abs_imbalance_afternoon_long/campaign_tests/campaign_test_summary.json
bar_orderflow_participation_state,nonoverlap_rank_combo_1030_1330_1400,ES,1m,databento_trades_20250609_20260608,False,True,7,2,limited_core_grid_test|limited_monkey_test,walk_forward_analysis,False,configs/campaigns/bar_orderflow_participation_state/variants/ES/1m/nonoverlap_rank_combo_1030_1330_1400.yaml,data/reports/campaigns/bar_orderflow_participation_state/ES/databento_trades_20250609_20260608/1m/nonoverlap_rank_combo_1030_1330_1400/campaign_tests,data/reports/campaigns/bar_orderflow_participation_state/ES/databento_trades_20250609_20260608/1m/nonoverlap_rank_combo_1030_1330_1400/campaign_tests/campaign_test_summary.json
bar_orderflow_participation_state,rank_volume_effort_imbalance_combo,ES,1m,databento_trades_20250609_20260608,False,True,7,2,limited_core_grid_test|limited_monkey_test,walk_forward_analysis,False,configs/campaigns/bar_orderflow_participation_state/variants/ES/1m/rank_volume_effort_imbalance_combo.yaml,data/reports/campaigns/bar_orderflow_participation_state/ES/databento_trades_20250609_20260608/1m/rank_volume_effort_imbalance_combo/campaign_tests,data/reports/campaigns/bar_orderflow_participation_state/ES/databento_trades_20250609_20260608/1m/rank_volume_effort_imbalance_combo/campaign_tests/campaign_test_summary.json
bar_orderflow_participation_state,rank_volume_effort_imbalance_tight_r,ES,1m,databento_trades_20250609_20260608,False,True,7,2,limited_core_grid_test|limited_monkey_test,walk_forward_analysis,False,configs/campaigns/bar_orderflow_participation_state/variants/ES/1m/rank_volume_effort_imbalance_tight_r.yaml,data/reports/campaigns/bar_orderflow_participation_state/ES/databento_trades_20250609_20260608/1m/rank_volume_effort_imbalance_tight_r/campaign_tests,data/reports/campaigns/bar_orderflow_participation_state/ES/databento_trades_20250609_20260608/1m/rank_volume_effort_imbalance_tight_r/campaign_tests/campaign_test_summary.json
calendar_session_seasonality,broad_session_calendar_mix,ES,15m,1m_full_history,False,True,7,0,,limited_core_grid_test,False,configs/campaigns/calendar_session_seasonality/variants/ES/15m/broad_session_calendar_mix.yaml,data/reports/campaigns/calendar_session_seasonality/ES/1m_full_history/15m/broad_session_calendar_mix/campaign_tests,data/reports/campaigns/calendar_session_seasonality/ES/1m_full_history/15m/broad_session_calendar_mix/campaign_tests/campaign_test_summary.json
calendar_session_seasonality,late_week_afternoon_bias,ES,15m,1m_full_history,False,True,7,1,limited_core_grid_test,limited_monkey_test,False,configs/campaigns/calendar_session_seasonality/variants/ES/15m/late_week_afternoon_bias.yaml,data/reports/campaigns/calendar_session_seasonality/ES/1m_full_history/15m/late_week_afternoon_bias/campaign_tests,data/reports/campaigns/calendar_session_seasonality/ES/1m_full_history/15m/late_week_afternoon_bias/campaign_tests/campaign_test_summary.json
calendar_session_seasonality,midweek_morning_strength,ES,15m,1m_full_history,False,True,7,1,limited_core_grid_test,limited_monkey_test,False,configs/campaigns/calendar_session_seasonality/variants/ES/15m/midweek_morning_strength.yaml,data/reports/campaigns/calendar_session_seasonality/ES/1m_full_history/15m/midweek_morning_strength/campaign_tests,data/reports/campaigns/calendar_session_seasonality/ES/1m_full_history/15m/midweek_morning_strength/campaign_tests/campaign_test_summary.json
calendar_session_seasonality,midweek_morning_strength_macro_event_day,ES,15m,1m_full_history,False,True,7,1,limited_core_grid_test,limited_monkey_test,False,/private/tmp/event_filter_configs/calendar_session_seasonality__15m__midweek_morning_strength_macro_event_day.yaml,data/reports/campaigns/calendar_session_seasonality/ES/1m_full_history/15m/midweek_morning_strength_macro_event_day/campaign_tests,data/reports/campaigns/calendar_session_seasonality/ES/1m_full_history/15m/midweek_morning_strength_macro_event_day/campaign_tests/campaign_test_summary.json
