campaign_id,variant_id,run_id,stage,status,reason
es_intraday_invariance_dislocation_reversion,afternoon_15m_two_sided_dislocation_fade_1530,rescue1,monte_carlo,not_reached,limited_core_grid_test failed
es_intraday_invariance_dislocation_reversion,afternoon_15m_two_sided_dislocation_fade_1530,run1,monte_carlo,not_reached,limited_core_grid_test failed
es_intraday_invariance_dislocation_reversion,full_session_15m_two_sided_dislocation_fade_1530,rescue1,monte_carlo,not_reached,limited_core_grid_test failed
es_intraday_invariance_dislocation_reversion,full_session_15m_two_sided_dislocation_fade_1530,run1,monte_carlo,not_reached,limited_core_grid_test failed
es_intraday_invariance_dislocation_reversion,lunch_15m_two_sided_dislocation_fade_1330,rescue1,monte_carlo,not_reached,limited_core_grid_test failed
es_intraday_invariance_dislocation_reversion,lunch_15m_two_sided_dislocation_fade_1330,run1,monte_carlo,not_reached,limited_core_grid_test failed
es_intraday_invariance_dislocation_reversion,midday_15m_two_sided_dislocation_fade_1400,rescue1,monte_carlo,not_reached,limited_core_grid_test failed
es_intraday_invariance_dislocation_reversion,midday_15m_two_sided_dislocation_fade_1400,run1,monte_carlo,not_reached,limited_core_grid_test failed
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,rescue1,monte_carlo,not_reached,limited_core_grid_test failed
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,run1,monte_carlo,not_reached,limited_core_grid_test failed
