trade_id,strategy_name,session_date,contract_symbol,direction,entry_timestamp,exit_timestamp,entry_trigger_price,entry_price,exit_price,initial_stop_price,stop_price,target_price,exit_reason,risk_points,gross_pnl,gross_pnl_before_slippage,net_pnl,r_multiple,commission,slippage_cost,total_transaction_cost,cost_accounting_error,net_liq_after,contracts,entry_event_index,exit_event_index,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,aoi_side,aoi_lineage_id,aoi_box_low,aoi_box_high,aoi_width_points,aoi_additional_category_count,aoi_categories,aoi_confluences,trigger_kind,trigger_value,aoi_eligible_timestamp,aoi_eligible_event_index,aoi_tap_timestamp,aoi_tap_event_index,bubble_qualified_timestamp,bubble_qualified_event_index,order_armed_timestamp,order_armed_event_index,entry_profile_poc,entry_profile_vah,entry_profile_val,midpoint_activated,midpoint_activated_at,source_quality_label,fill_model,managed_bracket_inverted_at_activation,managed_target_already_reached_at_activation
1,yush_range_exact_databento,2025-07-14,ESU5,short,2025-07-14 10:25:24.750817421-04:00,2025-07-14 10:25:31.337502589-04:00,6295.25,6295.25,6296.5,6296.5,6296.5,,initial_stop,1.25,-62.5,-62.5,-67.5,-1.0,5.0,0.0,5.0,0.0,49932.5,1,66164,66334,0.0,1.25,fixed_contracts,VAH,14,6295.75,6296.0,0.25,1,market,ORH,delta_4tick_3m,-397,2025-07-14 10:19:22.717057169-04:00,60317,2025-07-14 10:20:55.705626723-04:00,61193,2025-07-14 10:25:20.467712657-04:00,65942,2025-07-14 10:25:20.467712657-04:00,65942,6292.0,6295.75,6288.0,False,,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,,
2,yush_range_exact_databento,2025-07-15,ESU5,short,2025-07-15 09:30:54.897247149-04:00,2025-07-15 09:31:23.618015359-04:00,6340.0,6340.0,6338.75,6342.25,6338.75,6338.5,managed_stop,2.25,62.5,62.5,57.5,0.5555555555555556,5.0,0.0,5.0,0.0,49990.0,1,2861,3931,1.25,0.75,fixed_contracts,VAH,1,6340.5,6341.75,1.25,1,market,ORH,delta_4tick_3m,421,2025-07-15 09:30:25.698019075-04:00,2031,2025-07-15 09:30:54.113468417-04:00,2849,2025-07-15 09:30:54.135910919-04:00,2850,2025-07-15 09:30:54.135910919-04:00,2850,6340.0,6340.5,6338.25,True,2025-07-15 09:31:23.618015359-04:00,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,False,False
3,yush_range_exact_databento,2025-07-17,ESU5,long,2025-07-17 09:30:31.420785699-04:00,2025-07-17 09:30:35.309813919-04:00,6303.5,6303.5,6304.75,6302.25,6304.75,6303.75,managed_stop,1.25,62.5,62.5,57.5,1.0,5.0,0.0,5.0,0.0,50047.5,1,2355,2492,1.25,0.25,fixed_contracts,VAL,1,6302.75,6303.0,0.25,1,market,PDC,delta_4tick_3m,-408,2025-07-17 09:30:00.001912059-04:00,13,2025-07-17 09:30:30.786542761-04:00,2300,2025-07-17 09:30:30.786759899-04:00,2301,2025-07-17 09:30:30.786759899-04:00,2301,6303.25,6303.75,6303.0,True,2025-07-17 09:30:35.309813919-04:00,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,True,True
4,yush_range_exact_databento,2025-07-17,ESU5,short,2025-07-17 09:38:36.208277915-04:00,2025-07-17 09:39:10.522993093-04:00,6308.25,6308.25,6309.25,6309.25,6309.25,,initial_stop,1.0,-50.0,-50.0,-55.0,-1.0,5.0,0.0,5.0,0.0,49992.5,1,14219,14716,1.25,1.0,fixed_contracts,VAH,7,6308.75,6308.75,0.0,1,market,PDH,delta_4tick_3m,662,2025-07-17 09:34:27.148865335-04:00,9434,2025-07-17 09:37:38.071256623-04:00,12790,2025-07-17 09:37:59.751906725-04:00,13537,2025-07-17 09:37:59.751906725-04:00,13537,6305.75,6308.75,6304.75,False,,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,,
5,yush_range_exact_databento,2025-07-18,ESU5,long,2025-07-18 09:31:00.587852995-04:00,2025-07-18 09:31:06.405272797-04:00,6346.75,6346.75,6348.0,6345.0,6348.0,6350.0,managed_stop,1.75,62.5,62.5,57.5,0.7142857142857143,5.0,0.0,5.0,0.0,50050.0,1,4902,5223,1.5,0.25,fixed_contracts,VAL,3,6345.5,6346.25,0.75,1,market,PDH,delta_4tick_3m,-302,2025-07-18 09:30:19.784336519-04:00,2806,2025-07-18 09:30:59.200680013-04:00,4845,2025-07-18 09:31:00.587598741-04:00,4901,2025-07-18 09:31:00.587598741-04:00,4901,6348.0,6350.0,6346.25,True,2025-07-18 09:31:06.301432067-04:00,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,False,False
6,yush_range_exact_databento,2025-07-18,ESU5,short,2025-07-18 09:32:04.276128791-04:00,2025-07-18 09:33:08.705008817-04:00,6349.25,6349.25,6348.0,6352.75,6348.0,6347.0,managed_stop,3.5,62.5,62.5,57.5,0.35714285714285715,5.0,0.0,5.0,0.0,50107.5,1,7326,9077,1.25,2.0,fixed_contracts,VAH,5,6349.75,6352.25,2.5,3,"market,delta_profile,big_trade","ORH,DELTA_1T,BIG_TRADE",delta_4tick_3m,398,2025-07-18 09:30:31.918017793-04:00,3602,2025-07-18 09:31:44.451300957-04:00,6688,2025-07-18 09:32:00.629138957-04:00,7180,2025-07-18 09:32:00.629138957-04:00,7180,6349.75,6350.25,6346.75,True,2025-07-18 09:33:08.705008817-04:00,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,False,False
7,yush_range_exact_databento,2025-07-21,ESU5,short,2025-07-21 09:32:08.424465987-04:00,2025-07-21 09:32:15.639661463-04:00,6348.0,6348.0,6349.25,6349.25,6349.25,,initial_stop,1.25,-62.5,-62.5,-67.5,-1.0,5.0,0.0,5.0,0.0,50040.0,1,4785,4951,0.25,1.25,fixed_contracts,VAH,12,6348.5,6348.75,0.25,1,market,ORH,delta_4tick_3m,386,2025-07-21 09:30:29.846875743-04:00,1909,2025-07-21 09:31:30.078467001-04:00,3761,2025-07-21 09:31:57.665078377-04:00,4470,2025-07-21 09:31:57.665078377-04:00,4470,6347.5,6348.75,6347.0,False,,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,,
8,yush_range_exact_databento,2025-07-24,ESU5,short,2025-07-24 09:35:32.108841197-04:00,2025-07-24 09:35:51.941901375-04:00,6402.0,6402.0,6400.75,6405.75,6400.75,6398.5,managed_stop,3.75,62.5,62.5,57.5,0.3333333333333333,5.0,0.0,5.0,0.0,50097.5,1,12321,12827,1.5,0.25,fixed_contracts,VAH,4,6402.5,6405.25,2.75,2,"market,delta_profile","ORH,DELTA_4T",delta_4tick_3m,341,2025-07-24 09:30:32.063914883-04:00,3007,2025-07-24 09:35:31.946972643-04:00,12308,2025-07-24 09:35:31.968137079-04:00,12309,2025-07-24 09:35:31.968137079-04:00,12309,6402.25,6402.5,6398.25,True,2025-07-24 09:35:51.636293685-04:00,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,False,False
9,yush_range_exact_databento,2025-07-25,ESU5,short,2025-07-25 09:31:41.531462083-04:00,2025-07-25 09:31:45.071229173-04:00,6405.5,6405.5,6404.25,6406.75,6404.25,6404.5,managed_stop,1.25,62.5,62.5,57.5,1.0,5.0,0.0,5.0,0.0,50155.0,1,3736,3821,1.25,0.0,fixed_contracts,VAH,2,6406.0,6406.25,0.25,1,market,ORH,delta_4tick_3m,479,2025-07-25 09:30:32.136951783-04:00,1650,2025-07-25 09:31:35.479507181-04:00,3538,2025-07-25 09:31:35.479534291-04:00,3539,2025-07-25 09:31:35.479534291-04:00,3539,6405.25,6406.0,6404.5,True,2025-07-25 09:31:45.071229173-04:00,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,True,True
10,yush_range_exact_databento,2025-07-25,ESU5,long,2025-07-25 09:46:35.939197063-04:00,2025-07-25 09:49:19.269986401-04:00,6406.75,6406.75,6408.0,6404.5,6408.0,6407.5,managed_stop,2.25,62.5,62.5,57.5,0.5555555555555556,5.0,0.0,5.0,0.0,50212.5,1,18609,20855,1.25,1.25,fixed_contracts,VAL,4,6405.0,6406.25,1.25,1,market,ORH,delta_4tick_3m,-336,2025-07-25 09:45:42.276975103-04:00,17564,2025-07-25 09:46:20.533071181-04:00,18306,2025-07-25 09:46:20.533257337-04:00,18308,2025-07-25 09:46:20.533257337-04:00,18308,6406.25,6407.75,6405.0,True,2025-07-25 09:49:19.269986401-04:00,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,True,True
11,yush_range_exact_databento,2025-07-28,ESU5,long,2025-07-28 09:51:42.490838417-04:00,2025-07-28 09:53:46.989849997-04:00,6427.0,6427.0,6428.25,6425.25,6428.25,6430.0,managed_stop,1.75,62.5,62.5,57.5,0.7142857142857143,5.0,0.0,5.0,0.0,50270.0,1,28833,30534,1.25,1.25,fixed_contracts,VAL,7,6425.75,6426.5,0.75,2,"market,big_trade","PDC,BIG_TRADE",delta_4tick_3m,302,2025-07-28 09:43:21.950420849-04:00,20381,2025-07-28 09:51:40.461245789-04:00,28761,2025-07-28 09:51:41.271874483-04:00,28799,2025-07-28 09:51:41.271874483-04:00,28799,6428.5,6430.5,6426.5,True,2025-07-28 09:53:46.989849997-04:00,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,False,False
12,yush_range_exact_databento,2025-07-28,ESU5,short,2025-07-28 10:01:31.798338215-04:00,2025-07-28 10:04:56.728396193-04:00,6427.25,6427.25,6430.25,6430.25,6430.25,,initial_stop,3.0,-150.0,-150.0,-155.0,-1.0,5.0,0.0,5.0,0.0,50115.0,1,37123,39736,0.0,3.0,fixed_contracts,VAH,8,6427.75,6429.75,2.0,2,"market,big_trade","ORH,BIG_TRADE",delta_4tick_3m,301,2025-07-28 09:52:47.477877213-04:00,29913,2025-07-28 10:00:25.116980543-04:00,36161,2025-07-28 10:01:15.054569181-04:00,36872,2025-07-28 10:01:15.054569181-04:00,36872,6428.5,6429.75,6426.25,False,,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,,
13,yush_range_exact_databento,2025-07-28,ESU5,long,2025-07-28 10:29:29.326031141-04:00,2025-07-28 10:30:12.075521901-04:00,6430.5,6430.5,6431.75,6426.75,6431.75,6432.25,managed_stop,3.75,62.5,62.5,57.5,0.3333333333333333,5.0,0.0,5.0,0.0,50172.5,1,60191,60561,1.25,0.25,fixed_contracts,VAL,9,6427.25,6430.0,2.75,3,"market,delta_profile,big_trade","ONL,DELTA_1T,BIG_TRADE",delta_4tick_3m,-316,2025-07-28 10:22:50.612641675-04:00,55741,2025-07-28 10:29:25.949944889-04:00,60169,2025-07-28 10:29:26.330353773-04:00,60173,2025-07-28 10:29:26.330353773-04:00,60173,6428.5,6432.25,6427.25,True,2025-07-28 10:30:12.075521901-04:00,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,False,False
14,yush_range_exact_databento,2025-07-29,ESU5,short,2025-07-29 09:38:27.958730467-04:00,2025-07-29 09:42:07.619591909-04:00,6438.0,6438.0,6436.75,6440.0,6436.75,6436.25,managed_stop,2.0,62.5,62.5,57.5,0.625,5.0,0.0,5.0,0.0,50230.0,1,12770,15768,1.25,1.25,fixed_contracts,VAH,3,6438.5,6439.5,1.0,2,"market,delta_profile","ORH,DELTA_4T",delta_4tick_3m,331,2025-07-29 09:30:32.103382747-04:00,2041,2025-07-29 09:38:12.357922445-04:00,12460,2025-07-29 09:38:12.464682965-04:00,12461,2025-07-29 09:38:12.464682965-04:00,12461,6436.0,6438.5,6435.5,True,2025-07-29 09:42:07.619591909-04:00,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,False,False
15,yush_range_exact_databento,2025-07-29,ESU5,long,2025-07-29 10:04:02.839606237-04:00,2025-07-29 10:04:37.353768335-04:00,6430.75,6430.75,6429.25,6429.25,6429.25,,initial_stop,1.5,-75.0,-75.0,-80.0,-1.0,5.0,0.0,5.0,0.0,50150.0,1,40657,41088,0.0,1.5,fixed_contracts,VAL,5,6429.75,6430.25,0.5,2,"delta_profile,big_trade","DELTA_4T,BIG_TRADE",delta_4tick_3m,-302,2025-07-29 10:03:18.024646001-04:00,39957,2025-07-29 10:03:56.783014045-04:00,40585,2025-07-29 10:04:02.181808177-04:00,40655,2025-07-29 10:04:02.181808177-04:00,40655,6433.25,6437.75,6429.75,False,,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,,
16,yush_range_exact_databento,2025-07-30,ESU5,short,2025-07-30 09:38:36.434729791-04:00,2025-07-30 09:38:38.900460925-04:00,6410.5,6410.5,6409.25,6413.75,6409.25,6407.25,managed_stop,3.25,62.5,62.5,57.5,0.38461538461538464,5.0,0.0,5.0,0.0,50207.5,1,12874,13007,1.25,0.25,fixed_contracts,VAH,3,6411.0,6413.25,2.25,2,"market,delta_profile","ORH,DELTA_1T",delta_4tick_3m,303,2025-07-30 09:30:33.019770517-04:00,2172,2025-07-30 09:36:58.034147161-04:00,11605,2025-07-30 09:38:21.250039641-04:00,12690,2025-07-30 09:38:21.250039641-04:00,12690,6408.0,6411.75,6407.25,True,2025-07-30 09:38:38.900460925-04:00,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,False,False
17,yush_range_exact_databento,2025-08-01,ESU5,short,2025-08-01 10:29:05.016432479-04:00,2025-08-01 10:30:30.206002765-04:00,6280.0,6280.0,6282.75,6282.75,6282.75,,initial_stop,2.75,-137.5,-137.5,-142.5,-1.0,5.0,0.0,5.0,0.0,50065.0,1,190444,193143,1.75,2.75,fixed_contracts,VAH,37,6280.5,6282.25,1.75,2,"delta_profile,big_trade","DELTA_1T,BIG_TRADE",delta_4tick_3m,793,2025-08-01 10:29:03.413933573-04:00,190371,2025-08-01 10:29:03.414417595-04:00,190373,2025-08-01 10:29:03.414419483-04:00,190375,2025-08-01 10:29:03.414419483-04:00,190375,6266.5,6282.25,6250.25,False,,Direct Databento GLBX trades messages; active outright; not MBO.,user_directed_exact_trigger_price_zero_slippage,,
