sequence,trade_id,exit_timestamp,equity
1,1,2025-07-14 10:25:31.337502589-04:00,49932.5
2,2,2025-07-15 09:31:23.618015359-04:00,49990.0
3,3,2025-07-17 09:30:35.309813919-04:00,50047.5
4,4,2025-07-17 09:39:10.522993093-04:00,49992.5
5,5,2025-07-18 09:31:06.405272797-04:00,50050.0
6,6,2025-07-18 09:33:08.705008817-04:00,50107.5
7,7,2025-07-21 09:32:15.639661463-04:00,50040.0
8,8,2025-07-24 09:35:51.941901375-04:00,50097.5
9,9,2025-07-25 09:31:45.071229173-04:00,50155.0
10,10,2025-07-25 09:49:19.269986401-04:00,50212.5
11,11,2025-07-28 09:53:46.989849997-04:00,50270.0
12,12,2025-07-28 10:04:56.728396193-04:00,50115.0
13,13,2025-07-28 10:30:12.075521901-04:00,50172.5
14,14,2025-07-29 09:42:07.619591909-04:00,50230.0
15,15,2025-07-29 10:04:37.353768335-04:00,50150.0
16,16,2025-07-30 09:38:38.900460925-04:00,50207.5
17,17,2025-08-01 10:30:30.206002765-04:00,50065.0
18,18,2025-08-04 10:26:32.961072397-04:00,49922.5
19,19,2025-08-06 10:38:01.321459629-04:00,49830.0
20,20,2025-08-07 09:55:44.075418263-04:00,49887.5
21,21,2025-08-11 09:32:56.507225187-04:00,49807.5
22,22,2025-08-11 09:39:24.578799307-04:00,49702.5
23,23,2025-08-12 09:32:48.101113633-04:00,49760.0
24,24,2025-08-13 10:05:29.799076499-04:00,49817.5
25,25,2025-08-14 10:17:29.627555269-04:00,49700.0
26,26,2025-08-18 09:40:44.304148069-04:00,49532.5
27,27,2025-08-20 09:39:50.000004997-04:00,49440.0
28,28,2025-08-21 09:57:01.271444375-04:00,49297.5
29,29,2025-08-25 09:31:05.239324933-04:00,49355.0
30,30,2025-08-25 09:49:48.636881941-04:00,49412.5
31,31,2025-08-26 09:46:39.268783461-04:00,49470.0
32,32,2025-08-26 10:59:52.522265879-04:00,49527.5
33,33,2025-09-02 09:32:48.644806273-04:00,49397.5
34,34,2025-09-02 09:41:36.029594729-04:00,49455.0
35,35,2025-09-03 09:32:45.372838399-04:00,49512.5
36,36,2025-09-03 09:39:00.260493171-04:00,49570.0
37,37,2025-09-04 09:33:03.348289563-04:00,49627.5
38,38,2025-09-04 09:48:34.013947793-04:00,49685.0
39,39,2025-09-05 09:44:06.271864165-04:00,49567.5
40,40,2025-09-08 09:34:29.253767753-04:00,49625.0
41,41,2025-09-08 10:09:26.125032189-04:00,49682.5
42,42,2025-09-09 10:09:17.503234049-04:00,49740.0
43,43,2025-09-09 10:10:35.942552901-04:00,49572.5
44,44,2025-09-10 09:48:23.102859557-04:00,49455.0
45,45,2025-09-10 09:54:52.750938323-04:00,49512.5
46,46,2025-09-11 09:31:43.310496785-04:00,49445.0
47,47,2025-09-11 09:42:15.000918079-04:00,49290.0
48,48,2025-09-12 09:31:05.473532823-04:00,49322.5
49,49,2025-09-12 09:36:27.992492797-04:00,49380.0
50,50,2025-09-15 10:12:51.240149273-04:00,49437.5
51,51,2025-09-16 09:35:42.071035529-04:00,49357.5
52,52,2025-09-17 09:30:08.783059977-04:00,49415.0
53,53,2025-09-17 09:54:58.255025135-04:00,49472.5
54,54,2025-09-18 09:31:29.725472395-04:00,49530.0
55,55,2025-09-18 09:31:40.035775029-04:00,49587.5
56,56,2025-09-19 09:30:15.105986525-04:00,49645.0
57,57,2025-09-23 09:31:09.416514103-04:00,49540.0
58,58,2025-09-23 10:01:31.995426355-04:00,49597.5
59,59,2025-09-24 10:32:18.685818087-04:00,49655.0
60,60,2025-09-24 10:58:49.071804475-04:00,49712.5
61,61,2025-09-26 09:30:48.039047271-04:00,49607.5
62,62,2025-09-26 09:57:05.219542075-04:00,49540.0
63,63,2025-09-29 09:31:22.427450707-04:00,49597.5
64,64,2025-09-29 09:51:33.633962017-04:00,49655.0
65,65,2025-09-30 10:48:18.108731249-04:00,50025.0
66,66,2025-09-30 10:55:25.386399729-04:00,50082.5
67,67,2025-10-02 09:56:08.409334979-04:00,50140.0
68,68,2025-10-03 10:00:01.700829859-04:00,50485.0
69,69,2025-10-03 10:12:01.324071429-04:00,50542.5
70,70,2025-10-03 10:26:39.234690143-04:00,50337.5
71,71,2025-10-06 09:32:43.282713547-04:00,50395.0
72,72,2025-10-06 09:33:35.497392363-04:00,50240.0
73,73,2025-10-06 10:45:56.822654477-04:00,50297.5
74,74,2025-10-08 09:30:53.343353683-04:00,50355.0
75,75,2025-10-08 09:33:01.325604259-04:00,50412.5
76,76,2025-10-09 09:31:09.713398573-04:00,50470.0
77,77,2025-10-09 09:41:24.076156447-04:00,50290.0
78,78,2025-10-10 10:21:36.791849411-04:00,50347.5
79,79,2025-10-10 10:31:24.114951761-04:00,50405.0
80,80,2025-10-13 09:45:50.326245925-04:00,50462.5
81,81,2025-10-14 09:55:24.891446193-04:00,51682.5
82,82,2025-10-15 09:32:24.904043143-04:00,51602.5
83,83,2025-10-16 09:38:26.437585671-04:00,51660.0
84,84,2025-10-16 10:09:30.821699183-04:00,51530.0
85,85,2025-10-17 10:06:04.308976899-04:00,51325.0
86,86,2025-10-21 09:30:57.142927947-04:00,51382.5
87,87,2025-10-21 10:19:45.048320277-04:00,51215.0
88,88,2025-10-22 09:55:22.526641993-04:00,51272.5
89,89,2025-10-23 10:48:09.170320793-04:00,51192.5
90,90,2025-10-24 09:50:10.629221711-04:00,51075.0
91,91,2025-10-27 09:41:24.903705977-04:00,50907.5
92,92,2025-10-27 09:58:23.995570419-04:00,50740.0
93,93,2025-10-28 09:32:10.951305239-04:00,50797.5
94,94,2025-10-29 09:31:36.017987259-04:00,50855.0
95,95,2025-10-29 10:18:03.986290647-04:00,50750.0
96,96,2025-10-31 09:31:30.674805113-04:00,50657.5
97,97,2025-11-05 09:30:25.690079813-05:00,50702.5
98,98,2025-11-05 09:32:45.021299677-05:00,50760.0
99,99,2025-11-06 09:31:12.574826801-05:00,50817.5
100,100,2025-11-07 10:21:47.800684095-05:00,50650.0
101,101,2025-11-10 09:32:49.402228723-05:00,50707.5
102,102,2025-11-11 09:37:07.418797387-05:00,50602.5
103,103,2025-11-11 09:41:13.777115273-05:00,50660.0
104,104,2025-11-12 09:41:10.879335585-05:00,50717.5
105,105,2025-11-12 09:44:35.522042469-05:00,50512.5
106,106,2025-11-17 10:38:44.259089201-05:00,50457.5
107,107,2025-11-19 09:30:40.421706031-05:00,50290.0
108,108,2025-11-19 09:31:20.093704651-05:00,50347.5
109,109,2025-11-20 09:34:21.675822675-05:00,50655.0
110,110,2025-11-20 09:38:12.053095611-05:00,50475.0
111,111,2025-11-20 09:45:57.058875717-05:00,50532.5
112,112,2025-11-21 09:30:08.004586777-05:00,50590.0
113,113,2025-11-21 09:30:19.449689859-05:00,50647.5
114,114,2025-11-21 10:00:08.584680113-05:00,50705.0
115,115,2025-11-24 09:30:45.561372763-05:00,50525.0
116,116,2025-11-24 09:40:23.504307539-05:00,50370.0
117,117,2025-11-24 10:01:48.651655275-05:00,50215.0
118,118,2025-11-25 10:41:00.325278051-05:00,50122.5
119,119,2025-11-26 09:30:46.209732943-05:00,50017.5
120,120,2025-11-26 10:15:47.961512443-05:00,49875.0
121,121,2025-12-01 09:32:38.666243105-05:00,49932.5
122,122,2025-12-04 09:32:57.642886685-05:00,49990.0
123,123,2025-12-04 10:54:51.651419151-05:00,50047.5
124,124,2025-12-05 09:51:03.829338513-05:00,49955.0
125,125,2025-12-08 10:09:02.767392983-05:00,49837.5
126,126,2025-12-09 09:45:34.012094103-05:00,49895.0
127,127,2025-12-09 10:48:03.397571449-05:00,50165.0
128,128,2025-12-10 10:06:16.071984389-05:00,50010.0
129,129,2025-12-11 09:37:57.244615335-05:00,49880.0
130,130,2025-12-11 09:47:21.082778899-05:00,49750.0
131,131,2025-12-16 10:05:09.949847475-05:00,49807.5
132,132,2025-12-19 09:42:06.679256581-05:00,50127.5
133,133,2025-12-22 09:31:10.153822397-05:00,50010.0
134,134,2025-12-22 09:36:06.315052591-05:00,49830.0
135,135,2025-12-22 11:00:00-05:00,49912.5
136,136,2025-12-23 10:36:07.964678343-05:00,49782.5
137,137,2025-12-24 09:31:23.753837059-05:00,49677.5
138,138,2025-12-26 09:56:49.375626581-05:00,49522.5
139,139,2025-12-29 09:30:40.559213903-05:00,49405.0
140,140,2025-12-31 09:32:01.483472671-05:00,49312.5
141,141,2026-01-02 09:31:01.844665551-05:00,49370.0
142,142,2026-01-05 09:31:47.916688627-05:00,49427.5
143,143,2026-01-05 09:35:34.967983757-05:00,49322.5
144,144,2026-01-06 09:31:32.110934501-05:00,49380.0
145,145,2026-01-06 09:38:43.387050299-05:00,49175.0
146,146,2026-01-07 10:51:19.818708743-05:00,49070.0
147,147,2026-01-08 09:31:34.626503355-05:00,49127.5
148,148,2026-01-08 10:31:41.535320545-05:00,48960.0
149,149,2026-01-09 09:30:11.203251423-05:00,49017.5
150,150,2026-01-09 09:31:29.458457895-05:00,48912.5
