exit_reason,trades,net_profit,average_trade,win_rate
initial_stop,129,-16082.5,-124.67054263565892,0.0
managed_stop,135,7762.5,57.5,1.0
target,16,5632.5,352.03125,1.0
time_flatten,1,82.5,82.5,1.0
