previous_rth_available,overnight_available,events,neutral_side_events,aoi_eligible_events,taps,delta_bubbles,big_trade_bubbles,orders_armed,fill_gate_rejections,target_guard_exits,news_resets,news_flatten_trades,session_date,contract_symbol,source_events,trades,input_was_canonically_sorted,canonical_event_order
True,True,150027,1,7,79,9122,810,6,0,0,0,0,2025-08-05,ESU5,150027,0,True,utc_timestamp_ns_then_source_ordinal
True,True,134244,0,15,87,6710,0,29,0,0,0,0,2025-08-06,ESU5,134244,1,True,utc_timestamp_ns_then_source_ordinal
True,True,141622,0,15,91,5125,3399,5,0,0,0,0,2025-08-07,ESU5,141622,1,True,utc_timestamp_ns_then_source_ordinal
True,True,101608,0,24,49,11442,15979,0,0,0,0,0,2025-08-08,ESU5,101608,0,True,utc_timestamp_ns_then_source_ordinal
True,True,77557,0,18,82,6035,40429,37,3,0,0,0,2025-08-11,ESU5,77557,2,True,utc_timestamp_ns_then_source_ordinal
True,True,152679,0,21,123,5328,17787,10,0,0,0,0,2025-08-12,ESU5,152679,1,True,utc_timestamp_ns_then_source_ordinal
True,True,98872,0,15,25,11810,18347,4,2,0,0,0,2025-08-13,ESU5,98872,1,True,utc_timestamp_ns_then_source_ordinal
True,True,101831,0,13,59,5123,3217,6,0,0,0,0,2025-08-14,ESU5,101831,1,True,utc_timestamp_ns_then_source_ordinal
True,True,99846,0,42,108,6232,5683,0,0,0,0,0,2025-08-15,ESU5,99846,0,True,utc_timestamp_ns_then_source_ordinal
True,True,81056,0,11,95,5001,28380,4,0,0,0,0,2025-08-18,ESU5,81056,1,True,utc_timestamp_ns_then_source_ordinal
True,True,116247,0,19,67,10695,24984,2,0,0,0,0,2025-08-19,ESU5,116247,0,True,utc_timestamp_ns_then_source_ordinal
True,True,178888,0,29,73,10400,19240,1,0,0,0,0,2025-08-20,ESU5,178888,1,True,utc_timestamp_ns_then_source_ordinal
True,True,128875,0,30,84,5960,27770,10,0,0,0,0,2025-08-21,ESU5,128875,1,True,utc_timestamp_ns_then_source_ordinal
True,True,217245,0,31,108,12614,24651,4,0,0,0,0,2025-08-22,ESU5,217245,0,True,utc_timestamp_ns_then_source_ordinal
True,True,87372,0,7,19,1027,0,7,0,0,0,0,2025-08-25,ESU5,87372,2,True,utc_timestamp_ns_then_source_ordinal
True,True,90175,0,10,104,2991,0,16,1,0,0,0,2025-08-26,ESU5,90175,2,True,utc_timestamp_ns_then_source_ordinal
True,True,74990,0,16,77,8226,0,5,0,0,0,0,2025-08-27,ESU5,74990,0,True,utc_timestamp_ns_then_source_ordinal
True,True,116914,0,18,74,4164,2937,0,0,0,0,0,2025-08-28,ESU5,116914,0,True,utc_timestamp_ns_then_source_ordinal
True,True,143020,0,32,61,11868,7678,5,3,0,0,0,2025-08-29,ESU5,143020,0,True,utc_timestamp_ns_then_source_ordinal
True,True,6603,0,12,16,0,0,0,0,0,0,0,2025-09-01,ESU5,6603,0,True,utc_timestamp_ns_then_source_ordinal
True,True,159951,0,25,91,5428,312,2,0,0,0,0,2025-09-02,ESU5,159951,2,True,utc_timestamp_ns_then_source_ordinal
True,True,118113,0,5,31,1758,0,4,0,0,0,0,2025-09-03,ESU5,118113,2,True,utc_timestamp_ns_then_source_ordinal
True,True,104657,0,12,45,7316,42563,13,0,0,0,0,2025-09-04,ESU5,104657,2,True,utc_timestamp_ns_then_source_ordinal
True,True,212077,0,17,67,20950,9224,13,0,0,0,0,2025-09-05,ESU5,212077,1,True,utc_timestamp_ns_then_source_ordinal
True,True,92649,0,5,45,1173,28,3,0,0,0,0,2025-09-08,ESU5,92649,2,True,utc_timestamp_ns_then_source_ordinal
True,True,114538,0,10,132,9345,9122,31,1,0,0,0,2025-09-09,ESU5,114538,2,True,utc_timestamp_ns_then_source_ordinal
True,True,109186,0,15,68,7596,5650,3,0,0,0,0,2025-09-10,ESU5,109186,2,True,utc_timestamp_ns_then_source_ordinal
True,True,102860,0,31,50,10197,29605,7,1,0,0,0,2025-09-11,ESU5,102860,2,True,utc_timestamp_ns_then_source_ordinal
True,True,66472,0,6,35,4426,1186,13,0,0,0,0,2025-09-12,ESU5,66472,2,True,utc_timestamp_ns_then_source_ordinal
True,True,32011,0,9,54,1420,466,7,2,0,0,0,2025-09-15,ESU5,32011,1,True,utc_timestamp_ns_then_source_ordinal
False,True,89081,0,37,80,10367,10825,9,1,0,0,0,2025-09-16,ESZ5,89081,1,True,utc_timestamp_ns_then_source_ordinal
True,True,72420,0,9,73,8517,9210,20,2,0,0,0,2025-09-17,ESZ5,72420,2,True,utc_timestamp_ns_then_source_ordinal
True,True,129174,0,24,55,7571,5057,6,0,0,0,0,2025-09-18,ESZ5,129174,2,True,utc_timestamp_ns_then_source_ordinal
True,True,92984,0,5,36,7214,4848,4,1,0,0,0,2025-09-19,ESZ5,92984,1,True,utc_timestamp_ns_then_source_ordinal
True,True,73339,0,15,47,14389,25151,11,1,0,0,0,2025-09-22,ESZ5,73339,0,True,utc_timestamp_ns_then_source_ordinal
True,True,72600,0,10,70,6243,48372,14,0,0,0,0,2025-09-23,ESZ5,72600,2,True,utc_timestamp_ns_then_source_ordinal
True,True,86833,0,11,57,9388,8805,24,1,0,0,0,2025-09-24,ESZ5,86833,2,True,utc_timestamp_ns_then_source_ordinal
True,True,155565,0,14,39,20827,23187,0,0,0,0,0,2025-09-25,ESZ5,155565,0,True,utc_timestamp_ns_then_source_ordinal
True,True,153243,0,21,56,3436,14150,2,0,0,0,0,2025-09-26,ESZ5,153243,2,True,utc_timestamp_ns_then_source_ordinal
True,True,91318,0,8,34,2325,0,43,0,0,0,0,2025-09-29,ESZ5,91318,2,True,utc_timestamp_ns_then_source_ordinal
True,True,116673,0,8,93,5054,9895,10,0,0,0,0,2025-09-30,ESZ5,116673,2,True,utc_timestamp_ns_then_source_ordinal
True,True,114115,0,29,54,9098,20724,2,0,0,0,0,2025-10-01,ESZ5,114115,0,True,utc_timestamp_ns_then_source_ordinal
True,True,113000,0,13,24,3117,0,5,0,0,0,0,2025-10-02,ESZ5,113000,1,True,utc_timestamp_ns_then_source_ordinal
True,True,95092,0,32,54,4977,0,23,0,0,0,0,2025-10-03,ESZ5,95092,3,True,utc_timestamp_ns_then_source_ordinal
True,True,101345,0,23,56,4333,6023,10,6,0,0,0,2025-10-06,ESZ5,101345,3,True,utc_timestamp_ns_then_source_ordinal
True,True,85313,0,13,51,10929,16863,2,0,0,0,0,2025-10-07,ESZ5,85313,0,True,utc_timestamp_ns_then_source_ordinal
True,True,92687,0,18,50,4301,3074,4,1,0,0,0,2025-10-08,ESZ5,92687,2,True,utc_timestamp_ns_then_source_ordinal
True,True,112653,0,48,91,9656,6770,7,2,0,0,0,2025-10-09,ESZ5,112653,2,True,utc_timestamp_ns_then_source_ordinal
True,True,136619,0,43,78,9148,7551,29,0,0,0,0,2025-10-10,ESZ5,136619,2,True,utc_timestamp_ns_then_source_ordinal
True,True,189915,0,33,74,4726,22715,3,0,0,0,0,2025-10-13,ESZ5,189915,1,True,utc_timestamp_ns_then_source_ordinal
True,True,201958,0,17,63,11028,37682,17,0,0,0,0,2025-10-14,ESZ5,201958,1,True,utc_timestamp_ns_then_source_ordinal
True,True,139773,0,9,32,6985,14968,3,0,0,0,0,2025-10-15,ESZ5,139773,1,True,utc_timestamp_ns_then_source_ordinal
True,True,159238,0,21,165,5938,11965,42,0,0,0,0,2025-10-16,ESZ5,159238,2,True,utc_timestamp_ns_then_source_ordinal
True,True,213056,0,70,134,12233,7946,4,0,0,0,0,2025-10-17,ESZ5,213056,1,True,utc_timestamp_ns_then_source_ordinal
True,True,104901,0,62,86,14725,6409,0,0,0,0,0,2025-10-20,ESZ5,104901,0,True,utc_timestamp_ns_then_source_ordinal
True,True,119736,0,26,119,10715,2709,8,1,0,0,0,2025-10-21,ESZ5,119736,2,True,utc_timestamp_ns_then_source_ordinal
True,True,166019,0,34,59,17420,51054,6,1,0,0,0,2025-10-22,ESZ5,166019,1,True,utc_timestamp_ns_then_source_ordinal
True,True,128992,0,12,82,5973,15454,5,0,0,0,0,2025-10-23,ESZ5,128992,1,True,utc_timestamp_ns_then_source_ordinal
True,True,132987,0,12,83,12614,33168,2,0,0,0,0,2025-10-24,ESZ5,132987,1,True,utc_timestamp_ns_then_source_ordinal
True,True,91807,0,9,35,4620,11407,10,0,0,0,0,2025-10-27,ESZ5,91807,2,True,utc_timestamp_ns_then_source_ordinal
True,True,87636,0,7,56,6350,12711,3,0,0,0,0,2025-10-28,ESZ5,87636,1,True,utc_timestamp_ns_then_source_ordinal
True,True,85801,0,15,86,4742,1973,5,1,0,0,0,2025-10-29,ESZ5,85801,2,True,utc_timestamp_ns_then_source_ordinal
True,True,197983,0,16,82,4247,26625,0,0,0,0,0,2025-10-30,ESZ5,197983,0,True,utc_timestamp_ns_then_source_ordinal
True,True,124637,0,16,55,6517,31662,26,0,0,0,0,2025-10-31,ESZ5,124637,1,True,utc_timestamp_ns_then_source_ordinal
True,True,144308,0,35,93,3015,388,0,0,0,0,0,2025-11-03,ESZ5,144308,0,True,utc_timestamp_ns_then_source_ordinal
True,True,144110,0,72,38,9650,13387,1,0,0,0,0,2025-11-04,ESZ5,144110,0,True,utc_timestamp_ns_then_source_ordinal
True,True,142082,0,36,72,3308,0,2,0,0,0,0,2025-11-05,ESZ5,142082,2,True,utc_timestamp_ns_then_source_ordinal
True,True,195401,0,26,40,14151,60778,3,0,0,0,0,2025-11-06,ESZ5,195401,1,True,utc_timestamp_ns_then_source_ordinal
True,True,207302,0,34,123,7312,20281,7,0,0,0,0,2025-11-07,ESZ5,207302,1,True,utc_timestamp_ns_then_source_ordinal
True,True,131420,0,7,97,12307,26238,3,0,0,0,0,2025-11-10,ESZ5,131420,1,True,utc_timestamp_ns_then_source_ordinal
True,True,119279,0,8,52,719,656,6,0,0,0,0,2025-11-11,ESZ5,119279,2,True,utc_timestamp_ns_then_source_ordinal
True,True,130293,0,22,79,8144,33001,3,0,0,0,0,2025-11-12,ESZ5,130293,2,True,utc_timestamp_ns_then_source_ordinal
True,True,189994,0,63,68,11022,25937,10,0,0,0,0,2025-11-13,ESZ5,189994,0,True,utc_timestamp_ns_then_source_ordinal
True,True,244522,0,20,92,10002,59226,0,0,0,0,0,2025-11-14,ESZ5,244522,0,True,utc_timestamp_ns_then_source_ordinal
True,True,155933,0,27,86,1741,1560,3,0,0,0,0,2025-11-17,ESZ5,155933,1,True,utc_timestamp_ns_then_source_ordinal
True,True,309815,0,22,77,4748,0,27,0,0,0,0,2025-11-18,ESZ5,309815,0,True,utc_timestamp_ns_then_source_ordinal
True,True,183844,0,56,60,12680,30981,2,0,0,0,0,2025-11-19,ESZ5,183844,2,True,utc_timestamp_ns_then_source_ordinal
True,True,195100,0,8,71,5030,1703,4,0,0,0,0,2025-11-20,ESZ5,195100,3,True,utc_timestamp_ns_then_source_ordinal
True,True,293208,0,33,59,839,29,4,1,0,0,0,2025-11-21,ESZ5,293208,3,True,utc_timestamp_ns_then_source_ordinal
True,True,188238,0,20,88,1768,276,11,0,0,0,0,2025-11-24,ESZ5,188238,3,True,utc_timestamp_ns_then_source_ordinal
True,True,218235,0,29,48,2853,1713,11,0,0,0,0,2025-11-25,ESZ5,218235,1,True,utc_timestamp_ns_then_source_ordinal
True,True,148879,0,43,114,7310,485,44,0,0,0,0,2025-11-26,ESZ5,148879,2,True,utc_timestamp_ns_then_source_ordinal
True,True,5380,0,10,19,0,0,0,0,0,0,0,2025-11-27,ESZ5,5380,0,True,utc_timestamp_ns_then_source_ordinal
True,True,30588,0,25,73,432,0,0,0,0,0,0,2025-11-28,ESZ5,30588,0,True,utc_timestamp_ns_then_source_ordinal
True,True,146264,0,17,77,6169,25362,7,0,0,0,0,2025-12-01,ESZ5,146264,1,True,utc_timestamp_ns_then_source_ordinal
