variant_id,entry_combo,full_signals,signals_per_year_full,limited_core_start,limited_core_end,limited_core_signals,signals_per_year_limited_core,latest_252_signals,fails_full_50_per_year,fails_limited_core_50_per_year,fails_latest_252_50,passes_full_50_per_year,passes_limited_core_50_per_year,passes_latest_252_count_50
three_slot_down_extension_fade_long,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=4",1116,73.756098,2011-02-22,2012-09-07,116,78.792453,72,False,False,False,True,True,True
three_slot_down_extension_fade_long,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=5",1066,70.451613,2011-02-22,2012-09-07,106,72.0,71,False,False,False,True,True,True
three_slot_down_extension_fade_long,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=6",1024,67.675846,2011-02-22,2012-09-07,98,66.566038,71,False,False,False,True,True,True
three_slot_down_extension_fade_long,"entry.params.rank_threshold=0.35,entry.params.min_return_ticks=4",1618,106.933124,2011-02-22,2012-09-07,164,111.396226,100,False,False,False,True,True,True
three_slot_down_extension_fade_long,"entry.params.rank_threshold=0.35,entry.params.min_return_ticks=5",1541,101.844217,2011-02-22,2012-09-07,149,101.207547,99,False,False,False,True,True,True
three_slot_down_extension_fade_long,"entry.params.rank_threshold=0.35,entry.params.min_return_ticks=6",1479,97.746656,2011-02-22,2012-09-07,137,93.056604,99,False,False,False,True,True,True
three_slot_down_extension_fade_long,"entry.params.rank_threshold=0.45,entry.params.min_return_ticks=4",2096,138.523997,2011-02-22,2012-09-07,193,131.09434,131,False,False,False,True,True,True
three_slot_down_extension_fade_long,"entry.params.rank_threshold=0.45,entry.params.min_return_ticks=5",2005,132.509835,2011-02-22,2012-09-07,176,119.54717,129,False,False,False,True,True,True
three_slot_down_extension_fade_long,"entry.params.rank_threshold=0.45,entry.params.min_return_ticks=6",1931,127.619197,2011-02-22,2012-09-07,163,110.716981,128,False,False,False,True,True,True
three_slot_up_extension_fade_short,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=4",1446,95.565696,2011-02-22,2012-09-07,128,86.943396,98,False,False,False,True,True,True
three_slot_up_extension_fade_short,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=5",1415,93.516916,2011-02-22,2012-09-07,124,84.226415,98,False,False,False,True,True,True
three_slot_up_extension_fade_short,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=6",1365,90.212431,2011-02-22,2012-09-07,113,76.754717,98,False,False,False,True,True,True
three_slot_up_extension_fade_short,"entry.params.rank_threshold=0.35,entry.params.min_return_ticks=4",2072,136.937844,2011-02-22,2012-09-07,182,123.622642,150,False,False,False,True,True,True
three_slot_up_extension_fade_short,"entry.params.rank_threshold=0.35,entry.params.min_return_ticks=5",2024,133.765539,2011-02-22,2012-09-07,176,119.54717,150,False,False,False,True,True,True
three_slot_up_extension_fade_short,"entry.params.rank_threshold=0.35,entry.params.min_return_ticks=6",1951,128.940991,2011-02-22,2012-09-07,160,108.679245,150,False,False,False,True,True,True
three_slot_up_extension_fade_short,"entry.params.rank_threshold=0.45,entry.params.min_return_ticks=4",2587,170.974036,2011-02-22,2012-09-07,219,148.754717,188,False,False,False,True,True,True
three_slot_up_extension_fade_short,"entry.params.rank_threshold=0.45,entry.params.min_return_ticks=5",2526,166.942565,2011-02-22,2012-09-07,209,141.962264,187,False,False,False,True,True,True
three_slot_up_extension_fade_short,"entry.params.rank_threshold=0.45,entry.params.min_return_ticks=6",2447,161.721479,2011-02-22,2012-09-07,192,130.415094,187,False,False,False,True,True,True
two_slot_late_balanced_extension_fade,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=4",892,58.952006,2011-02-22,2012-09-07,90,61.132075,59,False,False,False,True,True,True
two_slot_late_balanced_extension_fade,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=5",869,57.431943,2011-02-22,2012-09-07,84,57.056604,59,False,False,False,True,True,True
two_slot_late_balanced_extension_fade,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=6",844,55.779701,2011-02-22,2012-09-07,79,53.660377,59,False,False,False,True,True,True
two_slot_late_balanced_extension_fade,"entry.params.rank_threshold=0.35,entry.params.min_return_ticks=4",1291,85.321794,2011-02-22,2012-09-07,123,83.54717,83,False,False,False,True,True,True
two_slot_late_balanced_extension_fade,"entry.params.rank_threshold=0.35,entry.params.min_return_ticks=5",1252,82.744296,2011-02-22,2012-09-07,114,77.433962,83,False,False,False,True,True,True
two_slot_late_balanced_extension_fade,"entry.params.rank_threshold=0.35,entry.params.min_return_ticks=6",1211,80.034618,2011-02-22,2012-09-07,104,70.641509,83,False,False,False,True,True,True
two_slot_late_balanced_extension_fade,"entry.params.rank_threshold=0.45,entry.params.min_return_ticks=4",1615,106.734854,2011-02-22,2012-09-07,147,99.849057,102,False,False,False,True,True,True
two_slot_late_balanced_extension_fade,"entry.params.rank_threshold=0.45,entry.params.min_return_ticks=5",1571,103.826908,2011-02-22,2012-09-07,136,92.377358,101,False,False,False,True,True,True
two_slot_late_balanced_extension_fade,"entry.params.rank_threshold=0.45,entry.params.min_return_ticks=6",1523,100.654603,2011-02-22,2012-09-07,126,85.584906,101,False,False,False,True,True,True
two_slot_midday_balanced_extension_fade,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=4",839,55.449253,2011-02-22,2012-09-07,80,54.339623,54,False,False,False,True,True,True
two_slot_midday_balanced_extension_fade,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=5",807,53.334382,2011-02-22,2012-09-07,75,50.943396,54,False,False,False,True,True,True
two_slot_midday_balanced_extension_fade,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=6",766,50.624705,2011-02-22,2012-09-07,65,44.150943,54,False,True,False,True,False,True
two_slot_midday_balanced_extension_fade,"entry.params.rank_threshold=0.35,entry.params.min_return_ticks=4",1194,78.911094,2011-02-22,2012-09-07,114,77.433962,79,False,False,False,True,True,True
two_slot_midday_balanced_extension_fade,"entry.params.rank_threshold=0.35,entry.params.min_return_ticks=5",1151,76.069237,2011-02-22,2012-09-07,106,72.0,79,False,False,False,True,True,True
two_slot_midday_balanced_extension_fade,"entry.params.rank_threshold=0.35,entry.params.min_return_ticks=6",1090,72.037766,2011-02-22,2012-09-07,93,63.169811,79,False,False,False,True,True,True
two_slot_midday_balanced_extension_fade,"entry.params.rank_threshold=0.45,entry.params.min_return_ticks=4",1523,100.654603,2011-02-22,2012-09-07,131,88.981132,105,False,False,False,True,True,True
two_slot_midday_balanced_extension_fade,"entry.params.rank_threshold=0.45,entry.params.min_return_ticks=5",1466,96.88749,2011-02-22,2012-09-07,121,82.188679,104,False,False,False,True,True,True
two_slot_midday_balanced_extension_fade,"entry.params.rank_threshold=0.45,entry.params.min_return_ticks=6",1396,92.261212,2011-02-22,2012-09-07,106,72.0,103,False,False,False,True,True,True
two_slot_morning_balanced_extension_fade,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=4",859,56.771046,2011-02-22,2012-09-07,80,54.339623,53,False,False,False,True,True,True
two_slot_morning_balanced_extension_fade,"entry.params.rank_threshold=0.25,entry.params.min_return_ticks=5",836,55.250983,2011-02-22,2012-09-07,75,50.943396,53,False,False,False,True,True,True
