campaign_id,variant_id,setup_mode,signal_time,min_abs_day_return_bps,recent_lookback_minutes,min_recent_return_bps,candidates,candidates_per_year,long_candidates,short_candidates,span_years
nq_leveraged_etf_rebalance_pressure,down_day_rebalance_short_1500,down_day_rebalance_short,15:00:00,35.0,30,0.0,1088,70.45957446808511,0,1088,15.441478439425051
nq_leveraged_etf_rebalance_pressure,down_day_rebalance_short_1500,down_day_rebalance_short,15:00:00,40.0,30,0.0,1028,66.57393617021276,0,1028,15.441478439425051
nq_leveraged_etf_rebalance_pressure,down_day_rebalance_short_1500,down_day_rebalance_short,15:00:00,45.0,30,0.0,959,62.105452127659575,0,959,15.441478439425051
nq_leveraged_etf_rebalance_pressure,late_acceleration_two_sided_1530,late_acceleration_two_sided,15:30:00,35.0,30,0.0,1597,103.42273936170213,932,665,15.441478439425051
nq_leveraged_etf_rebalance_pressure,late_acceleration_two_sided_1530,late_acceleration_two_sided,15:30:00,35.0,30,1.0,1520,98.43617021276596,878,642,15.441478439425051
nq_leveraged_etf_rebalance_pressure,late_acceleration_two_sided_1530,late_acceleration_two_sided,15:30:00,35.0,30,2.5,1407,91.11821808510638,795,612,15.441478439425051
nq_leveraged_etf_rebalance_pressure,late_acceleration_two_sided_1530,late_acceleration_two_sided,15:30:00,40.0,30,0.0,1513,97.98284574468086,876,637,15.441478439425051
nq_leveraged_etf_rebalance_pressure,late_acceleration_two_sided_1530,late_acceleration_two_sided,15:30:00,40.0,30,1.0,1442,93.38484042553192,826,616,15.441478439425051
nq_leveraged_etf_rebalance_pressure,late_acceleration_two_sided_1530,late_acceleration_two_sided,15:30:00,40.0,30,2.5,1345,87.1030585106383,755,590,15.441478439425051
nq_leveraged_etf_rebalance_pressure,late_acceleration_two_sided_1530,late_acceleration_two_sided,15:30:00,45.0,30,0.0,1441,93.32007978723405,837,604,15.441478439425051
nq_leveraged_etf_rebalance_pressure,late_acceleration_two_sided_1530,late_acceleration_two_sided,15:30:00,45.0,30,1.0,1376,89.11063829787234,792,584,15.441478439425051
nq_leveraged_etf_rebalance_pressure,late_acceleration_two_sided_1530,late_acceleration_two_sided,15:30:00,45.0,30,2.5,1287,83.3469414893617,727,560,15.441478439425051
nq_leveraged_etf_rebalance_pressure,two_sided_day_move_1430,two_sided_rebalance_pressure,14:30:00,40.0,30,0.0,2357,152.6408244680851,1338,1019,15.441478439425051
nq_leveraged_etf_rebalance_pressure,two_sided_day_move_1430,two_sided_rebalance_pressure,14:30:00,50.0,30,0.0,2092,135.47925531914893,1184,908,15.441478439425051
nq_leveraged_etf_rebalance_pressure,two_sided_day_move_1430,two_sided_rebalance_pressure,14:30:00,60.0,30,0.0,1867,120.90811170212766,1065,802,15.441478439425051
nq_leveraged_etf_rebalance_pressure,two_sided_day_move_1500,two_sided_rebalance_pressure,15:00:00,30.0,30,0.0,2701,174.9184840425532,1549,1152,15.441478439425051
nq_leveraged_etf_rebalance_pressure,two_sided_day_move_1500,two_sided_rebalance_pressure,15:00:00,40.0,30,0.0,2394,155.0369680851064,1366,1028,15.441478439425051
nq_leveraged_etf_rebalance_pressure,two_sided_day_move_1500,two_sided_rebalance_pressure,15:00:00,50.0,30,0.0,2123,137.48683510638298,1214,909,15.441478439425051
nq_leveraged_etf_rebalance_pressure,up_day_rebalance_long_1500,up_day_rebalance_long,15:00:00,25.0,30,0.0,1628,105.43031914893618,1628,0,15.441478439425051
nq_leveraged_etf_rebalance_pressure,up_day_rebalance_long_1500,up_day_rebalance_long,15:00:00,30.0,30,0.0,1549,100.31422872340426,1549,0,15.441478439425051
nq_leveraged_etf_rebalance_pressure,up_day_rebalance_long_1500,up_day_rebalance_long,15:00:00,35.0,30,0.0,1452,94.03244680851064,1452,0,15.441478439425051
