campaign_id,variant_id,scope,timeframe,entry_combo_count,min_signals_per_year,median_signals_per_year,max_signals_per_year,all_entry_corners_pass_density,weakest_band_z,weakest_min_orderflow_imbalance,strongest_band_z,strongest_min_orderflow_imbalance,period_start,period_end
es_rolling_stat_envelope_orderflow_reversion,afternoon_5m_large20_24bar_reversion_1500,limited_core_grid_test,5m,9,66.173179,168.027975,229.659858,True,2.75,0.4,1.75,0.1,2011-02-22,2012-09-06
es_rolling_stat_envelope_orderflow_reversion,afternoon_5m_large20_24bar_reversion_1500,full_configured_data,5m,9,78.33728,180.90793,235.076637,True,2.75,0.4,1.75,0.1,2011-01-03,2026-06-09
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,limited_core_grid_test,1m,9,236.147425,241.986234,241.986234,True,3.0,0.3,2.0,0.1,2011-02-22,2012-09-06
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,full_configured_data,1m,9,175.011575,242.528073,246.998936,True,3.0,0.3,2.0,0.1,2011-01-03,2026-06-09
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,limited_core_grid_test,5m,9,106.396092,179.705595,230.308615,True,2.75,0.25,1.75,0.1,2011-02-22,2012-09-06
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,full_configured_data,5m,9,86.955029,162.311735,230.346594,True,2.75,0.25,1.75,0.1,2011-01-03,2026-06-09
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,limited_core_grid_test,5m,9,139.482682,205.007105,229.011101,True,2.75,0.2,1.75,0.1,2011-02-22,2012-09-06
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,full_configured_data,5m,9,70.561868,135.356972,215.31413,True,2.75,0.2,1.75,0.1,2011-01-03,2026-06-09
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,limited_core_grid_test,5m,9,126.507549,198.519538,236.796181,True,2.75,0.2,1.75,0.1,2011-02-22,2012-09-06
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,full_configured_data,5m,9,59.741086,124.471394,202.225519,True,2.75,0.2,1.75,0.1,2011-01-03,2026-06-09
