variant_id,signals,sessions,sessions_per_year,long_signals,short_signals,setup_mode,share_mode,lookback_minutes,start_time,end_time,volatility_filter_label,volatility_gate_column,volatility_gate_max
all_aoi_notional30_absret5_1500,657,657,108.3382618510158,330,327,all_aoi_pullback,notional,30,10:00:00,15:00:00,exclude_extreme_absret5,absret5_rank_252,0.95
market_trade15_absret5_1500,544,544,89.70474040632055,282,262,market_aoi_pullback,trade,15,10:00:00,15:00:00,exclude_extreme_absret5,absret5_rank_252,0.95
opening_trade15_range10_1200,226,226,37.267042889390524,123,103,opening_range_pullback,trade,15,10:00:00,12:00:00,exclude_extreme_range10,range10_rank_252,0.95
profile_trade15_absorption_absret5_1500,218,218,35.947855530474044,117,101,profile_aoi_pullback,trade,15,10:00:00,15:00:00,exclude_extreme_absret5,absret5_rank_252,0.95
overnight_trade15_downside20_1500,216,216,35.618058690744924,119,97,overnight_pullback,trade,15,10:00:00,15:00:00,exclude_extreme_downside20,downside20_rank_252,0.95
value_area_trade15_downside20_1500,207,207,34.13397291196389,96,111,value_area_pullback,trade,15,10:00:00,15:00:00,exclude_extreme_downside20,downside20_rank_252,0.95
prior_extreme_trade15_range10_1500,181,181,29.846613995485328,94,87,prior_extreme_pullback,trade,15,10:00:00,15:00:00,exclude_extreme_range10,range10_rank_252,0.95
lvn_trade15_vol_downshift_1500,178,178,29.35191873589165,88,90,lvn_pullback,trade,15,10:00:00,15:00:00,vol_downshift,vol5_over_vol20,1.25
