variant_id,min_sector_count,min_orderflow_imbalance,window,start_date,end_date,signals,signals_per_year
broad_down_vwap_accept_short_1130,5,0.02,limited_core,2011-02-22,2012-09-06,72,46.79359430604982
broad_down_vwap_accept_short_1130,5,0.02,wfa90,2011-01-03,2024-12-22,376,26.91767934143473
broad_down_vwap_accept_short_1130,5,0.02,latest1y,2025-06-10,2026-06-09,6,6.020604395604395
broad_down_vwap_accept_short_1130,5,0.04,full,2011-01-03,2026-06-09,192,12.442867281760114
broad_down_vwap_accept_short_1130,5,0.04,limited_core,2011-02-22,2012-09-06,47,30.545818505338076
broad_down_vwap_accept_short_1130,5,0.04,wfa90,2011-01-03,2024-12-22,187,13.387250098000784
broad_down_vwap_accept_short_1130,5,0.04,latest1y,2025-06-10,2026-06-09,1,1.003434065934066
broad_down_vwap_accept_short_1130,6,0.0,full,2011-01-03,2026-06-09,510,33.0513662171753
broad_down_vwap_accept_short_1130,6,0.0,limited_core,2011-02-22,2012-09-06,80,51.99288256227758
broad_down_vwap_accept_short_1130,6,0.0,wfa90,2011-01-03,2024-12-22,479,34.29140533124265
broad_down_vwap_accept_short_1130,6,0.0,latest1y,2025-06-10,2026-06-09,17,17.05837912087912
broad_down_vwap_accept_short_1130,6,0.02,full,2011-01-03,2026-06-09,301,19.50678672817601
broad_down_vwap_accept_short_1130,6,0.02,limited_core,2011-02-22,2012-09-06,63,40.94439501779359
broad_down_vwap_accept_short_1130,6,0.02,wfa90,2011-01-03,2024-12-22,292,20.904155233241866
broad_down_vwap_accept_short_1130,6,0.02,latest1y,2025-06-10,2026-06-09,2,2.006868131868132
broad_down_vwap_accept_short_1130,6,0.04,full,2011-01-03,2026-06-09,147,9.526570262597588
broad_down_vwap_accept_short_1130,6,0.04,limited_core,2011-02-22,2012-09-06,43,27.9461743772242
broad_down_vwap_accept_short_1130,6,0.04,wfa90,2011-01-03,2024-12-22,145,10.380488043904352
broad_down_vwap_accept_short_1130,6,0.04,latest1y,2025-06-10,2026-06-09,0,0.0
cyclical_up_vwap_accept_long_1130,2,0.0,full,2011-01-03,2026-06-09,1117,72.38897267565649
cyclical_up_vwap_accept_long_1130,2,0.0,limited_core,2011-02-22,2012-09-06,109,70.8403024911032
cyclical_up_vwap_accept_long_1130,2,0.0,wfa90,2011-01-03,2024-12-22,997,71.37480399843199
cyclical_up_vwap_accept_long_1130,2,0.0,latest1y,2025-06-10,2026-06-09,85,85.2918956043956
cyclical_up_vwap_accept_long_1130,2,0.02,full,2011-01-03,2026-06-09,688,44.58694109297374
cyclical_up_vwap_accept_long_1130,2,0.02,limited_core,2011-02-22,2012-09-06,86,55.8923487544484
