variant,rank_column,direction_tail,threshold,signals,signals_per_year
high_1d_vov_premium_long_1000,intraday_vov1_rank_252,high,0.25,1021,66.132337
high_1d_vov_premium_long_1000,intraday_vov1_rank_252,high,0.35,1382,89.515074
high_1d_vov_premium_long_1000,intraday_vov1_rank_252,high,0.45,1756,113.739847
high_1d_vov_stress_short_1030,intraday_vov1_rank_252,high,0.25,1021,66.132337
high_1d_vov_stress_short_1030,intraday_vov1_rank_252,high,0.35,1382,89.515074
high_1d_vov_stress_short_1030,intraday_vov1_rank_252,high,0.45,1756,113.739847
low_1d_vov_calm_long_1130,intraday_vov1_rank_252,low,0.25,919,59.525581
low_1d_vov_calm_long_1130,intraday_vov1_rank_252,low,0.35,1286,83.296950
low_1d_vov_calm_long_1130,intraday_vov1_rank_252,low,0.45,1653,107.068319
high_5d_vov_premium_long_1200,intraday_vov5_rank_252,high,0.25,1073,69.500488
high_5d_vov_premium_long_1200,intraday_vov5_rank_252,high,0.35,1453,94.113894
high_5d_vov_premium_long_1200,intraday_vov5_rank_252,high,0.45,1816,117.626175
two_sided_20d_vov_state_1330,intraday_vov20_rank_252,two,0.25,2044,132.394219
two_sided_20d_vov_state_1330,intraday_vov20_rank_252,two,0.35,2749,178.058565
two_sided_20d_vov_state_1330,intraday_vov20_rank_252,two,0.45,3405,220.549078
