variant_id,rank_column,direction_mode,rank_min_threshold,rank_max_threshold,window,window_start,window_end,sessions,signals,signals_per_year,density_pass
strong_trade_balance_share_long_1000,trade_balance_to_trade_rank_120m,high,0.55,,full,2011-01-03,2026-06-12,3813,2012,132.97246262785208,True
strong_trade_balance_share_long_1000,trade_balance_to_trade_rank_120m,high,0.55,,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
strong_trade_balance_share_long_1000,trade_balance_to_trade_rank_120m,high,0.55,,latest_252,2025-06-09,2026-06-12,252,171,171.0,True
strong_trade_balance_share_long_1000,trade_balance_to_trade_rank_120m,high,0.6,,full,2011-01-03,2026-06-12,3813,1926,127.28874901652242,True
strong_trade_balance_share_long_1000,trade_balance_to_trade_rank_120m,high,0.6,,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
strong_trade_balance_share_long_1000,trade_balance_to_trade_rank_120m,high,0.6,,latest_252,2025-06-09,2026-06-12,252,171,171.0,True
strong_trade_balance_share_long_1000,trade_balance_to_trade_rank_120m,high,0.65,,full,2011-01-03,2026-06-12,3813,1794,118.56490952006294,True
strong_trade_balance_share_long_1000,trade_balance_to_trade_rank_120m,high,0.65,,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
strong_trade_balance_share_long_1000,trade_balance_to_trade_rank_120m,high,0.65,,latest_252,2025-06-09,2026-06-12,252,148,148.0,True
high_export_import_ratio_long_1030,export_import_ratio_rank_120m,high,0.55,,full,2011-01-03,2026-06-12,3813,1632,107.85837922895358,True
high_export_import_ratio_long_1030,export_import_ratio_rank_120m,high,0.55,,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
high_export_import_ratio_long_1030,export_import_ratio_rank_120m,high,0.55,,latest_252,2025-06-09,2026-06-12,252,212,212.0,True
high_export_import_ratio_long_1030,export_import_ratio_rank_120m,high,0.6,,full,2011-01-03,2026-06-12,3813,1491,98.53973249409913,True
high_export_import_ratio_long_1030,export_import_ratio_rank_120m,high,0.6,,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
high_export_import_ratio_long_1030,export_import_ratio_rank_120m,high,0.6,,latest_252,2025-06-09,2026-06-12,252,212,212.0,True
high_export_import_ratio_long_1030,export_import_ratio_rank_120m,high,0.65,,full,2011-01-03,2026-06-12,3813,1406,92.92210857592447,True
high_export_import_ratio_long_1030,export_import_ratio_rank_120m,high,0.65,,limited_core,2011-02-22,2012-09-07,371,371,251.99999999999997,True
high_export_import_ratio_long_1030,export_import_ratio_rank_120m,high,0.65,,latest_252,2025-06-09,2026-06-12,252,212,212.0,True
export_growth_strength_long_1130,exports_change_3m_rank_120m,high,0.55,,full,2011-01-03,2026-06-12,3813,1368,90.41070023603461,True
export_growth_strength_long_1130,exports_change_3m_rank_120m,high,0.55,,limited_core,2011-02-22,2012-09-07,371,105,71.32075471698113,True
export_growth_strength_long_1130,exports_change_3m_rank_120m,high,0.55,,latest_252,2025-06-09,2026-06-12,252,144,144.0,True
export_growth_strength_long_1130,exports_change_3m_rank_120m,high,0.6,,full,2011-01-03,2026-06-12,3813,1178,77.85365853658536,True
export_growth_strength_long_1130,exports_change_3m_rank_120m,high,0.6,,limited_core,2011-02-22,2012-09-07,371,105,71.32075471698113,True
export_growth_strength_long_1130,exports_change_3m_rank_120m,high,0.6,,latest_252,2025-06-09,2026-06-12,252,123,123.0,True
export_growth_strength_long_1130,exports_change_3m_rank_120m,high,0.65,,full,2011-01-03,2026-06-12,3813,1120,74.02045633359559,True
export_growth_strength_long_1130,exports_change_3m_rank_120m,high,0.65,,limited_core,2011-02-22,2012-09-07,371,105,71.32075471698113,True
export_growth_strength_long_1130,exports_change_3m_rank_120m,high,0.65,,latest_252,2025-06-09,2026-06-12,252,123,123.0,True
weak_import_growth_short_1200,imports_change_3m_rank_120m,low,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3813,1988,131.38630999213217,True
weak_import_growth_short_1200,imports_change_3m_rank_120m,low,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,371,203,137.88679245283018,True
weak_import_growth_short_1200,imports_change_3m_rank_120m,low,0.55,0.44999999999999996,latest_252,2025-06-09,2026-06-12,252,100,100.0,True
weak_import_growth_short_1200,imports_change_3m_rank_120m,low,0.6,0.4,full,2011-01-03,2026-06-12,3813,1787,118.10228166797796,True
weak_import_growth_short_1200,imports_change_3m_rank_120m,low,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,166,112.75471698113206,True
weak_import_growth_short_1200,imports_change_3m_rank_120m,low,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,100,100.0,True
weak_import_growth_short_1200,imports_change_3m_rank_120m,low,0.65,0.35,full,2011-01-03,2026-06-12,3813,1660,109.70889063729346,True
weak_import_growth_short_1200,imports_change_3m_rank_120m,low,0.65,0.35,limited_core,2011-02-22,2012-09-07,371,145,98.49056603773585,True
weak_import_growth_short_1200,imports_change_3m_rank_120m,low,0.65,0.35,latest_252,2025-06-09,2026-06-12,252,100,100.0,True
deteriorating_balance_short_1330,balance_change_3m_rank_120m,low,0.55,0.44999999999999996,full,2011-01-03,2026-06-12,3813,1828,120.81195908733281,True
deteriorating_balance_short_1330,balance_change_3m_rank_120m,low,0.55,0.44999999999999996,limited_core,2011-02-22,2012-09-07,371,196,133.1320754716981,True
deteriorating_balance_short_1330,balance_change_3m_rank_120m,low,0.55,0.44999999999999996,latest_252,2025-06-09,2026-06-12,252,83,83.0,True
deteriorating_balance_short_1330,balance_change_3m_rank_120m,low,0.6,0.4,full,2011-01-03,2026-06-12,3813,1678,110.89850511408339,True
deteriorating_balance_short_1330,balance_change_3m_rank_120m,low,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,196,133.1320754716981,True
deteriorating_balance_short_1330,balance_change_3m_rank_120m,low,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,83,83.0,True
deteriorating_balance_short_1330,balance_change_3m_rank_120m,low,0.65,0.35,full,2011-01-03,2026-06-12,3813,1458,96.35877261998426,True
deteriorating_balance_short_1330,balance_change_3m_rank_120m,low,0.65,0.35,limited_core,2011-02-22,2012-09-07,371,141,95.77358490566037,True
