variant_id,setup_mode,driver_column,threshold,signals,sessions,years_252,signals_per_year,passes_50_per_year
funding_stress_short_1130,funding_stress_short,funding_rank_252,0.65,1414,3813,15.130952,93.450826,True
funding_stress_short_1130,funding_stress_short,funding_rank_252,0.7,1295,3813,15.130952,85.586153,True
funding_stress_short_1130,funding_stress_short,funding_rank_252,0.75,1163,3813,15.130952,76.862313,True
high_credit_stress_short_1030,high_credit_stress_short,credit_rank_252,0.65,1213,3813,15.130952,80.166798,True
high_credit_stress_short_1030,high_credit_stress_short,credit_rank_252,0.7,1128,3813,15.130952,74.549174,True
high_credit_stress_short_1030,high_credit_stress_short,credit_rank_252,0.75,1015,3813,15.130952,67.081039,True
rising_global_stress_short_1000,rising_global_stress_short,ofr_fsi_change_1d_rank_252,0.65,1357,3813,15.130952,89.683714,True
rising_global_stress_short_1000,rising_global_stress_short,ofr_fsi_change_1d_rank_252,0.7,1148,3813,15.130952,75.870968,True
rising_global_stress_short_1000,rising_global_stress_short,ofr_fsi_change_1d_rank_252,0.75,971,3813,15.130952,64.173092,True
us_stress_short_1200,us_stress_short,united_states_rank_252,0.65,1252,3813,15.130952,82.744296,True
us_stress_short_1200,us_stress_short,united_states_rank_252,0.7,1149,3813,15.130952,75.937057,True
us_stress_short_1200,us_stress_short,united_states_rank_252,0.75,1010,3813,15.130952,66.75059,True
volatility_stress_short_1330,volatility_stress_short,volatility_rank_252,0.65,1337,3813,15.130952,88.36192,True
volatility_stress_short_1330,volatility_stress_short,volatility_rank_252,0.7,1199,3813,15.130952,79.241542,True
volatility_stress_short_1330,volatility_stress_short,volatility_rank_252,0.75,1046,3813,15.130952,69.129819,True
