variant_id,setup_mode,direction,threshold_name,threshold,rank_column,window,start_date,end_date,signals,signals_per_year,density_pass
indpro_3m_strength_long_1200,indpro_3m_strength_long,long,rank_min,0.6,indpro_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,179,155.66607142857143,True
indpro_3m_strength_long_1200,indpro_3m_strength_long,long,rank_min,0.6,indpro_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,104,104.35714285714285,True
indpro_3m_strength_long_1200,indpro_3m_strength_long,long,rank_min,0.65,indpro_change_3m_rank_120m,full,2011-01-03,2026-06-12,1216,78.7629012236212,True
indpro_3m_strength_long_1200,indpro_3m_strength_long,long,rank_min,0.65,indpro_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,179,155.66607142857143,True
indpro_3m_strength_long_1200,indpro_3m_strength_long,long,rank_min,0.65,indpro_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,82,82.2815934065934,True
cumfns_3m_weakness_long_1330,cumfns_3m_weakness_long,long,rank_max,0.5,cumfns_change_3m_rank_120m,full,2011-01-03,2026-06-12,2181,141.2679996453272,True
cumfns_3m_weakness_long_1330,cumfns_3m_weakness_long,long,rank_max,0.5,cumfns_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,60,52.17857142857143,True
cumfns_3m_weakness_long_1330,cumfns_3m_weakness_long,long,rank_max,0.5,cumfns_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,102,102.35027472527472,True
cumfns_3m_weakness_long_1330,cumfns_3m_weakness_long,long,rank_max,0.55,cumfns_change_3m_rank_120m,full,2011-01-03,2026-06-12,2429,157.33148607909203,True
cumfns_3m_weakness_long_1330,cumfns_3m_weakness_long,long,rank_max,0.55,cumfns_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,80,69.57142857142857,True
cumfns_3m_weakness_long_1330,cumfns_3m_weakness_long,long,rank_max,0.55,cumfns_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,121,121.41552197802197,True
cumfns_3m_weakness_long_1330,cumfns_3m_weakness_long,long,rank_max,0.6,cumfns_change_3m_rank_120m,full,2011-01-03,2026-06-12,2537,164.32687533250575,True
cumfns_3m_weakness_long_1330,cumfns_3m_weakness_long,long,rank_max,0.6,cumfns_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,80,69.57142857142857,True
cumfns_3m_weakness_long_1330,cumfns_3m_weakness_long,long,rank_max,0.6,cumfns_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,121,121.41552197802197,True
