variant_id,timeframe,min_down_move_ticks,max_close_location_from_low,signals_full,signals_per_year,signals_latest_252_sessions,latest_signals_per_year
afternoon_15m_liquidation_snapback_long_1530,15m,12,0.3,1186,76.8197375421174,60,60
afternoon_15m_liquidation_snapback_long_1530,15m,12,0.4,1323,85.69351835431814,75,75
afternoon_15m_liquidation_snapback_long_1530,15m,12,0.5,1410,91.32869303067919,79,79
afternoon_15m_liquidation_snapback_long_1530,15m,16,0.3,1130,73.19249866997694,60,60
afternoon_15m_liquidation_snapback_long_1530,15m,16,0.4,1261,81.67764674587693,75,75
afternoon_15m_liquidation_snapback_long_1530,15m,16,0.5,1336,86.53555594963646,79,79
afternoon_15m_liquidation_snapback_long_1530,15m,20,0.3,1056,68.39936158893421,60,60
afternoon_15m_liquidation_snapback_long_1530,15m,20,0.4,1172,75.91292782408227,74,74
afternoon_15m_liquidation_snapback_long_1530,15m,20,0.5,1242,80.44697641425785,79,79
full_session_15m_structural_flush_reclaim_long_1530,15m,12,0.3,1165,75.45952296506472,59,59
full_session_15m_structural_flush_reclaim_long_1530,15m,12,0.4,1305,84.52762014541585,70,70
full_session_15m_structural_flush_reclaim_long_1530,15m,12,0.5,1394,90.29233906721049,76,76
full_session_15m_structural_flush_reclaim_long_1530,15m,16,0.3,1126,72.93341017910977,59,59
full_session_15m_structural_flush_reclaim_long_1530,15m,16,0.4,1262,81.74241886859372,70,70
full_session_15m_structural_flush_reclaim_long_1530,15m,16,0.5,1341,86.85941656322042,76,76
full_session_15m_structural_flush_reclaim_long_1530,15m,20,0.3,1070,69.30617130696932,59,59
full_session_15m_structural_flush_reclaim_long_1530,15m,20,0.4,1188,76.94928178755099,69,69
full_session_15m_structural_flush_reclaim_long_1530,15m,20,0.5,1261,81.67764674587693,76,76
midday_15m_vwap_flush_reclaim_long_1430,15m,12,0.3,967,62.63464266713956,52,52
midday_15m_vwap_flush_reclaim_long_1430,15m,12,0.4,1094,70.86070225217237,60,60
midday_15m_vwap_flush_reclaim_long_1430,15m,12,0.5,1182,76.56064905125022,66,66
midday_15m_vwap_flush_reclaim_long_1430,15m,16,0.3,936,60.62670686291896,52,52
midday_15m_vwap_flush_reclaim_long_1430,15m,16,0.4,1055,68.33458946621741,60,60
midday_15m_vwap_flush_reclaim_long_1430,15m,16,0.5,1137,73.6459035289945,66,66
midday_15m_vwap_flush_reclaim_long_1430,15m,20,0.3,881,57.064240113495295,52,52
midday_15m_vwap_flush_reclaim_long_1430,15m,20,0.4,986,63.86531299875864,60,60
midday_15m_vwap_flush_reclaim_long_1430,15m,20,0.5,1059,68.59367795708458,66,66
morning_10m_volume_flush_reclaim_long_1230,10m,8,0.3,967,62.63464266713956,63,63
morning_10m_volume_flush_reclaim_long_1230,10m,8,0.4,1094,70.86070225217237,71,71
morning_10m_volume_flush_reclaim_long_1230,10m,8,0.5,1174,76.04247206951587,76,76
morning_10m_volume_flush_reclaim_long_1230,10m,12,0.3,948,61.40397233552048,63,63
morning_10m_volume_flush_reclaim_long_1230,10m,12,0.4,1068,69.17662706153573,71,71
morning_10m_volume_flush_reclaim_long_1230,10m,12,0.5,1137,73.6459035289945,76,76
morning_10m_volume_flush_reclaim_long_1230,10m,16,0.3,919,59.52558077673346,63,63
morning_10m_volume_flush_reclaim_long_1230,10m,16,0.4,1035,67.03914701188154,71,71
morning_10m_volume_flush_reclaim_long_1230,10m,16,0.5,1097,71.05501862032276,76,76
opening_5m_volume_flush_reclaim_long_1100,5m,4,0.3,1054,68.26981734350062,61,61
opening_5m_volume_flush_reclaim_long_1100,5m,4,0.4,1182,76.56064905125022,70,70
opening_5m_volume_flush_reclaim_long_1100,5m,4,0.5,1260,81.61287462316014,77,77
opening_5m_volume_flush_reclaim_long_1100,5m,8,0.3,1046,67.75164036176626,61,61
opening_5m_volume_flush_reclaim_long_1100,5m,8,0.4,1166,75.52429508778152,70,70
opening_5m_volume_flush_reclaim_long_1100,5m,8,0.5,1236,80.05834367795708,77,77
opening_5m_volume_flush_reclaim_long_1100,5m,12,0.3,1012,65.54938818939527,61,61
opening_5m_volume_flush_reclaim_long_1100,5m,12,0.4,1124,72.80386593367618,70,70
opening_5m_volume_flush_reclaim_long_1100,5m,12,0.5,1182,76.56064905125022,77,77
