variant_id,entry_rows,rows_passing_density,min_signals_per_year,full_min_signals,limited_core_min_signals,latest_252_min_signals,density_gate_pass
revolving_credit_1m_relief_long_1330,9,9,73.02911093627065,1105,173,128,True
revolving_credit_3m_relief_long_1030,9,9,79.83634933123524,1208,271,201,True
revolving_credit_to_income_low_long_1200,9,9,231.6443745082612,3505,371,252,True
total_credit_3m_contraction_short_1000,9,9,69.9622641509434,1484,103,207,True
total_credit_to_income_low_long_1130,9,9,118.23446105428796,1789,371,252,True
