variant_id,trigger_mode,signal_time,min_abs_move_ticks,signals,long_signals,short_signals,sessions,years_252,signals_per_year,passes_50_per_year
all_0dte_trend_continuation_1330,continue_move,13:30:00,0.0,524,324,200,2564,10.174603,51.50078,True
all_0dte_trend_continuation_1330,continue_move,13:30:00,4.0,521,324,197,2564,10.174603,51.205928,True
all_0dte_trend_continuation_1330,continue_move,13:30:00,8.0,521,324,197,2564,10.174603,51.205928,True
all_0dte_trend_continuation_1400,continue_move,14:00:00,0.0,554,339,215,2564,10.174603,54.449298,True
all_0dte_trend_continuation_1400,continue_move,14:00:00,4.0,552,338,214,2564,10.174603,54.25273,True
all_0dte_trend_continuation_1400,continue_move,14:00:00,8.0,551,338,213,2564,10.174603,54.154446,True
all_0dte_trend_continuation_1500,continue_move,15:00:00,0.0,529,336,193,2564,10.174603,51.9922,True
all_0dte_trend_continuation_1500,continue_move,15:00:00,4.0,527,335,192,2564,10.174603,51.795632,True
all_0dte_trend_continuation_1500,continue_move,15:00:00,8.0,526,334,192,2564,10.174603,51.697348,True
all_0dte_trend_only_1330,calendar_only,13:30:00,0.0,547,333,214,2564,10.174603,53.76131,True
all_0dte_trend_only_1500,calendar_only,15:00:00,0.0,619,391,228,2564,10.174603,60.837754,True
