variant_id,share_rank_min,semivar_rank_min,window,signals,signals_per_year
late_morning30_notional_high_downside_window_1230,0.6,0.6,limited_core,83,117.50290697674419
late_morning30_notional_high_downside_window_1230,0.6,0.6,wfa90,479,75.0556628056628
late_morning30_notional_high_downside_window_1230,0.6,0.6,latest1y,54,54.185439560439555
midday60_notional_high_downside_window_1430,0.4,0.5,full,727,102.4842724816673
midday60_notional_high_downside_window_1430,0.4,0.5,limited_core,98,138.73837209302326
midday60_notional_high_downside_window_1430,0.4,0.5,wfa90,649,101.69337194337194
midday60_notional_high_downside_window_1430,0.4,0.5,latest1y,93,93.31936813186813
midday60_notional_high_downside_window_1430,0.4,0.6,full,596,84.01736781165573
midday60_notional_high_downside_window_1430,0.4,0.6,limited_core,87,123.1656976744186
midday60_notional_high_downside_window_1430,0.4,0.6,wfa90,536,83.98712998712999
midday60_notional_high_downside_window_1430,0.4,0.6,latest1y,67,67.23008241758241
midday60_notional_high_downside_window_1430,0.5,0.5,full,694,97.83230412967966
midday60_notional_high_downside_window_1430,0.5,0.5,limited_core,97,137.32267441860463
midday60_notional_high_downside_window_1430,0.5,0.5,wfa90,620,97.14929214929215
midday60_notional_high_downside_window_1430,0.5,0.5,latest1y,86,86.29532967032966
midday60_notional_high_downside_window_1430,0.5,0.6,full,566,79.78830567348514
midday60_notional_high_downside_window_1430,0.5,0.6,limited_core,87,123.1656976744186
midday60_notional_high_downside_window_1430,0.5,0.6,wfa90,510,79.91312741312741
midday60_notional_high_downside_window_1430,0.5,0.6,latest1y,61,61.20947802197802
midday60_notional_high_downside_window_1430,0.6,0.5,full,642,90.50192975685063
midday60_notional_high_downside_window_1430,0.6,0.5,limited_core,92,130.24418604651163
midday60_notional_high_downside_window_1430,0.6,0.5,wfa90,577,90.41151866151866
midday60_notional_high_downside_window_1430,0.6,0.5,latest1y,76,76.26098901098901
midday60_notional_high_downside_window_1430,0.6,0.6,full,528,74.43149363180238
midday60_notional_high_downside_window_1430,0.6,0.6,limited_core,82,116.08720930232558
midday60_notional_high_downside_window_1430,0.6,0.6,wfa90,479,75.0556628056628
midday60_notional_high_downside_window_1430,0.6,0.6,latest1y,53,53.18200549450549
afternoon60_notional_high_downside_window_1530,0.4,0.5,full,721,101.63846005403319
afternoon60_notional_high_downside_window_1530,0.4,0.5,limited_core,94,133.07558139534882
afternoon60_notional_high_downside_window_1530,0.4,0.5,wfa90,643,100.7532175032175
afternoon60_notional_high_downside_window_1530,0.4,0.5,latest1y,93,93.31936813186813
afternoon60_notional_high_downside_window_1530,0.4,0.6,full,586,82.60768043226552
afternoon60_notional_high_downside_window_1530,0.4,0.6,limited_core,83,117.50290697674419
afternoon60_notional_high_downside_window_1530,0.4,0.6,wfa90,527,82.57689832689833
afternoon60_notional_high_downside_window_1530,0.4,0.6,latest1y,66,66.22664835164835
afternoon60_notional_high_downside_window_1530,0.5,0.5,full,683,96.28164801235044
afternoon60_notional_high_downside_window_1530,0.5,0.5,limited_core,92,130.24418604651163
afternoon60_notional_high_downside_window_1530,0.5,0.5,wfa90,612,95.89575289575289
afternoon60_notional_high_downside_window_1530,0.5,0.5,latest1y,84,84.28846153846153
afternoon60_notional_high_downside_window_1530,0.5,0.6,full,558,78.66055576997297
afternoon60_notional_high_downside_window_1530,0.5,0.6,limited_core,82,116.08720930232558
afternoon60_notional_high_downside_window_1530,0.5,0.6,wfa90,504,78.97297297297297
afternoon60_notional_high_downside_window_1530,0.5,0.6,latest1y,60,60.206043956043956
afternoon60_notional_high_downside_window_1530,0.6,0.5,full,631,88.95127363952142
afternoon60_notional_high_downside_window_1530,0.6,0.5,limited_core,88,124.5813953488372
afternoon60_notional_high_downside_window_1530,0.6,0.5,wfa90,568,89.001287001287
afternoon60_notional_high_downside_window_1530,0.6,0.5,latest1y,74,74.25412087912088
afternoon60_notional_high_downside_window_1530,0.6,0.6,full,519,73.16277499035121
afternoon60_notional_high_downside_window_1530,0.6,0.6,limited_core,78,110.42441860465115
afternoon60_notional_high_downside_window_1530,0.6,0.6,wfa90,471,73.80212355212355
afternoon60_notional_high_downside_window_1530,0.6,0.6,latest1y,52,52.17857142857142
