campaign_id,variant_id,term_setup_mode,flow_mode,start_time,end_time,term_rank_threshold,min_orderflow_imbalance,eligible_term_sessions,full_signals,full_trades_per_year,limited_core_start,limited_core_end,limited_core_signals,limited_core_trades_per_year,unique_signal_dates,full_first_signal,full_last_signal,limited_first_signal,limited_last_signal,density_gate_pass
nq_vix_term_structure_orderflow_pullback,contango_large10_vwap_reclaim_long_1500,contango_long,large10,09:30:00,15:00:00,0.55,0.0,2119,1119,73.9543666404406,2011-02-22,2012-09-07,117,79.47169811320754,1119,2011-04-12T09:50:00,2026-06-02T13:38:00,2011-04-12T09:50:00,2012-09-07T10:41:00,True
nq_vix_term_structure_orderflow_pullback,contango_large10_vwap_reclaim_long_1500,contango_long,large10,09:30:00,15:00:00,0.55,0.03,2119,1108,73.22738001573563,2011-02-22,2012-09-07,117,79.47169811320754,1108,2011-04-12T09:50:00,2026-06-02T13:38:00,2011-04-12T09:50:00,2012-09-07T10:41:00,True
nq_vix_term_structure_orderflow_pullback,contango_large10_vwap_reclaim_long_1500,contango_long,large10,09:30:00,15:00:00,0.55,0.06,2119,1101,72.76475216365067,2011-02-22,2012-09-07,115,78.11320754716981,1101,2011-04-12T09:50:00,2026-06-02T13:38:00,2011-04-12T09:50:00,2012-09-07T10:41:00,True
nq_vix_term_structure_orderflow_pullback,contango_morning_signed_vwap_reclaim_long_1300,contango_long,signed_volume,09:30:00,13:00:00,0.45,0.0,1786,951,62.85129819040126,2011-02-22,2012-09-07,92,62.490566037735846,951,2011-04-12T09:50:00,2026-06-01T09:53:00,2011-04-12T09:50:00,2012-09-07T10:41:00,True
nq_vix_term_structure_orderflow_pullback,contango_morning_signed_vwap_reclaim_long_1300,contango_long,signed_volume,09:30:00,13:00:00,0.45,0.03,1786,905,59.81117230527144,2011-02-22,2012-09-07,91,61.811320754716974,905,2011-04-12T09:50:00,2026-06-01T09:53:00,2011-04-12T09:50:00,2012-09-07T10:41:00,True
nq_vix_term_structure_orderflow_pullback,contango_morning_signed_vwap_reclaim_long_1300,contango_long,signed_volume,09:30:00,13:00:00,0.45,0.06,1786,844,55.77970102281668,2011-02-22,2012-09-07,90,61.13207547169811,844,2011-04-12T09:50:00,2026-06-01T10:28:00,2011-04-12T09:50:00,2012-09-07T10:41:00,True
nq_vix_term_structure_orderflow_pullback,contango_morning_signed_vwap_reclaim_long_1300,contango_long,signed_volume,09:30:00,13:00:00,0.5,0.0,1956,1032,68.20456333595594,2011-02-22,2012-09-07,98,66.56603773584905,1032,2011-04-12T09:50:00,2026-06-01T09:53:00,2011-04-12T09:50:00,2012-09-07T10:41:00,True
nq_vix_term_structure_orderflow_pullback,contango_morning_signed_vwap_reclaim_long_1300,contango_long,signed_volume,09:30:00,13:00:00,0.5,0.03,1956,982,64.90007867820613,2011-02-22,2012-09-07,97,65.88679245283018,982,2011-04-12T09:50:00,2026-06-01T09:53:00,2011-04-12T09:50:00,2012-09-07T10:41:00,True
nq_vix_term_structure_orderflow_pullback,contango_morning_signed_vwap_reclaim_long_1300,contango_long,signed_volume,09:30:00,13:00:00,0.5,0.06,1956,915,60.4720692368214,2011-02-22,2012-09-07,95,64.52830188679245,915,2011-04-12T09:50:00,2026-06-01T10:28:00,2011-04-12T09:50:00,2012-09-07T10:41:00,True
nq_vix_term_structure_orderflow_pullback,contango_morning_signed_vwap_reclaim_long_1300,contango_long,signed_volume,09:30:00,13:00:00,0.55,0.0,2119,1121,74.08654602675058,2011-02-22,2012-09-07,106,72.0,1121,2011-04-12T09:50:00,2026-06-01T09:53:00,2011-04-12T09:50:00,2012-09-07T10:41:00,True
nq_vix_term_structure_orderflow_pullback,contango_morning_signed_vwap_reclaim_long_1300,contango_long,signed_volume,09:30:00,13:00:00,0.55,0.03,2119,1067,70.5177025963808,2011-02-22,2012-09-07,105,71.32075471698113,1067,2011-04-12T09:50:00,2026-06-01T09:53:00,2011-04-12T09:50:00,2012-09-07T10:41:00,True
nq_vix_term_structure_orderflow_pullback,contango_morning_signed_vwap_reclaim_long_1300,contango_long,signed_volume,09:30:00,13:00:00,0.55,0.06,2119,994,65.69315499606608,2011-02-22,2012-09-07,103,69.9622641509434,994,2011-04-12T09:50:00,2026-06-01T10:28:00,2011-04-12T09:50:00,2012-09-07T10:41:00,True
nq_vix_term_structure_orderflow_pullback,curve_flattening_signed_vwap_reject_short_1500,curve_flattening_short,signed_volume,09:30:00,15:00:00,0.5,0.0,1862,1073,70.91424075531077,2011-02-22,2012-09-07,83,56.37735849056603,1073,2011-05-09T09:40:00,2026-06-12T09:53:00,2011-05-09T09:40:00,2012-06-14T09:47:00,True
nq_vix_term_structure_orderflow_pullback,curve_flattening_signed_vwap_reject_short_1500,curve_flattening_short,signed_volume,09:30:00,15:00:00,0.5,0.03,1862,1035,68.40283241542093,2011-02-22,2012-09-07,80,54.33962264150943,1035,2011-05-09T09:40:00,2026-06-12T09:53:00,2011-05-09T09:40:00,2012-06-14T09:47:00,True
nq_vix_term_structure_orderflow_pullback,curve_flattening_signed_vwap_reject_short_1500,curve_flattening_short,signed_volume,09:30:00,15:00:00,0.5,0.06,1862,964,63.71046420141621,2011-02-22,2012-09-07,74,50.264150943396224,964,2011-05-09T09:40:00,2026-06-12T09:59:00,2011-05-09T09:40:00,2012-06-14T09:47:00,True
nq_vix_term_structure_orderflow_pullback,curve_flattening_signed_vwap_reject_short_1500,curve_flattening_short,signed_volume,09:30:00,15:00:00,0.55,0.0,1701,973,64.30527143981116,2011-02-22,2012-09-07,78,52.98113207547169,973,2011-05-09T09:40:00,2026-06-12T09:53:00,2011-05-09T09:40:00,2012-06-14T09:47:00,True
