variant_id,base_variant_id,min_abs_move_ticks,full_signals,full_signals_per_year,limited_core_reference_signals,limited_core_reference_signals_per_year,wfa90_signals,wfa90_signals_per_year,latest1y_signals,latest1y_signals_per_year,long_signals_full,short_signals_full,passes_all_windows_50_per_year
full_week_down_move_pivot_fade_long_1000,full_week_down_move_fade_long_1000,8,56,13.72751677852349,6,14.908163265306122,51,13.88058867362146,14,14.048076923076923,56,0,False
full_week_down_move_pivot_fade_long_1000,full_week_down_move_fade_long_1000,16,46,11.276174496644295,6,14.908163265306122,42,11.431073025335321,10,10.034340659340659,46,0,False
full_week_down_move_pivot_fade_long_1000,full_week_down_move_fade_long_1000,24,41,10.050503355704699,5,12.423469387755102,37,10.070230998509688,9,9.030906593406593,41,0,False
full_week_up_move_pivot_fade_short_1000,full_week_up_move_fade_short_1000,8,42,10.295637583892617,4,9.938775510204081,36,9.79806259314456,13,13.044642857142856,0,42,False
full_week_up_move_pivot_fade_short_1000,full_week_up_move_fade_short_1000,16,35,8.579697986577182,4,9.938775510204081,30,8.1650521609538,11,11.037774725274724,0,35,False
full_week_up_move_pivot_fade_short_1000,full_week_up_move_fade_short_1000,24,21,5.1478187919463085,3,7.454081632653061,16,4.3546944858420265,10,10.034340659340659,0,21,False
tue_thu_two_sided_pivot_fade_1030,tue_thu_two_sided_fade_1030,8,24,5.883221476510068,2,4.969387755102041,20,5.4433681073025335,9,9.030906593406593,16,8,False
tue_thu_two_sided_pivot_fade_1030,tue_thu_two_sided_fade_1030,16,20,4.902684563758389,2,4.969387755102041,16,4.3546944858420265,8,8.027472527472527,13,7,False
tue_thu_two_sided_pivot_fade_1030,tue_thu_two_sided_fade_1030,24,14,3.4318791946308727,2,4.969387755102041,11,2.9938524590163933,6,6.020604395604395,9,5,False
mwf_two_sided_pivot_fade_1030,mwf_two_sided_fade_1030,8,33,8.089429530201343,2,4.969387755102041,30,8.1650521609538,10,10.034340659340659,19,14,False
mwf_two_sided_pivot_fade_1030,mwf_two_sided_fade_1030,16,27,6.618624161073826,1,2.4846938775510203,24,6.532041728763041,8,8.027472527472527,16,11,False
mwf_two_sided_pivot_fade_1030,mwf_two_sided_fade_1030,24,21,5.1478187919463085,1,2.4846938775510203,19,5.1711997019374065,7,7.024038461538462,12,9,False
full_week_late_move_pivot_continuation_1430,full_week_late_move_continuation_1430,64,176,43.143624161073824,17,42.23979591836734,158,43.00260804769002,43,43.14766483516483,105,71,False
full_week_late_move_pivot_continuation_1430,full_week_late_move_continuation_1430,96,143,35.05419463087249,16,39.755102040816325,127,34.56538748137109,35,35.12019230769231,85,58,False
full_week_late_move_pivot_continuation_1430,full_week_late_move_continuation_1430,128,105,25.739093959731544,12,29.816326530612244,93,25.31166169895678,27,27.092719780219777,60,45,False
