variant_id,window,start_date,end_date,signals,signals_per_year,first_signal,last_signal,strict_min_spread_bps,strict_min_absorption_imbalance,setup_mode,lookback_minutes,start_time,end_time,density_pass_50_per_year
late_morning30_two_sided_absorption_1130,configured_full,2011-01-03,2026-06-09,337,21.83595,2011-01-03T11:30:00,2026-01-05T12:08:00,6,0.05,two_sided_divergence_fade,30,11:30:00,12:30:00,False
late_morning30_two_sided_absorption_1130,limited_core_grid_test,2011-02-22,2012-09-06,89,57.739343,2011-02-25T11:58:00,2012-09-04T11:44:00,6,0.05,two_sided_divergence_fade,30,11:30:00,12:30:00,True
midday60_two_sided_absorption_1400,configured_full,2011-01-03,2026-06-09,617,39.978579,2011-01-03T13:56:00,2026-05-28T14:13:00,6,0.03,two_sided_divergence_fade,60,13:00:00,14:30:00,False
midday60_two_sided_absorption_1400,limited_core_grid_test,2011-02-22,2012-09-06,122,79.148313,2011-02-22T14:03:00,2012-08-28T14:22:00,6,0.03,two_sided_divergence_fade,60,13:00:00,14:30:00,True
morning15_two_sided_absorption_1000,configured_full,2011-01-03,2026-06-09,736,47.689196,2011-01-03T10:30:00,2026-06-01T10:09:00,4,0.05,two_sided_divergence_fade,15,10:00:00,11:00:00,False
morning15_two_sided_absorption_1000,limited_core_grid_test,2011-02-22,2012-09-06,137,88.879663,2011-02-22T10:36:00,2012-09-04T10:39:00,4,0.05,two_sided_divergence_fade,15,10:00:00,11:00:00,True
morning30_outperform_absorption_short_1030,configured_full,2011-01-03,2026-06-09,542,35.118946,2011-01-03T11:21:00,2026-05-07T11:17:00,4,0.03,es_outperform_short,30,10:30:00,11:30:00,False
morning30_outperform_absorption_short_1030,limited_core_grid_test,2011-02-22,2012-09-06,88,57.090586,2011-02-22T10:56:00,2012-08-29T10:35:00,4,0.03,es_outperform_short,30,10:30:00,11:30:00,True
morning30_underperform_absorption_long_1030,configured_full,2011-01-03,2026-06-09,647,41.922432,2011-01-05T10:34:00,2026-05-26T10:52:00,4,0.02,es_underperform_long,30,10:30:00,11:30:00,False
morning30_underperform_absorption_long_1030,limited_core_grid_test,2011-02-22,2012-09-06,83,53.846803,2011-02-25T10:44:00,2012-08-23T10:30:00,4,0.02,es_underperform_long,30,10:30:00,11:30:00,True
