variant_id,min_orderflow_imbalance,window,signals,signals_per_year
broad_up_signed_vwap_accept_1130,0.0,full,1064,68.9542228530873
broad_up_signed_vwap_accept_1130,0.0,limited_core,106,68.89056939501779
broad_up_signed_vwap_accept_1130,0.0,wfa90,953,68.2248627989024
broad_up_signed_vwap_accept_1130,0.0,latest1y,78,78.26785714285714
broad_up_signed_vwap_accept_1130,0.02,full,653,42.31871007806955
broad_up_signed_vwap_accept_1130,0.02,limited_core,82,53.29270462633452
broad_up_signed_vwap_accept_1130,0.02,wfa90,599,42.882154057232455
broad_up_signed_vwap_accept_1130,0.02,latest1y,35,35.12019230769231
broad_up_signed_vwap_accept_1130,0.04,full,314,20.349272533711854
broad_up_signed_vwap_accept_1130,0.04,limited_core,58,37.694839857651246
broad_up_signed_vwap_accept_1130,0.04,wfa90,301,21.548461387691102
broad_up_signed_vwap_accept_1130,0.04,latest1y,7,7.024038461538462
broad_up_large10_vwap_accept_1230,0.0,full,1108,71.80571327182399
broad_up_large10_vwap_accept_1230,0.0,limited_core,107,69.54048042704626
broad_up_large10_vwap_accept_1230,0.0,wfa90,991,70.9452665621325
broad_up_large10_vwap_accept_1230,0.0,latest1y,83,83.28502747252747
broad_up_large10_vwap_accept_1230,0.02,full,935,60.59417139815472
broad_up_large10_vwap_accept_1230,0.02,limited_core,92,59.79181494661921
broad_up_large10_vwap_accept_1230,0.02,wfa90,824,58.98980791846335
broad_up_large10_vwap_accept_1230,0.02,latest1y,77,77.26442307692308
broad_up_large10_vwap_accept_1230,0.04,full,749,48.54014371894961
broad_up_large10_vwap_accept_1230,0.04,limited_core,70,45.49377224199288
broad_up_large10_vwap_accept_1230,0.04,wfa90,645,46.17527440219522
broad_up_large10_vwap_accept_1230,0.04,latest1y,73,73.2506868131868
broad_up_large20_vwap_accept_1430,0.0,full,1109,71.87051987224983
broad_up_large20_vwap_accept_1430,0.0,limited_core,105,68.24065836298932
broad_up_large20_vwap_accept_1430,0.0,wfa90,998,71.44639357114858
broad_up_large20_vwap_accept_1430,0.0,latest1y,80,80.27472527472527
broad_up_large20_vwap_accept_1430,0.02,full,963,62.40875621007807
broad_up_large20_vwap_accept_1430,0.02,limited_core,82,53.29270462633452
broad_up_large20_vwap_accept_1430,0.02,wfa90,857,61.35226381811054
broad_up_large20_vwap_accept_1430,0.02,latest1y,76,76.26098901098901
broad_up_large20_vwap_accept_1430,0.04,full,835,54.113511355571326
broad_up_large20_vwap_accept_1430,0.04,limited_core,68,44.19395017793594
broad_up_large20_vwap_accept_1430,0.04,wfa90,732,52.40356722853783
broad_up_large20_vwap_accept_1430,0.04,latest1y,75,75.25755494505495
cyclical_up_signed_vwap_accept_1130,0.0,full,1117,72.38897267565649
cyclical_up_signed_vwap_accept_1130,0.0,limited_core,109,70.8403024911032
cyclical_up_signed_vwap_accept_1130,0.0,wfa90,997,71.37480399843199
cyclical_up_signed_vwap_accept_1130,0.0,latest1y,85,85.2918956043956
cyclical_up_signed_vwap_accept_1130,0.02,full,688,44.58694109297374
cyclical_up_signed_vwap_accept_1130,0.02,limited_core,86,55.8923487544484
cyclical_up_signed_vwap_accept_1130,0.02,wfa90,626,44.815072520580166
cyclical_up_signed_vwap_accept_1130,0.02,latest1y,42,42.14423076923077
cyclical_up_signed_vwap_accept_1130,0.04,full,328,21.256564939673527
cyclical_up_signed_vwap_accept_1130,0.04,limited_core,61,39.644572953736656
cyclical_up_signed_vwap_accept_1130,0.04,wfa90,313,22.407536260290083
cyclical_up_signed_vwap_accept_1130,0.04,latest1y,9,9.030906593406593
cyclical_up_large10_vwap_accept_1430,0.0,full,1145,74.20355748757984
cyclical_up_large10_vwap_accept_1430,0.0,limited_core,110,71.49021352313167
cyclical_up_large10_vwap_accept_1430,0.0,wfa90,1023,73.23613288906311
cyclical_up_large10_vwap_accept_1430,0.0,latest1y,86,86.29532967032966
cyclical_up_large10_vwap_accept_1430,0.02,full,918,59.49245919091555
cyclical_up_large10_vwap_accept_1430,0.02,limited_core,90,58.49199288256227
cyclical_up_large10_vwap_accept_1430,0.02,wfa90,805,57.629606036848294
cyclical_up_large10_vwap_accept_1430,0.02,latest1y,79,79.27129120879121
cyclical_up_large10_vwap_accept_1430,0.04,full,696,45.10539389638041
cyclical_up_large10_vwap_accept_1430,0.04,limited_core,66,42.894128113879
cyclical_up_large10_vwap_accept_1430,0.04,wfa90,592,42.38102704821639
cyclical_up_large10_vwap_accept_1430,0.04,latest1y,73,73.2506868131868
