campaign_id,variant_id,setup_mode,confirmation_ticks,min_absorption_volume,full_signals,full_signals_per_year,limited_core_signals,limited_core_signals_per_year
es_footprint_absorption_initiation,round_number_footprint_absorption_rejection_1500,round_number_two_sided,1,20,1884,122.07397551889302,109,70.71447602131438
es_footprint_absorption_initiation,round_number_footprint_absorption_rejection_1500,round_number_two_sided,1,50,1832,118.70463012240553,107,69.41696269982238
es_footprint_absorption_initiation,round_number_footprint_absorption_rejection_1500,round_number_two_sided,1,100,1670,108.20782331027142,105,68.11944937833037
es_footprint_absorption_initiation,round_number_footprint_absorption_rejection_1500,round_number_two_sided,2,20,1656,107.30069185737094,81,52.549289520426285
es_footprint_absorption_initiation,round_number_footprint_absorption_rejection_1500,round_number_two_sided,2,50,1599,103.60737094199041,81,52.549289520426285
es_footprint_absorption_initiation,round_number_footprint_absorption_rejection_1500,round_number_two_sided,2,100,1438,93.17535923363491,80,51.90053285968028
es_footprint_absorption_initiation,round_number_footprint_absorption_rejection_1500,round_number_two_sided,3,20,1401,90.7779403938265,45,29.194049733570157
es_footprint_absorption_initiation,round_number_footprint_absorption_rejection_1500,round_number_two_sided,3,50,1340,86.82543906333156,45,29.194049733570157
es_footprint_absorption_initiation,round_number_footprint_absorption_rejection_1500,round_number_two_sided,3,100,1180,76.45822245875465,44,28.545293072824155
es_footprint_absorption_initiation,session_open_footprint_absorption_reclaim_1500,session_open_two_sided,1,20,1649,106.8471261309207,157,101.85479573712256
es_footprint_absorption_initiation,session_open_footprint_absorption_reclaim_1500,session_open_two_sided,1,50,1589,102.95941990420435,157,101.85479573712256
es_footprint_absorption_initiation,session_open_footprint_absorption_reclaim_1500,session_open_two_sided,1,100,1441,93.36974454497073,151,97.96225577264653
es_footprint_absorption_initiation,session_open_footprint_absorption_reclaim_1500,session_open_two_sided,2,20,1328,86.04789781798829,107,69.41696269982238
es_footprint_absorption_initiation,session_open_footprint_absorption_reclaim_1500,session_open_two_sided,2,50,1266,82.03060138371474,106,68.76820603907638
es_footprint_absorption_initiation,session_open_footprint_absorption_reclaim_1500,session_open_two_sided,2,100,1118,72.4409260244811,102,66.17317939609237
es_footprint_absorption_initiation,session_open_footprint_absorption_reclaim_1500,session_open_two_sided,3,20,970,62.85125066524747,60,38.92539964476021
es_footprint_absorption_initiation,session_open_footprint_absorption_reclaim_1500,session_open_two_sided,3,50,915,59.28751995742416,60,38.92539964476021
es_footprint_absorption_initiation,session_open_footprint_absorption_reclaim_1500,session_open_two_sided,3,100,782,50.66977115486961,56,36.330373001776195
