variant,time_set,thr,imb,signals,full_per_year,limited_per_year,long,short
curve_5d_two_sided,morning,0.6,0.04,428,27.73722498225692,61.09163701067615,329,322
teny_1d_large10,morning,0.6,0.04,1072,69.47267565649396,63.69128113879003,1082,870
twoy_1d_large10,morning,0.6,0.04,1001,64.87140702625976,50.04314946619217,1001,815
teny_1d_two_sided,morning,0.65,0.0,1474,95.5249290276792,89.03781138790035,1486,1471
twoy_1d_two_sided,morning,0.65,0.0,1417,91.83095280340667,70.8403024911032,1375,1441
curve_1d_two_sided,morning,0.65,0.0,1437,93.12708481192335,88.38790035587188,1473,1419
teny_5d_two_sided,morning,0.65,0.0,1440,93.32150461320086,89.68772241992882,1460,1432
curve_5d_two_sided,morning,0.65,0.0,1428,92.54382540809084,98.7864768683274,1466,1366
teny_1d_large10,morning,0.65,0.0,1382,89.56272178850249,87.08807829181494,1428,1289
twoy_1d_large10,morning,0.65,0.0,1321,85.60951916252661,70.19039145907473,1347,1245
teny_1d_two_sided,morning,0.65,0.01,1204,78.02714691270404,79.28914590747331,1107,1133
twoy_1d_two_sided,morning,0.65,0.01,1151,74.59239709013485,64.99110320284697,1013,1109
curve_1d_two_sided,morning,0.65,0.01,1171,75.88852909865153,79.28914590747331,1089,1082
teny_5d_two_sided,morning,0.65,0.01,1186,76.86062810503904,82.53870106761565,1111,1097
curve_5d_two_sided,morning,0.65,0.01,1170,75.82372249822569,91.63745551601423,1122,1043
teny_1d_large10,morning,0.65,0.01,1266,82.04515613910574,77.3394128113879,1302,1160
twoy_1d_large10,morning,0.65,0.01,1217,78.86963271823988,66.94083629893238,1235,1136
teny_1d_two_sided,morning,0.65,0.02,884,57.28903477643719,68.89056939501779,747,773
twoy_1d_two_sided,morning,0.65,0.02,850,55.085610361958835,57.19217081850533,684,761
curve_1d_two_sided,morning,0.65,0.02,863,55.92809616749468,68.89056939501779,748,727
teny_5d_two_sided,morning,0.65,0.02,872,56.51135557132719,70.8403024911032,761,742
curve_5d_two_sided,morning,0.65,0.02,867,56.18732256919802,76.68950177935943,778,725
teny_1d_large10,morning,0.65,0.02,1175,76.14775550035486,71.49021352313167,1183,1030
twoy_1d_large10,morning,0.65,0.02,1132,73.361071682044,61.09163701067615,1115,1014
teny_1d_two_sided,morning,0.65,0.04,393,25.468993967352734,48.09341637010676,292,296
twoy_1d_two_sided,morning,0.65,0.04,364,23.589602555003548,38.344750889679716,256,273
curve_1d_two_sided,morning,0.65,0.04,374,24.237668559261888,46.14368327402135,281,285
teny_5d_two_sided,morning,0.65,0.04,381,24.691314762242726,50.04314946619217,293,286
curve_5d_two_sided,morning,0.65,0.04,388,25.144960965223564,57.8420818505338,302,282
teny_1d_large10,morning,0.65,0.04,944,61.17743080198723,57.19217081850533,947,769
twoy_1d_large10,morning,0.65,0.04,905,58.6499733853797,46.79359430604982,887,740
teny_1d_two_sided,morning,0.7,0.0,1248,80.87863733144074,74.08985765124555,1260,1242
twoy_1d_two_sided,morning,0.7,0.0,1288,83.4709013484741,61.74154804270462,1237,1325
curve_1d_two_sided,morning,0.7,0.0,1207,78.22156671398155,77.3394128113879,1245,1169
teny_5d_two_sided,morning,0.7,0.0,1249,80.94344393186657,77.3394128113879,1280,1223
curve_5d_two_sided,morning,0.7,0.0,1217,78.86963271823988,86.43816725978647,1201,1205
teny_1d_large10,morning,0.7,0.0,1174,76.08294889992902,73.43994661921708,1224,1095
twoy_1d_large10,morning,0.7,0.0,1194,77.3790809084457,60.44172597864768,1206,1142
teny_1d_two_sided,morning,0.7,0.01,1021,66.16753903477644,66.94083629893238,943,957
twoy_1d_two_sided,morning,0.7,0.01,1051,68.11173704755146,56.54225978647686,915,1021
curve_1d_two_sided,morning,0.7,0.01,977,63.316048616039744,68.89056939501779,899,898
teny_5d_two_sided,morning,0.7,0.01,1027,66.55637863733143,71.49021352313167,970,931
curve_5d_two_sided,morning,0.7,0.01,1007,65.26024662881477,81.23887900355871,917,932
teny_1d_large10,morning,0.7,0.01,1081,70.05593506032648,65.64101423487544,1117,987
