campaign_id,variant_id,setup_mode,flow_mode,start_time,end_time,impulse_bars,pause_bars,max_pullback_fraction,min_impulse_ticks,min_orderflow_imbalance,full_start,full_end,full_sessions,full_signal_sessions,full_signals_per_year,limited_start,limited_end,limited_sessions,limited_signal_sessions,limited_signals_per_year,latest_start,latest_end,latest_sessions,latest_signal_sessions,decision
nq_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,afternoon_large10_two_sided_impulse_pause_breakout_1530,large10,12:30:00,15:30:00,5,2,0.6,6.0,0.0,2011-01-03,2026-06-12,3813,3126,202.477656,2011-02-22,2012-09-06,370,295,191.723754,2025-06-09,2026-06-12,252,204,PASS
nq_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,afternoon_large10_two_sided_impulse_pause_breakout_1530,large10,12:30:00,15:30:00,5,2,0.6,6.0,0.03,2011-01-03,2026-06-12,3813,3075,199.174277,2011-02-22,2012-09-06,370,288,187.174377,2025-06-09,2026-06-12,252,202,PASS
nq_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,afternoon_large10_two_sided_impulse_pause_breakout_1530,large10,12:30:00,15:30:00,5,2,0.6,6.0,0.06,2011-01-03,2026-06-12,3813,3043,197.101569,2011-02-22,2012-09-06,370,284,184.574733,2025-06-09,2026-06-12,252,200,PASS
nq_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,afternoon_large10_two_sided_impulse_pause_breakout_1530,large10,12:30:00,15:30:00,5,2,0.6,10.0,0.0,2011-01-03,2026-06-12,3813,2993,193.862963,2011-02-22,2012-09-06,370,257,167.027135,2025-06-09,2026-06-12,252,204,PASS
nq_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,afternoon_large10_two_sided_impulse_pause_breakout_1530,large10,12:30:00,15:30:00,5,2,0.6,10.0,0.03,2011-01-03,2026-06-12,3813,2949,191.01299,2011-02-22,2012-09-06,370,252,163.77758,2025-06-09,2026-06-12,252,202,PASS
nq_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,afternoon_large10_two_sided_impulse_pause_breakout_1530,large10,12:30:00,15:30:00,5,2,0.6,10.0,0.06,2011-01-03,2026-06-12,3813,2920,189.134598,2011-02-22,2012-09-06,370,249,161.827847,2025-06-09,2026-06-12,252,200,PASS
nq_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,afternoon_large10_two_sided_impulse_pause_breakout_1530,large10,12:30:00,15:30:00,5,2,0.6,14.0,0.0,2011-01-03,2026-06-12,3813,2809,181.944893,2011-02-22,2012-09-06,370,214,139.080961,2025-06-09,2026-06-12,252,203,PASS
nq_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,afternoon_large10_two_sided_impulse_pause_breakout_1530,large10,12:30:00,15:30:00,5,2,0.6,14.0,0.03,2011-01-03,2026-06-12,3813,2761,178.835831,2011-02-22,2012-09-06,370,207,134.531584,2025-06-09,2026-06-12,252,202,PASS
nq_impulse_pause_orderflow_continuation,afternoon_large10_two_sided_impulse_pause_breakout_1530,afternoon_large10_two_sided_impulse_pause_breakout_1530,large10,12:30:00,15:30:00,5,2,0.6,14.0,0.06,2011-01-03,2026-06-12,3813,2730,176.827895,2011-02-22,2012-09-06,370,205,133.231762,2025-06-09,2026-06-12,252,200,PASS
nq_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,full_session_signed_two_sided_impulse_pause_breakout_1530,signed_volume,09:45:00,15:30:00,3,3,0.55,6.0,0.0,2011-01-03,2026-06-12,3813,3567,231.042162,2011-02-22,2012-09-06,370,340,220.969751,2025-06-09,2026-06-12,252,235,PASS
nq_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,full_session_signed_two_sided_impulse_pause_breakout_1530,signed_volume,09:45:00,15:30:00,3,3,0.55,6.0,0.02,2011-01-03,2026-06-12,3813,3534,228.904682,2011-02-22,2012-09-06,370,337,219.020018,2025-06-09,2026-06-12,252,233,PASS
nq_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,full_session_signed_two_sided_impulse_pause_breakout_1530,signed_volume,09:45:00,15:30:00,3,3,0.55,6.0,0.04,2011-01-03,2026-06-12,3813,3463,224.305861,2011-02-22,2012-09-06,370,335,217.720196,2025-06-09,2026-06-12,252,220,PASS
nq_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,full_session_signed_two_sided_impulse_pause_breakout_1530,signed_volume,09:45:00,15:30:00,3,3,0.55,10.0,0.0,2011-01-03,2026-06-12,3813,3473,224.953582,2011-02-22,2012-09-06,370,317,206.021797,2025-06-09,2026-06-12,252,234,PASS
nq_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,full_session_signed_two_sided_impulse_pause_breakout_1530,signed_volume,09:45:00,15:30:00,3,3,0.55,10.0,0.02,2011-01-03,2026-06-12,3813,3436,222.557014,2011-02-22,2012-09-06,370,313,203.422153,2025-06-09,2026-06-12,252,232,PASS
nq_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,full_session_signed_two_sided_impulse_pause_breakout_1530,signed_volume,09:45:00,15:30:00,3,3,0.55,10.0,0.04,2011-01-03,2026-06-12,3813,3356,217.375244,2011-02-22,2012-09-06,370,310,201.47242,2025-06-09,2026-06-12,252,219,PASS
nq_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,full_session_signed_two_sided_impulse_pause_breakout_1530,signed_volume,09:45:00,15:30:00,3,3,0.55,14.0,0.0,2011-01-03,2026-06-12,3813,3358,217.504788,2011-02-22,2012-09-06,370,290,188.474199,2025-06-09,2026-06-12,252,234,PASS
nq_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,full_session_signed_two_sided_impulse_pause_breakout_1530,signed_volume,09:45:00,15:30:00,3,3,0.55,14.0,0.02,2011-01-03,2026-06-12,3813,3321,215.10822,2011-02-22,2012-09-06,370,287,186.524466,2025-06-09,2026-06-12,252,232,PASS
nq_impulse_pause_orderflow_continuation,full_session_signed_two_sided_impulse_pause_breakout_1530,full_session_signed_two_sided_impulse_pause_breakout_1530,signed_volume,09:45:00,15:30:00,3,3,0.55,14.0,0.04,2011-01-03,2026-06-12,3813,3231,209.278728,2011-02-22,2012-09-06,370,282,183.274911,2025-06-09,2026-06-12,252,219,PASS
nq_impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,late_morning_large10_two_sided_impulse_pause_breakout_1230,large10,10:00:00,12:30:00,4,2,0.55,8.0,0.0,2011-01-03,2026-06-12,3813,2953,191.272078,2011-02-22,2012-09-06,370,283,183.924822,2025-06-09,2026-06-12,252,198,PASS
nq_impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,late_morning_large10_two_sided_impulse_pause_breakout_1230,large10,10:00:00,12:30:00,4,2,0.55,8.0,0.03,2011-01-03,2026-06-12,3813,2904,188.098244,2011-02-22,2012-09-06,370,279,181.325178,2025-06-09,2026-06-12,252,198,PASS
