variant,signal_time,entry_rows,full_signals,full_signals_per_year,limited_core_signals,limited_core_signals_per_year,latest_252_session_signals,density_pass,density_failure_reason
early_afternoon_1300_long,13:00:00,1,3813,246.932314,371,240.261968,252,True,
first_hour_1000_long,10:00:00,1,3813,246.932314,371,240.261968,252,True,
late_morning_1100_long,11:00:00,1,3813,246.932314,371,240.261968,252,True,
midmorning_1030_long,10:30:00,1,3813,246.932314,371,240.261968,252,True,
open_0935_long,09:35:00,1,3813,246.932314,371,240.261968,252,True,
