variant_id,entry_rows,rows_passing_density,min_signals_per_year,full_min_signals,latest_252_min_signals,limited_core_min_signals,density_gate_pass
taiwan_1d_volatility_short_1130,9,9,92.27597315436242,1364,109,139,True
tsmc_1d_relative_strength_long_1030,9,9,88.75812080536913,1312,93,132,True
tsmc_3d_relative_weakness_short_1030,9,9,87.8786577181208,1299,93,134,True
twii_1d_strength_long_1000,9,9,85.84615384615385,1325,108,124,True
twii_1d_weakness_short_1000,9,9,82.0,1316,82,129,True
