variant_id,rows,pass_rows,min_full_signals_per_year,min_latest_1260_signals_per_year,min_latest_252_signals,max_missing_signal_bar_dates,max_missing_entry_bar_dates,pass_variant_density_gate
afternoon_1330_slot_persistence,9,9,128.831752,140.252839,110,0,0,True
late_afternoon_1430_slot_persistence,9,9,157.525802,179.760681,157,0,0,True
late_morning_1130_slot_persistence,9,9,152.020172,166.130476,126,0,0,True
morning_1000_slot_persistence,9,9,174.884731,189.045024,189,0,0,True
morning_1030_slot_persistence,9,9,169.702962,196.551514,212,0,0,True
