campaign_id,variant_id,share_rank_min,min_opening_drive_ticks,full_start,full_end,full_sessions,full_signals,full_signals_per_year,limited_start,limited_end,limited_sessions,limited_signals,limited_signals_per_year
es_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,0.45,2,2019-05-06,2026-06-09,1757,971,136.82783564814815,2021-07-13,2022-03-28,178,104,146.66409266409266
es_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,0.45,4,2019-05-06,2026-06-09,1757,923,130.06394675925924,2021-07-13,2022-03-28,178,94,132.56177606177607
es_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,0.45,6,2019-05-06,2026-06-09,1757,879,123.86371527777777,2021-07-13,2022-03-28,178,88,124.1003861003861
es_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,0.55,2,2019-05-06,2026-06-09,1757,886,124.85011574074073,2021-07-13,2022-03-28,178,100,141.02316602316603
es_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,0.55,4,2019-05-06,2026-06-09,1757,843,118.7907986111111,2021-07-13,2022-03-28,178,90,126.92084942084942
es_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,0.55,6,2019-05-06,2026-06-09,1757,803,113.15422453703704,2021-07-13,2022-03-28,178,84,118.45945945945945
es_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,0.65,2,2019-05-06,2026-06-09,1757,781,110.05410879629629,2021-07-13,2022-03-28,178,96,135.3822393822394
es_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,0.65,4,2019-05-06,2026-06-09,1757,741,104.41753472222221,2021-07-13,2022-03-28,178,86,121.27992277992279
es_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,0.65,6,2019-05-06,2026-06-09,1757,709,99.90827546296296,2021-07-13,2022-03-28,178,81,114.22876447876448
es_opening_drive_mes_crowding_reversal,od15_trade_failed_extension_reversal_1130,0.45,2,2019-05-06,2026-06-09,1757,970,136.68692129629628,2021-07-13,2022-03-28,178,109,153.71525096525096
es_opening_drive_mes_crowding_reversal,od15_trade_failed_extension_reversal_1130,0.45,4,2019-05-06,2026-06-09,1757,919,129.50028935185185,2021-07-13,2022-03-28,178,98,138.2027027027027
es_opening_drive_mes_crowding_reversal,od15_trade_failed_extension_reversal_1130,0.45,6,2019-05-06,2026-06-09,1757,874,123.15914351851852,2021-07-13,2022-03-28,178,91,128.3310810810811
es_opening_drive_mes_crowding_reversal,od15_trade_failed_extension_reversal_1130,0.55,2,2019-05-06,2026-06-09,1757,898,126.54108796296296,2021-07-13,2022-03-28,178,104,146.66409266409266
es_opening_drive_mes_crowding_reversal,od15_trade_failed_extension_reversal_1130,0.55,4,2019-05-06,2026-06-09,1757,849,119.63628472222221,2021-07-13,2022-03-28,178,93,131.1515444015444
es_opening_drive_mes_crowding_reversal,od15_trade_failed_extension_reversal_1130,0.55,6,2019-05-06,2026-06-09,1757,809,113.99971064814814,2021-07-13,2022-03-28,178,87,122.69015444015444
es_opening_drive_mes_crowding_reversal,od15_trade_failed_extension_reversal_1130,0.65,2,2019-05-06,2026-06-09,1757,784,110.47685185185185,2021-07-13,2022-03-28,178,99,139.61293436293437
