campaign_id,variant_id,share_rank_min,min_opening_drive_ticks,full_start,full_end,full_sessions,full_signals,full_signals_per_year,limited_start,limited_end,limited_sessions,limited_signals,limited_signals_per_year
es_opening_drive_mes_crowding_reversal,od15_trade_failed_extension_reversal_1130,0.65,4,2019-05-06,2026-06-09,1757,744,104.84027777777777,2021-07-13,2022-03-28,178,90,126.92084942084942
es_opening_drive_mes_crowding_reversal,od15_trade_failed_extension_reversal_1130,0.65,6,2019-05-06,2026-06-09,1757,709,99.90827546296296,2021-07-13,2022-03-28,178,84,118.45945945945945
es_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,0.45,2,2019-05-06,2026-06-09,1757,955,134.5732060185185,2021-07-13,2022-03-28,178,105,148.07432432432432
es_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,0.45,4,2019-05-06,2026-06-09,1757,925,130.34577546296296,2021-07-13,2022-03-28,178,103,145.253861003861
es_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,0.45,6,2019-05-06,2026-06-09,1757,902,127.10474537037037,2021-07-13,2022-03-28,178,101,142.4333976833977
es_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,0.55,2,2019-05-06,2026-06-09,1757,862,121.46817129629629,2021-07-13,2022-03-28,178,101,142.4333976833977
es_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,0.55,4,2019-05-06,2026-06-09,1757,834,117.52256944444444,2021-07-13,2022-03-28,178,99,139.61293436293437
es_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,0.55,6,2019-05-06,2026-06-09,1757,813,114.56336805555554,2021-07-13,2022-03-28,178,97,136.79247104247105
es_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,0.65,2,2019-05-06,2026-06-09,1757,756,106.53125,2021-07-13,2022-03-28,178,95,133.97200772200773
es_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,0.65,4,2019-05-06,2026-06-09,1757,731,103.0083912037037,2021-07-13,2022-03-28,178,93,131.1515444015444
es_opening_drive_mes_crowding_reversal,od30_notional_failed_extension_reversal_1300,0.65,6,2019-05-06,2026-06-09,1757,713,100.47193287037037,2021-07-13,2022-03-28,178,91,128.3310810810811
es_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,0.45,2,2019-05-06,2026-06-09,1757,959,135.13686342592592,2021-07-13,2022-03-28,178,115,162.1766409266409
es_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,0.45,4,2019-05-06,2026-06-09,1757,927,130.62760416666666,2021-07-13,2022-03-28,178,112,157.94594594594594
es_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,0.45,6,2019-05-06,2026-06-09,1757,900,126.82291666666666,2021-07-13,2022-03-28,178,109,153.71525096525096
es_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,0.55,2,2019-05-06,2026-06-09,1757,864,121.75,2021-07-13,2022-03-28,178,111,156.53571428571428
es_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,0.55,4,2019-05-06,2026-06-09,1757,837,117.9453125,2021-07-13,2022-03-28,178,109,153.71525096525096
es_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,0.55,6,2019-05-06,2026-06-09,1757,813,114.56336805555554,2021-07-13,2022-03-28,178,106,149.48455598455598
es_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,0.65,2,2019-05-06,2026-06-09,1757,753,106.10850694444444,2021-07-13,2022-03-28,178,102,143.84362934362935
es_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,0.65,4,2019-05-06,2026-06-09,1757,731,103.0083912037037,2021-07-13,2022-03-28,178,100,141.02316602316603
es_opening_drive_mes_crowding_reversal,od30_trade_failed_extension_reversal_1300,0.65,6,2019-05-06,2026-06-09,1757,711,100.19010416666666,2021-07-13,2022-03-28,178,98,138.2027027027027
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.45,2,2019-05-06,2026-06-09,1757,953,134.2913773148148,2021-07-13,2022-03-28,178,93,131.1515444015444
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.45,4,2019-05-06,2026-06-09,1757,931,131.19126157407408,2021-07-13,2022-03-28,178,91,128.3310810810811
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.45,6,2019-05-06,2026-06-09,1757,918,129.359375,2021-07-13,2022-03-28,178,91,128.3310810810811
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.55,2,2019-05-06,2026-06-09,1757,859,121.04542824074073,2021-07-13,2022-03-28,178,88,124.1003861003861
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.55,4,2019-05-06,2026-06-09,1757,842,118.64988425925925,2021-07-13,2022-03-28,178,87,122.69015444015444
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.55,6,2019-05-06,2026-06-09,1757,830,116.95891203703702,2021-07-13,2022-03-28,178,87,122.69015444015444
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.65,2,2019-05-06,2026-06-09,1757,752,105.96759259259258,2021-07-13,2022-03-28,178,77,108.58783783783784
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.65,4,2019-05-06,2026-06-09,1757,737,103.85387731481481,2021-07-13,2022-03-28,178,77,108.58783783783784
es_opening_drive_mes_crowding_reversal,od60_notional_failed_extension_reversal_1530,0.65,6,2019-05-06,2026-06-09,1757,727,102.44473379629629,2021-07-13,2022-03-28,178,77,108.58783783783784
