max_close_above_prev_high_ticks,declared_entry_rows,density_pass_rows,min_full_signals_per_year,max_full_signals_per_year,min_limited_signals_per_year,max_limited_signals_per_year,min_latest_252_signals,max_latest_252_signals,all_rows_density_pass
16.0,45,0,0.8420375953183188,5.829491044511438,1.2975133214920072,10.380106571936057,0,0,False
32.0,45,0,1.4897588224862564,10.233995389253414,2.5950266429840143,16.218916518650087,0,3,False
48.0,45,0,2.0727079269374,13.407829402376308,3.892539964476021,22.706483126110122,0,3,False
64.0,45,0,2.5908849086717503,16.646435538215997,3.892539964476021,28.545293072824155,0,3,False
96.0,45,0,3.692010994857244,21.957749600993083,7.785079928952042,35.03285968028419,0,6,False
128.0,45,0,4.210187976591594,25.649760595850328,9.731349911190053,44.11545293072824,1,7,False
,45,0,6.801072885263344,42.03710764319915,12.326376554174066,49.305506216696266,9,47,False
