spec,time_set,thr,imb,full_per_year,limited_per_year,signals
vol20_1d_full,morning,0.5,0.0,66.81560503903478,63.69128113879003,1031
abs1_1d_full,morning,0.5,0.0,68.30615684882896,68.24065836298932,1054
vol63_3d_full,morning,0.5,0.0,67.52847764371894,63.69128113879003,1042
abs3_3d_full,morning,0.5,0.0,69.14864265436479,68.89056939501779,1067
vol63_5d_full,morning,0.5,0.0,66.94521823988644,66.94083629893238,1033
vol20_1d_full,morning,0.5,0.01,56.057709368346345,61.74154804270462,865
abs1_1d_full,morning,0.5,0.01,56.44654897090135,66.29092526690391,871
vol63_3d_full,morning,0.5,0.01,55.47444996451384,58.49199288256227,856
abs3_3d_full,morning,0.5,0.01,55.66886976579134,65.64101423487544,859
vol63_5d_full,morning,0.5,0.01,55.34483676366217,63.69128113879003,854
vol20_1d_full,morning,0.5,0.02,41.15219127040454,48.09341637010676,635
abs1_1d_full,morning,0.5,0.02,42.31871007806955,51.34297153024911,653
vol63_3d_full,morning,0.5,0.02,40.76335166784954,48.09341637010676,629
abs3_3d_full,morning,0.5,0.02,40.69854506742371,55.24243772241993,628
vol63_5d_full,morning,0.5,0.02,40.69854506742371,51.99288256227758,628
vol20_1d_full,morning,0.55,0.0,60.59417139815472,55.24243772241993,935
abs1_1d_full,morning,0.55,0.0,61.56627040454223,62.39145907473309,950
vol63_3d_full,morning,0.55,0.0,60.78859119943222,58.49199288256227,938
abs3_3d_full,morning,0.55,0.0,61.43665720369056,61.09163701067615,948
vol63_5d_full,morning,0.55,0.0,60.723784599006386,63.04137010676156,937
vol20_1d_full,morning,0.55,0.01,50.808374733853796,53.29270462633452,784
abs1_1d_full,morning,0.55,0.01,50.484341731724626,60.44172597864768,779
vol63_3d_full,morning,0.55,0.01,49.70666252661462,53.29270462633452,767
abs3_3d_full,morning,0.55,0.01,49.51224272533712,57.8420818505338,764
vol63_5d_full,morning,0.55,0.01,50.03069552874379,59.79181494661921,772
vol20_1d_full,morning,0.55,0.02,37.06937544357701,40.29448398576512,572
abs1_1d_full,morning,0.55,0.02,38.10628105039035,46.79359430604982,588
vol63_3d_full,morning,0.55,0.02,36.4861160397445,42.894128113879,563
abs3_3d_full,morning,0.55,0.02,35.83805003548616,47.44350533807829,553
vol63_5d_full,morning,0.55,0.02,36.74534244144784,48.09341637010676,567
