spec,time_set,thr,imb,full_per_year,limited_per_year,signals
vol20_1d_full,morning,0.6,0.0,53.400638750887154,48.09341637010676,824
abs1_1d_full,morning,0.6,0.0,55.47444996451384,57.8420818505338,856
vol63_3d_full,morning,0.6,0.0,54.30793115684883,50.69306049822064,838
abs3_3d_full,morning,0.6,0.0,54.37273775727466,52.64279359430605,839
vol63_5d_full,morning,0.6,0.0,54.56715755855217,56.54225978647686,842
vol20_1d_full,morning,0.6,0.01,44.71655429382541,46.14368327402135,690
abs1_1d_full,morning,0.6,0.01,45.75345990063875,56.54225978647686,706
vol63_3d_full,morning,0.6,0.01,44.71655429382541,46.79359430604982,690
abs3_3d_full,morning,0.6,0.01,43.67964868701207,49.3932384341637,674
vol63_5d_full,morning,0.6,0.01,45.170200496806245,53.94261565836299,697
vol20_1d_full,morning,0.6,0.02,33.11617281760114,33.795373665480426,511
abs1_1d_full,morning,0.6,0.02,34.930757629524486,43.54403914590747,539
vol63_3d_full,morning,0.6,0.02,32.4681068133428,36.395017793594306,501
abs3_3d_full,morning,0.6,0.02,31.625621007806956,39.644572953736656,488
vol63_5d_full,morning,0.6,0.02,32.72733321504613,42.24421708185053,505
vol20_1d_full,morning,0.65,0.0,47.114398509581264,42.894128113879,727
abs1_1d_full,morning,0.65,0.0,48.66975691980128,49.3932384341637,751
vol63_3d_full,morning,0.65,0.0,47.7624645138396,45.49377224199288,737
abs3_3d_full,morning,0.65,0.0,47.114398509581264,46.79359430604982,727
vol63_5d_full,morning,0.65,0.0,48.475337118523775,48.74332740213523,748
vol20_1d_full,morning,0.65,0.01,39.33760645848119,42.24421708185053,607
abs1_1d_full,morning,0.65,0.01,40.24489886444287,48.09341637010676,621
vol63_3d_full,morning,0.65,0.01,39.207993257629525,41.59430604982206,605
abs3_3d_full,morning,0.65,0.01,37.71744144783534,43.54403914590747,582
vol63_5d_full,morning,0.65,0.01,39.98567246273953,46.14368327402135,617
vol20_1d_full,morning,0.65,0.02,29.098163591199434,30.545818505338076,449
abs1_1d_full,morning,0.65,0.02,30.653522001419446,37.044928825622776,473
vol63_3d_full,morning,0.65,0.02,28.255677785663593,31.845640569395016,436
abs3_3d_full,morning,0.65,0.02,26.894739176721078,35.095195729537366,415
vol63_5d_full,morning,0.65,0.02,28.968550390347765,35.745106761565836,447
vol20_1d_full,midday,0.5,0.0,63.445661816891416,64.99110320284697,979
abs1_1d_full,midday,0.5,0.0,65.38985982966643,67.59074733096085,1009
vol63_3d_full,midday,0.5,0.0,64.61218062455643,59.79181494661921,997
abs3_3d_full,midday,0.5,0.0,65.26024662881477,68.24065836298932,1007
vol63_5d_full,midday,0.5,0.0,64.15853442157558,63.04137010676156,990
vol20_1d_full,midday,0.5,0.01,48.92898332150461,55.8923487544484,755
abs1_1d_full,midday,0.5,0.01,49.90108232789212,59.14190391459074,770
vol63_3d_full,midday,0.5,0.01,49.18820972320795,51.34297153024911,759
abs3_3d_full,midday,0.5,0.01,49.31782292405962,61.74154804270462,761
vol63_5d_full,midday,0.5,0.01,48.28091731724628,54.59252669039146,745
vol20_1d_full,midday,0.5,0.02,31.820040809084457,47.44350533807829,491
abs1_1d_full,midday,0.5,0.02,32.79213981547197,48.74332740213523,506
vol63_3d_full,midday,0.5,0.02,32.14407381121363,44.19395017793594,496
abs3_3d_full,midday,0.5,0.02,32.07926721078779,52.64279359430605,495
vol63_5d_full,midday,0.5,0.02,31.301588005677786,46.79359430604982,483
vol20_1d_full,midday,0.55,0.0,57.93710078069553,56.54225978647686,894
abs1_1d_full,midday,0.55,0.0,58.52036018452804,63.04137010676156,903
vol63_3d_full,midday,0.55,0.0,58.13152058197303,55.8923487544484,897
abs3_3d_full,midday,0.55,0.0,58.00190738112136,60.44172597864768,895
vol63_5d_full,midday,0.55,0.0,58.19632718239887,60.44172597864768,898
vol20_1d_full,midday,0.55,0.01,44.78136089425124,48.74332740213523,691
abs1_1d_full,midday,0.55,0.01,44.26290809084457,54.59252669039146,683
vol63_3d_full,midday,0.55,0.01,44.198101490418736,47.44350533807829,682
abs3_3d_full,midday,0.55,0.01,43.485228885734564,53.94261565836299,671
vol63_5d_full,midday,0.55,0.01,43.67964868701207,51.99288256227758,674
vol20_1d_full,midday,0.55,0.02,28.709323988644428,40.94439501779359,443
abs1_1d_full,midday,0.55,0.02,29.616616394606105,45.49377224199288,457
vol63_3d_full,midday,0.55,0.02,28.838937189496097,40.29448398576512,445
abs3_3d_full,midday,0.55,0.02,28.06125798438609,44.84386120996441,433
vol63_5d_full,midday,0.55,0.02,28.38529098651526,44.19395017793594,438
vol20_1d_full,midday,0.6,0.0,51.132407735982966,48.74332740213523,789
abs1_1d_full,midday,0.6,0.0,53.076605748757984,58.49199288256227,819
vol63_3d_full,midday,0.6,0.0,51.780473740241305,48.09341637010676,799
abs3_3d_full,midday,0.6,0.0,51.0027945351313,53.29270462633452,787
vol63_5d_full,midday,0.6,0.0,51.97489354151881,53.29270462633452,802
vol20_1d_full,midday,0.6,0.01,39.856059261887864,40.94439501779359,615
abs1_1d_full,midday,0.6,0.01,40.05047906316537,50.04314946619217,618
vol63_3d_full,midday,0.6,0.01,39.59683286018453,41.59430604982206,611
abs3_3d_full,midday,0.6,0.01,38.10628105039035,46.79359430604982,588
vol63_5d_full,midday,0.6,0.01,39.27279985805536,46.79359430604982,606
vol20_1d_full,midday,0.6,0.02,25.663413768630235,33.145462633451956,396
abs1_1d_full,midday,0.6,0.02,27.218772178850248,42.24421708185053,420
vol63_3d_full,midday,0.6,0.02,25.92264017033357,35.095195729537366,400
abs3_3d_full,midday,0.6,0.02,24.820927963094395,38.344750889679716,383
vol63_5d_full,midday,0.6,0.02,25.468993967352734,38.994661921708186,393
vol20_1d_full,midday,0.65,0.0,45.29981369765791,42.894128113879,699
abs1_1d_full,midday,0.65,0.0,46.40152590489709,49.3932384341637,716
vol63_3d_full,midday,0.65,0.0,45.88307310149042,42.894128113879,708
abs3_3d_full,midday,0.65,0.0,44.06848828956707,46.14368327402135,680
vol63_5d_full,midday,0.65,0.0,46.40152590489709,46.14368327402135,716
vol20_1d_full,midday,0.65,0.01,35.254790631653655,36.395017793594306,544
abs1_1d_full,midday,0.65,0.01,34.86595102909865,41.59430604982206,538
vol63_3d_full,midday,0.65,0.01,34.930757629524486,36.395017793594306,539
abs3_3d_full,midday,0.65,0.01,32.6625266146203,40.94439501779359,504
vol63_5d_full,midday,0.65,0.01,34.86595102909865,39.644572953736656,538
vol20_1d_full,midday,0.65,0.02,22.682310149041875,29.895907473309606,350
abs1_1d_full,midday,0.65,0.02,23.589602555003548,35.095195729537366,364
vol63_3d_full,midday,0.65,0.02,22.61750354861604,30.545818505338076,349
abs3_3d_full,midday,0.65,0.02,20.99733853797019,33.145462633451956,324
vol63_5d_full,midday,0.65,0.02,22.61750354861604,33.145462633451956,349
vol20_1d_full,full,0.5,0.0,78.67521291696238,79.93905693950178,1214
abs1_1d_full,full,0.5,0.0,80.36018452803407,86.43816725978647,1240
vol63_3d_full,full,0.5,0.0,79.58250532292406,77.3394128113879,1228
abs3_3d_full,full,0.5,0.0,80.29537792760823,83.18861209964412,1239
vol63_5d_full,full,0.5,0.0,78.67521291696238,79.93905693950178,1214
vol20_1d_full,full,0.5,0.01,64.22334102200142,74.73976868327402,991
abs1_1d_full,full,0.5,0.01,64.48256742370475,79.93905693950178,995
vol63_3d_full,full,0.5,0.01,63.704888218594746,72.14012455516014,983
abs3_3d_full,full,0.5,0.01,63.640081618168914,77.98932384341637,982
vol63_5d_full,full,0.5,0.01,63.316048616039744,76.03959074733096,977
vol20_1d_full,full,0.5,0.02,45.75345990063875,59.79181494661921,706
abs1_1d_full,full,0.5,0.02,46.91997870830376,62.39145907473309,724
vol63_3d_full,full,0.5,0.02,45.818266501064585,61.74154804270462,707
abs3_3d_full,full,0.5,0.02,45.42942689850958,67.59074733096085,701
vol63_5d_full,full,0.5,0.02,45.29981369765791,62.39145907473309,699
vol20_1d_full,full,0.55,0.0,71.80571327182399,70.19039145907473,1108
abs1_1d_full,full,0.55,0.0,72.06493967352732,79.93905693950178,1112
vol63_3d_full,full,0.55,0.0,71.80571327182399,71.49021352313167,1108
abs3_3d_full,full,0.55,0.0,71.87051987224983,74.73976868327402,1109
vol63_5d_full,full,0.55,0.0,71.41687366926898,75.38967971530249,1102
vol20_1d_full,full,0.55,0.01,58.390746983676365,64.99110320284697,901
abs1_1d_full,full,0.55,0.01,57.54826117814053,73.43994661921708,888
vol63_3d_full,full,0.55,0.01,57.15942157558552,66.29092526690391,882
abs3_3d_full,full,0.55,0.01,56.96500177430802,69.54048042704626,879
vol63_5d_full,full,0.55,0.01,57.22422817601136,71.49021352313167,883
vol20_1d_full,full,0.55,0.02,41.15219127040454,50.69306049822064,635
abs1_1d_full,full,0.55,0.02,41.99467707594038,57.19217081850533,648
vol63_3d_full,full,0.55,0.02,40.828158268275374,55.8923487544484,630
abs3_3d_full,full,0.55,0.02,40.3097054648687,59.14190391459074,622
vol63_5d_full,full,0.55,0.02,40.69854506742371,57.8420818505338,628
vol20_1d_full,full,0.6,0.0,62.92720901348474,61.09163701067615,971
abs1_1d_full,full,0.6,0.0,64.54737402413059,72.79003558718861,996
vol63_3d_full,full,0.6,0.0,64.15853442157558,62.39145907473309,990
abs3_3d_full,full,0.6,0.0,63.51046841731725,64.99110320284697,980
vol63_5d_full,full,0.6,0.0,64.09372782114976,67.59074733096085,989
vol20_1d_full,full,0.6,0.01,51.132407735982966,55.8923487544484,789
abs1_1d_full,full,0.6,0.01,51.97489354151881,66.94083629893238,802
vol63_3d_full,full,0.6,0.01,51.52124733853797,59.14190391459074,795
abs3_3d_full,full,0.6,0.01,50.095502129169624,59.79181494661921,773
vol63_5d_full,full,0.6,0.01,51.780473740241305,64.3411921708185,799
vol20_1d_full,full,0.6,0.02,36.42130943931867,42.24421708185053,562
abs1_1d_full,full,0.6,0.02,38.43031405251952,53.94261565836299,593
vol63_3d_full,full,0.6,0.02,36.680535841022,48.74332740213523,566
abs3_3d_full,full,0.6,0.02,35.578823633782825,50.04314946619217,549
vol63_5d_full,full,0.6,0.02,36.550922640170334,51.34297153024911,564
vol20_1d_full,full,0.65,0.0,55.409643364088005,54.59252669039146,855
abs1_1d_full,full,0.65,0.0,56.77058197303052,63.69128113879003,876
vol63_3d_full,full,0.65,0.0,56.83538857345635,54.59252669039146,877
abs3_3d_full,full,0.65,0.0,55.020803761533,55.8923487544484,849
vol63_5d_full,full,0.65,0.0,57.15942157558552,58.49199288256227,882
vol20_1d_full,full,0.65,0.01,45.04058729595458,50.69306049822064,695
abs1_1d_full,full,0.65,0.01,45.494233498935415,57.8420818505338,702
vol63_3d_full,full,0.65,0.01,45.23500709723208,51.34297153024911,698
abs3_3d_full,full,0.65,0.01,43.22600248403123,50.69306049822064,667
vol63_5d_full,full,0.65,0.01,46.01268630234209,55.24243772241993,710
vol20_1d_full,full,0.65,0.02,32.01446061036196,38.344750889679716,494
abs1_1d_full,full,0.65,0.02,33.76423882185947,46.79359430604982,521
vol63_3d_full,full,0.65,0.02,31.949654009936125,42.24421708185053,493
abs3_3d_full,full,0.65,0.02,30.070262597586943,42.24421708185053,464
vol63_5d_full,full,0.65,0.02,32.53291341376863,44.19395017793594,502
