variant,slot_id,source_start,entry_time,flow_mode,lookback_days,min_mean_return_bps,min_orderflow_imbalance,signals,long_signals,short_signals,signals_per_year
morning_1000_signed_confirmed_slot,slot_1000_1030,09:30:00,10:00:00,signed_imbalance,10,0.75,0.0,1693,894,799,109.65920375953182
morning_1000_signed_confirmed_slot,slot_1000_1030,09:30:00,10:00:00,signed_imbalance,10,0.75,0.01,1171,628,543,75.84815570136549
morning_1000_signed_confirmed_slot,slot_1000_1030,09:30:00,10:00:00,signed_imbalance,10,0.75,0.02,791,436,355,51.23474906898386
morning_1000_signed_confirmed_slot,slot_1000_1030,09:30:00,10:00:00,signed_imbalance,20,0.75,0.0,1667,867,800,107.97512856889519
morning_1000_signed_confirmed_slot,slot_1000_1030,09:30:00,10:00:00,signed_imbalance,20,0.75,0.01,1152,610,542,74.6174853697464
morning_1000_signed_confirmed_slot,slot_1000_1030,09:30:00,10:00:00,signed_imbalance,20,0.75,0.02,782,429,353,50.651799964532714
morning_1000_signed_confirmed_slot,slot_1000_1030,09:30:00,10:00:00,signed_imbalance,40,0.75,0.0,1580,809,771,102.33995389253413
morning_1000_signed_confirmed_slot,slot_1000_1030,09:30:00,10:00:00,signed_imbalance,40,0.75,0.01,1118,582,536,72.41523319737541
morning_1000_signed_confirmed_slot,slot_1000_1030,09:30:00,10:00:00,signed_imbalance,40,0.75,0.02,769,417,352,49.8097623692144
morning_1030_large10_confirmed_slot,slot_1030_1100,10:00:00,10:30:00,large10_imbalance,10,0.75,0.0,1773,818,955,114.84097357687533
morning_1030_large10_confirmed_slot,slot_1030_1100,10:00:00,10:30:00,large10_imbalance,10,0.75,0.01,1718,797,921,111.27850682745166
morning_1030_large10_confirmed_slot,slot_1030_1100,10:00:00,10:30:00,large10_imbalance,10,0.75,0.02,1653,764,889,107.06831885086008
morning_1030_large10_confirmed_slot,slot_1030_1100,10:00:00,10:30:00,large10_imbalance,20,0.75,0.0,1702,747,955,110.24215286398297
morning_1030_large10_confirmed_slot,slot_1030_1100,10:00:00,10:30:00,large10_imbalance,20,0.75,0.01,1645,728,917,106.55014186912572
morning_1030_large10_confirmed_slot,slot_1030_1100,10:00:00,10:30:00,large10_imbalance,20,0.75,0.02,1583,698,885,102.53427026068451
morning_1030_large10_confirmed_slot,slot_1030_1100,10:00:00,10:30:00,large10_imbalance,40,0.75,0.0,1613,679,934,104.47743394218833
morning_1030_large10_confirmed_slot,slot_1030_1100,10:00:00,10:30:00,large10_imbalance,40,0.75,0.01,1552,654,898,100.52633445646391
morning_1030_large10_confirmed_slot,slot_1030_1100,10:00:00,10:30:00,large10_imbalance,40,0.75,0.02,1499,631,868,97.09341195247384
late_morning_1130_signed_confirmed_slot,slot_1130_1200,11:00:00,11:30:00,signed_imbalance,10,0.75,0.0,1715,933,782,111.0841904593013
late_morning_1130_signed_confirmed_slot,slot_1130_1200,11:00:00,11:30:00,signed_imbalance,10,0.75,0.01,1363,747,616,88.28440326298988
late_morning_1130_signed_confirmed_slot,slot_1130_1200,11:00:00,11:30:00,signed_imbalance,10,0.75,0.02,1027,558,469,66.52097003014718
late_morning_1130_signed_confirmed_slot,slot_1130_1200,11:00:00,11:30:00,signed_imbalance,20,0.75,0.0,1593,896,697,103.18199148785246
late_morning_1130_signed_confirmed_slot,slot_1130_1200,11:00:00,11:30:00,signed_imbalance,20,0.75,0.01,1265,721,544,81.9367352367441
late_morning_1130_signed_confirmed_slot,slot_1130_1200,11:00:00,11:30:00,signed_imbalance,20,0.75,0.02,942,524,418,61.015339599219715
late_morning_1130_signed_confirmed_slot,slot_1130_1200,11:00:00,11:30:00,signed_imbalance,40,0.75,0.0,1489,870,619,96.4456907253059
late_morning_1130_signed_confirmed_slot,slot_1130_1200,11:00:00,11:30:00,signed_imbalance,40,0.75,0.01,1159,690,469,75.07089022876396
late_morning_1130_signed_confirmed_slot,slot_1130_1200,11:00:00,11:30:00,signed_imbalance,40,0.75,0.02,867,506,361,56.15743039546019
afternoon_1330_large20_confirmed_slot,slot_1330_1400,13:00:00,13:30:00,large20_imbalance,10,0.75,0.0,1586,793,793,102.72858662883489
afternoon_1330_large20_confirmed_slot,slot_1330_1400,13:00:00,13:30:00,large20_imbalance,10,0.75,0.01,1548,775,773,100.26724596559673
