variant_id,setup_mode,start_time,end_time,profile_context_mode,relative_value_window_minutes,fixed_min_probe_ticks,strict_min_nq_es_return_gap_bps,strict_min_adverse_delta_imbalance,raw_signals,sessions_with_signal,signals_per_year,limited_core_sessions_with_signal,limited_core_signals_per_year
all_market_beyond_poc_nq30_1500,all_market_profile_two_sided_trap,10:00,15:00,beyond_poc,30,1,0.5,0.005,3169,1805,117.205,175,113.734
market_beyond_poc_nq30_1500,market_profile_two_sided_trap,10:00,15:00,beyond_poc,30,1,0.5,0.005,2222,1414,91.816,125,81.239
market_near_value_nq30_1500,market_profile_two_sided_trap,10:00,15:00,near_side_value,30,1,0.5,0.005,2136,1367,88.764,124,80.589
market_deep_probe_beyond_poc_nq30_1500,market_profile_two_sided_trap,10:00,15:00,beyond_poc,30,2,0.5,0.005,1446,1054,68.44,77,50.043
market_beyond_poc_nq15_1500,market_profile_two_sided_trap,10:00,15:00,beyond_poc,15,1,0.5,0.005,2098,1377,89.413,123,79.939
market_beyond_poc_nq60_1500,market_profile_two_sided_trap,10:00,15:00,beyond_poc,60,1,0.5,0.005,1771,1165,75.647,101,65.641
opening_beyond_poc_nq30_1500,opening_profile_two_sided_trap,10:00,15:00,beyond_poc,30,1,0.5,0.005,1288,897,58.245,88,57.192
overnight_beyond_poc_nq30_1530,overnight_profile_two_sided_trap,09:45,15:30,beyond_poc,30,1,0.5,0.005,1173,805,52.271,86,55.892
