variant_id,min_overnight_range_points,reclaim_buffer_ticks,signals,signal_days,signals_per_year,signal_days_per_year,latest_252_signals,latest_252_signal_days,density_pass
high_same_side_vwap_reject_short_1130,40,0,733,733,47.596133333333334,47.596133333333334,86,86,True
high_same_side_vwap_reject_short_1130,40,1,725,725,47.07666666666667,47.07666666666667,85,85,True
high_same_side_vwap_reject_short_1130,40,2,716,716,46.492266666666666,46.492266666666666,85,85,True
high_same_side_vwap_reject_short_1130,60,0,618,618,40.1288,40.1288,85,85,True
high_same_side_vwap_reject_short_1130,60,1,613,613,39.80413333333333,39.80413333333333,84,84,False
high_same_side_vwap_reject_short_1130,60,2,609,609,39.5444,39.5444,84,84,False
low_vwap_reclaimed_long_1130,20,0,856,856,55.58293333333334,55.58293333333334,74,74,True
low_vwap_reclaimed_long_1130,20,1,854,854,55.45306666666667,55.45306666666667,74,74,True
low_vwap_reclaimed_long_1130,20,2,849,849,55.1284,55.1284,74,74,True
low_vwap_reclaimed_long_1130,40,0,610,610,39.60933333333333,39.60933333333333,74,74,False
low_vwap_reclaimed_long_1130,40,1,608,608,39.47946666666667,39.47946666666667,74,74,False
low_vwap_reclaimed_long_1130,40,2,606,606,39.3496,39.3496,74,74,False
low_vwap_reclaimed_long_1130,60,0,511,511,33.180933333333336,33.180933333333336,73,73,False
low_vwap_reclaimed_long_1130,60,1,509,509,33.05106666666667,33.05106666666667,73,73,False
low_vwap_reclaimed_long_1130,60,2,507,507,32.9212,32.9212,73,73,False
high_vwap_reclaimed_short_1130,20,0,921,921,59.8036,59.8036,84,84,True
high_vwap_reclaimed_short_1130,20,1,919,919,59.67373333333334,59.67373333333334,84,84,True
high_vwap_reclaimed_short_1130,20,2,918,918,59.6088,59.6088,84,84,True
high_vwap_reclaimed_short_1130,40,0,676,676,43.894933333333334,43.894933333333334,84,84,True
high_vwap_reclaimed_short_1130,40,1,675,675,43.830000000000005,43.830000000000005,84,84,True
high_vwap_reclaimed_short_1130,40,2,674,674,43.76506666666667,43.76506666666667,84,84,True
high_vwap_reclaimed_short_1130,60,0,568,568,36.882133333333336,36.882133333333336,83,83,False
high_vwap_reclaimed_short_1130,60,1,568,568,36.882133333333336,36.882133333333336,83,83,False
high_vwap_reclaimed_short_1130,60,2,567,567,36.8172,36.8172,83,83,False
