campaign_id,variant_id,scope,timeframe,period_start,period_end,rows,years,signals,signals_per_year,passed_density,entry.params.band_z,entry.params.min_orderflow_imbalance,lookback_bars,min_bar_range_ticks,orderflow_mode
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,limited_core_grid_test,1m,2011-02-22,2012-09-06,145860,1.54141,370,240.039964,True,3.0,0.2,30,4.0,signed
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,limited_core_grid_test,1m,2011-02-22,2012-09-06,145860,1.54141,364,236.147425,True,3.0,0.3,30,4.0,signed
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,full_configured_data,1m,2011-01-03,2026-06-09,1488630,15.433265,3812,246.998936,True,2.0,0.1,30,4.0,signed
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,full_configured_data,1m,2011-01-03,2026-06-09,1488630,15.433265,3802,246.350985,True,2.0,0.2,30,4.0,signed
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,full_configured_data,1m,2011-01-03,2026-06-09,1488630,15.433265,3374,218.61868,True,2.0,0.3,30,4.0,signed
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,full_configured_data,1m,2011-01-03,2026-06-09,1488630,15.433265,3805,246.54537,True,2.5,0.1,30,4.0,signed
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,full_configured_data,1m,2011-01-03,2026-06-09,1488630,15.433265,3743,242.528073,True,2.5,0.2,30,4.0,signed
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,full_configured_data,1m,2011-01-03,2026-06-09,1488630,15.433265,3138,203.327036,True,2.5,0.3,30,4.0,signed
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,full_configured_data,1m,2011-01-03,2026-06-09,1488630,15.433265,3758,243.5,True,3.0,0.1,30,4.0,signed
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,full_configured_data,1m,2011-01-03,2026-06-09,1488630,15.433265,3489,226.070117,True,3.0,0.2,30,4.0,signed
