variant_id,entry_time,volatility_gate_column,flow_mode,confirmation_mode,flow_window_minutes,min_abs_return_ticks,min_trend_return_ticks,share_rank_min,min_orderflow_imbalance,signals,signals_per_year,long_signals,short_signals,first_signal_date,last_signal_date
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,8,8,0.35,0.0,431,60.68725905936777,197,234,2019-08-05,2026-06-08
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,8,8,0.35,0.005,406,57.16711642251349,183,223,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,8,8,0.35,0.01,376,52.942945258288354,173,203,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,8,8,0.45,0.0,389,54.77341942945258,176,213,2019-08-05,2026-06-08
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,8,8,0.45,0.005,366,51.53488820354664,164,202,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,8,8,0.45,0.01,337,47.45152274479568,154,183,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,8,8,0.55,0.0,331,46.60668851195065,150,181,2019-08-05,2026-06-08
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,8,8,0.55,0.005,313,44.07218581341557,142,171,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,8,8,0.55,0.01,293,41.25607170393215,135,158,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,12,8,0.35,0.0,426,59.98323053199692,193,233,2019-08-05,2026-06-08
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,12,8,0.35,0.005,401,56.463087895142635,179,222,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,12,8,0.35,0.01,372,52.379722436391674,170,202,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,12,8,0.45,0.0,384,54.06939090208172,172,212,2019-08-05,2026-06-08
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,12,8,0.45,0.005,361,50.83085967617579,160,201,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,12,8,0.45,0.01,333,46.888299922898995,151,182,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,12,8,0.55,0.0,328,46.18427139552814,148,180,2019-08-05,2026-06-08
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,12,8,0.55,0.005,310,43.64976869699306,140,170,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,12,8,0.55,0.01,291,40.97446029298381,134,157,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,16,8,0.35,0.0,418,58.85678488820354,189,229,2019-08-05,2026-06-08
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,16,8,0.35,0.005,396,55.759059367771776,178,218,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,16,8,0.35,0.01,369,51.95730531996916,169,200,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,16,8,0.45,0.0,377,53.083750963762526,169,208,2019-08-05,2026-06-08
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,16,8,0.45,0.005,356,50.12683114880493,159,197,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,16,8,0.45,0.01,330,46.46588280647648,150,180,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,16,8,0.55,0.0,322,45.33943716268311,146,176,2019-08-05,2026-06-08
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,16,8,0.55,0.005,305,42.945740169622205,139,166,2019-08-14,2026-05-21
absret5_1030_signed_window15_pressure_reversal,10:30:00,absret5_rank_252,signed_imbalance,pressure_extension,15,16,8,0.55,0.01,288,40.55204317656129,133,155,2019-08-14,2026-05-21
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,8,8,0.35,0.0,189,26.61227833461835,86,103,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,8,8,0.35,0.005,186,26.189861218195837,85,101,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,8,8,0.35,0.01,185,26.049055512721665,84,101,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,8,8,0.45,0.0,173,24.35938704703161,76,97,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,8,8,0.45,0.005,170,23.9369699306091,75,95,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,8,8,0.45,0.01,170,23.9369699306091,75,95,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,8,8,0.55,0.0,156,21.9656900539707,70,86,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,8,8,0.55,0.005,153,21.54327293754819,69,84,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,8,8,0.55,0.01,153,21.54327293754819,69,84,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,12,8,0.35,0.0,187,26.330666923670005,84,103,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,12,8,0.35,0.005,184,25.908249807247493,83,101,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,12,8,0.35,0.01,183,25.76744410177332,82,101,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,12,8,0.45,0.0,171,24.077775636083267,74,97,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,12,8,0.45,0.005,168,23.655358519660755,73,95,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,12,8,0.45,0.01,168,23.655358519660755,73,95,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,12,8,0.55,0.0,154,21.684078643022357,68,86,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,12,8,0.55,0.005,151,21.261661526599845,67,84,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,12,8,0.55,0.01,151,21.261661526599845,67,84,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,16,8,0.35,0.0,184,25.908249807247493,82,102,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,16,8,0.35,0.005,181,25.485832690824978,81,100,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,16,8,0.35,0.01,180,25.34502698535081,80,100,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,16,8,0.45,0.0,168,23.655358519660755,72,96,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,16,8,0.45,0.005,165,23.23294140323824,71,94,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,16,8,0.45,0.01,165,23.23294140323824,71,94,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,16,8,0.55,0.0,151,21.261661526599845,66,85,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,16,8,0.55,0.005,148,20.839244410177333,65,83,2019-08-05,2026-06-08
absret5_1030_large20_window15_vwap_pressure_reversal,10:30:00,absret5_rank_252,large20_imbalance,vwap_pressure,15,16,8,0.55,0.01,148,20.839244410177333,65,83,2019-08-05,2026-06-08
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,8,8,0.35,0.0,442,62.23612181958365,203,239,2019-08-05,2026-06-08
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,8,8,0.35,0.005,414,58.29356206630686,186,228,2019-08-14,2026-05-21
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,8,8,0.35,0.01,383,53.92858519660756,175,208,2019-08-14,2026-05-21
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,8,8,0.45,0.0,400,56.322282189668464,182,218,2019-08-05,2026-06-08
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,8,8,0.45,0.005,374,52.66133384734001,167,207,2019-08-14,2026-05-21
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,8,8,0.45,0.01,344,48.43716268311488,156,188,2019-08-14,2026-05-21
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,8,8,0.55,0.0,342,48.155551272166534,156,186,2019-08-05,2026-06-08
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,8,8,0.55,0.005,321,45.19863145720894,145,176,2019-08-14,2026-05-21
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,8,8,0.55,0.01,300,42.241711642251346,137,163,2019-08-14,2026-05-21
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,12,8,0.35,0.0,437,61.5320932922128,199,238,2019-08-05,2026-06-08
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,12,8,0.35,0.005,409,57.589533538936,182,227,2019-08-14,2026-05-21
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,12,8,0.35,0.01,379,53.36536237471087,172,207,2019-08-14,2026-05-21
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,12,8,0.45,0.0,395,55.618253662297604,178,217,2019-08-05,2026-06-08
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,12,8,0.45,0.005,369,51.95730531996916,163,206,2019-08-14,2026-05-21
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,12,8,0.45,0.01,340,47.8739398612182,153,187,2019-08-14,2026-05-21
range10_1030_signed_window15_pressure_reversal,10:30:00,range10_rank_252,signed_imbalance,pressure_extension,15,12,8,0.55,0.0,339,47.733134155744025,154,185,2019-08-05,2026-06-08
