side,release_rows,window_count,window_running,pivots_count,pivots_running,range_count,range_running,no_lvn_count,no_lvn_running,sweep_count,sweep_running,delta_count,delta_running,near_vap_count,near_vap_running,final_signal_count
short,4298,1850,1850,3705,1257,4079,1254,874,242,501,15,4298,15,961,4,4
long,4305,1739,1739,3747,1181,4095,1171,836,208,630,34,4305,34,690,3,3
