variant_id,entry_rows,rows_passing_density,min_signals_per_year,full_min_signals,limited_core_min_signals,latest_252_min_signals,density_gate_pass
falling_consumer_loan_delinquency_long_1330,9,9,94.0,1704,371,94,True
falling_credit_card_delinquency_long_1200,9,9,112.3524783634933,1700,371,218,True
high_all_loan_chargeoff_short_1130,9,9,69.72462627852084,1055,371,162,True
high_business_loan_chargeoff_short_1030,9,9,56.17623918174665,850,165,252,True
high_credit_card_chargeoff_short_1000,9,9,53.7970102281668,814,223,222,True
