variant,window,start_date,end_date,calendar_sessions,min_abs_move_ticks,min_orderflow_imbalance,signals,signals_per_year,density_pass
early_signed_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,6,0.0,66,64.284,True
early_signed_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,6,0.005,63,61.36200000000001,True
early_signed_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,6,0.01,62,60.388000000000005,True
early_signed_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,8,0.0,62,60.388000000000005,True
early_signed_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,8,0.005,59,57.46600000000001,True
early_signed_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,8,0.01,58,56.492000000000004,True
early_signed_flow_continuation_1000,wfa_first_90pct,2016-02-24,2025-05-29,1544,4,0.0,1068,115.30801064144251,True
early_signed_flow_continuation_1000,wfa_first_90pct,2016-02-24,2025-05-29,1544,4,0.005,965,104.18748152527343,True
early_signed_flow_continuation_1000,wfa_first_90pct,2016-02-24,2025-05-29,1544,4,0.01,858,92.63508720070944,True
early_signed_flow_continuation_1000,wfa_first_90pct,2016-02-24,2025-05-29,1544,6,0.0,1018,109.90969553650606,True
early_signed_flow_continuation_1000,wfa_first_90pct,2016-02-24,2025-05-29,1544,6,0.005,919,99.2210316287319,True
early_signed_flow_continuation_1000,wfa_first_90pct,2016-02-24,2025-05-29,1544,6,0.01,821,88.64033402305647,True
early_signed_flow_continuation_1000,wfa_first_90pct,2016-02-24,2025-05-29,1544,8,0.0,985,106.346807567248,True
early_signed_flow_continuation_1000,wfa_first_90pct,2016-02-24,2025-05-29,1544,8,0.005,892,96.30594147206622,True
early_signed_flow_continuation_1000,wfa_first_90pct,2016-02-24,2025-05-29,1544,8,0.01,797,86.04914277268696,True
early_signed_flow_continuation_1000,latest_1y,2025-06-09,2026-06-09,237,4,0.0,171,170.64959016393442,True
early_signed_flow_continuation_1000,latest_1y,2025-06-09,2026-06-09,237,4,0.005,148,147.69672131147541,True
early_signed_flow_continuation_1000,latest_1y,2025-06-09,2026-06-09,237,4,0.01,126,125.74180327868852,True
early_signed_flow_continuation_1000,latest_1y,2025-06-09,2026-06-09,237,6,0.0,168,167.65573770491804,True
early_signed_flow_continuation_1000,latest_1y,2025-06-09,2026-06-09,237,6,0.005,145,144.70286885245903,True
early_signed_flow_continuation_1000,latest_1y,2025-06-09,2026-06-09,237,6,0.01,124,123.74590163934427,True
early_signed_flow_continuation_1000,latest_1y,2025-06-09,2026-06-09,237,8,0.0,164,163.6639344262295,True
early_signed_flow_continuation_1000,latest_1y,2025-06-09,2026-06-09,237,8,0.005,142,141.70901639344262,True
early_signed_flow_continuation_1000,latest_1y,2025-06-09,2026-06-09,237,8,0.01,122,121.75,True
late_day_large20_flow_continuation_1430,full,2016-02-24,2026-06-09,1787,8,0.0,1180,114.65682362330408,True
late_day_large20_flow_continuation_1430,full,2016-02-24,2026-06-09,1787,8,0.01,1099,106.78631284916202,True
late_day_large20_flow_continuation_1430,full,2016-02-24,2026-06-09,1787,8,0.02,1021,99.20730247406226,True
late_day_large20_flow_continuation_1430,full,2016-02-24,2026-06-09,1787,10,0.0,1158,112.51915403032721,True
late_day_large20_flow_continuation_1430,full,2016-02-24,2026-06-09,1787,10,0.01,1080,104.94014365522746,True
late_day_large20_flow_continuation_1430,full,2016-02-24,2026-06-09,1787,10,0.02,1005,97.65263367917,True
late_day_large20_flow_continuation_1430,full,2016-02-24,2026-06-09,1787,12,0.0,1137,110.47865123703113,True
late_day_large20_flow_continuation_1430,full,2016-02-24,2026-06-09,1787,12,0.01,1066,103.57980845969674,True
late_day_large20_flow_continuation_1430,full,2016-02-24,2026-06-09,1787,12,0.02,992,96.38946528332004,True
late_day_large20_flow_continuation_1430,limited_core_random_10pct,2016-04-14,2017-04-23,122,8,0.0,71,69.15400000000001,True
late_day_large20_flow_continuation_1430,limited_core_random_10pct,2016-04-14,2017-04-23,122,8,0.01,63,61.36200000000001,True
late_day_large20_flow_continuation_1430,limited_core_random_10pct,2016-04-14,2017-04-23,122,8,0.02,53,51.62200000000001,True
late_day_large20_flow_continuation_1430,limited_core_random_10pct,2016-04-14,2017-04-23,122,10,0.0,69,67.206,True
late_day_large20_flow_continuation_1430,limited_core_random_10pct,2016-04-14,2017-04-23,122,10,0.01,61,59.41400000000001,True
late_day_large20_flow_continuation_1430,limited_core_random_10pct,2016-04-14,2017-04-23,122,10,0.02,52,50.648,True
late_day_large20_flow_continuation_1430,limited_core_random_10pct,2016-04-14,2017-04-23,122,12,0.0,68,66.23200000000001,True
late_day_large20_flow_continuation_1430,limited_core_random_10pct,2016-04-14,2017-04-23,122,12,0.01,61,59.41400000000001,True
late_day_large20_flow_continuation_1430,limited_core_random_10pct,2016-04-14,2017-04-23,122,12,0.02,52,50.648,True
late_day_large20_flow_continuation_1430,wfa_first_90pct,2016-02-24,2025-05-29,1544,8,0.0,1016,109.6937629323086,True
late_day_large20_flow_continuation_1430,wfa_first_90pct,2016-02-24,2025-05-29,1544,8,0.01,942,101.70425657700267,True
late_day_large20_flow_continuation_1430,wfa_first_90pct,2016-02-24,2025-05-29,1544,8,0.02,871,94.03864912799291,True
late_day_large20_flow_continuation_1430,wfa_first_90pct,2016-02-24,2025-05-29,1544,10,0.0,995,107.4264705882353,True
late_day_large20_flow_continuation_1430,wfa_first_90pct,2016-02-24,2025-05-29,1544,10,0.01,924,99.76086313922555,True
late_day_large20_flow_continuation_1430,wfa_first_90pct,2016-02-24,2025-05-29,1544,10,0.02,856,92.41915459651197,True
late_day_large20_flow_continuation_1430,wfa_first_90pct,2016-02-24,2025-05-29,1544,12,0.0,976,105.37511084835945,True
late_day_large20_flow_continuation_1430,wfa_first_90pct,2016-02-24,2025-05-29,1544,12,0.01,911,98.35730121194207,True
late_day_large20_flow_continuation_1430,wfa_first_90pct,2016-02-24,2025-05-29,1544,12,0.02,844,91.12355897132723,True
late_day_large20_flow_continuation_1430,latest_1y,2025-06-09,2026-06-09,237,8,0.0,159,158.67418032786887,True
late_day_large20_flow_continuation_1430,latest_1y,2025-06-09,2026-06-09,237,8,0.01,152,151.68852459016395,True
late_day_large20_flow_continuation_1430,latest_1y,2025-06-09,2026-06-09,237,8,0.02,147,146.6987704918033,True
late_day_large20_flow_continuation_1430,latest_1y,2025-06-09,2026-06-09,237,10,0.0,158,157.6762295081967,True
late_day_large20_flow_continuation_1430,latest_1y,2025-06-09,2026-06-09,237,10,0.01,151,150.6905737704918,True
late_day_large20_flow_continuation_1430,latest_1y,2025-06-09,2026-06-09,237,10,0.02,146,145.70081967213116,True
late_day_large20_flow_continuation_1430,latest_1y,2025-06-09,2026-06-09,237,12,0.0,156,155.68032786885246,True
late_day_large20_flow_continuation_1430,latest_1y,2025-06-09,2026-06-09,237,12,0.01,150,149.69262295081967,True
late_day_large20_flow_continuation_1430,latest_1y,2025-06-09,2026-06-09,237,12,0.02,145,144.70286885245903,True
late_morning_large20_flow_continuation_1030,full,2016-02-24,2026-06-09,1787,2,0.02,1074,104.35714285714286,True
late_morning_large20_flow_continuation_1030,full,2016-02-24,2026-06-09,1787,2,0.03,1016,98.72146847565843,True
late_morning_large20_flow_continuation_1030,full,2016-02-24,2026-06-09,1787,2,0.04,976,94.83479648842778,True
late_morning_large20_flow_continuation_1030,full,2016-02-24,2026-06-09,1787,3,0.02,1065,103.48264166001597,True
late_morning_large20_flow_continuation_1030,full,2016-02-24,2026-06-09,1787,3,0.03,1008,97.9441340782123,True
late_morning_large20_flow_continuation_1030,full,2016-02-24,2026-06-09,1787,3,0.04,968,94.05746209098164,True
late_morning_large20_flow_continuation_1030,full,2016-02-24,2026-06-09,1787,4,0.02,1050,102.02513966480447,True
late_morning_large20_flow_continuation_1030,full,2016-02-24,2026-06-09,1787,4,0.03,994,96.58379888268156,True
late_morning_large20_flow_continuation_1030,full,2016-02-24,2026-06-09,1787,4,0.04,954,92.69712689545092,True
late_morning_large20_flow_continuation_1030,limited_core_random_10pct,2016-04-14,2017-04-23,122,2,0.02,67,65.25800000000001,True
late_morning_large20_flow_continuation_1030,limited_core_random_10pct,2016-04-14,2017-04-23,122,2,0.03,57,55.51800000000001,True
late_morning_large20_flow_continuation_1030,limited_core_random_10pct,2016-04-14,2017-04-23,122,2,0.04,56,54.544000000000004,True
late_morning_large20_flow_continuation_1030,limited_core_random_10pct,2016-04-14,2017-04-23,122,3,0.02,66,64.284,True
late_morning_large20_flow_continuation_1030,limited_core_random_10pct,2016-04-14,2017-04-23,122,3,0.03,56,54.544000000000004,True
late_morning_large20_flow_continuation_1030,limited_core_random_10pct,2016-04-14,2017-04-23,122,3,0.04,55,53.57000000000001,True
late_morning_large20_flow_continuation_1030,limited_core_random_10pct,2016-04-14,2017-04-23,122,4,0.02,64,62.336000000000006,True
late_morning_large20_flow_continuation_1030,limited_core_random_10pct,2016-04-14,2017-04-23,122,4,0.03,54,52.596000000000004,True
late_morning_large20_flow_continuation_1030,limited_core_random_10pct,2016-04-14,2017-04-23,122,4,0.04,53,51.62200000000001,True
late_morning_large20_flow_continuation_1030,wfa_first_90pct,2016-02-24,2025-05-29,1544,2,0.02,917,99.00509902453445,True
late_morning_large20_flow_continuation_1030,wfa_first_90pct,2016-02-24,2025-05-29,1544,2,0.03,862,93.06695240910435,True
late_morning_large20_flow_continuation_1030,wfa_first_90pct,2016-02-24,2025-05-29,1544,2,0.04,825,89.07219923145138,True
late_morning_large20_flow_continuation_1030,wfa_first_90pct,2016-02-24,2025-05-29,1544,3,0.02,910,98.24933490984334,True
late_morning_large20_flow_continuation_1030,wfa_first_90pct,2016-02-24,2025-05-29,1544,3,0.03,856,92.41915459651197,True
late_morning_large20_flow_continuation_1030,wfa_first_90pct,2016-02-24,2025-05-29,1544,3,0.04,819,88.424401418859,True
late_morning_large20_flow_continuation_1030,wfa_first_90pct,2016-02-24,2025-05-29,1544,4,0.02,896,96.73780668046113,True
late_morning_large20_flow_continuation_1030,wfa_first_90pct,2016-02-24,2025-05-29,1544,4,0.03,843,91.0155926692285,True
late_morning_large20_flow_continuation_1030,wfa_first_90pct,2016-02-24,2025-05-29,1544,4,0.04,806,87.02083949157553,True
late_morning_large20_flow_continuation_1030,latest_1y,2025-06-09,2026-06-09,237,2,0.02,151,150.6905737704918,True
late_morning_large20_flow_continuation_1030,latest_1y,2025-06-09,2026-06-09,237,2,0.03,148,147.69672131147541,True
late_morning_large20_flow_continuation_1030,latest_1y,2025-06-09,2026-06-09,237,2,0.04,146,145.70081967213116,True
late_morning_large20_flow_continuation_1030,latest_1y,2025-06-09,2026-06-09,237,3,0.02,149,148.69467213114754,True
late_morning_large20_flow_continuation_1030,latest_1y,2025-06-09,2026-06-09,237,3,0.03,146,145.70081967213116,True
late_morning_large20_flow_continuation_1030,latest_1y,2025-06-09,2026-06-09,237,3,0.04,144,143.70491803278688,True
late_morning_large20_flow_continuation_1030,latest_1y,2025-06-09,2026-06-09,237,4,0.02,148,147.69672131147541,True
late_morning_large20_flow_continuation_1030,latest_1y,2025-06-09,2026-06-09,237,4,0.03,145,144.70286885245903,True
late_morning_large20_flow_continuation_1030,latest_1y,2025-06-09,2026-06-09,237,4,0.04,143,142.70696721311475,True
midday_large20_flow_continuation_1330,full,2016-02-24,2026-06-09,1787,6,0.0,1222,118.73782920989625,True
midday_large20_flow_continuation_1330,full,2016-02-24,2026-06-09,1787,6,0.01,1134,110.18715083798884,True
midday_large20_flow_continuation_1330,full,2016-02-24,2026-06-09,1787,6,0.02,1054,102.41380686352754,True
midday_large20_flow_continuation_1330,full,2016-02-24,2026-06-09,1787,8,0.0,1197,116.3086592178771,True
midday_large20_flow_continuation_1330,full,2016-02-24,2026-06-09,1787,8,0.01,1113,108.14664804469274,True
midday_large20_flow_continuation_1330,full,2016-02-24,2026-06-09,1787,8,0.02,1037,100.76197126895451,True
midday_large20_flow_continuation_1330,full,2016-02-24,2026-06-09,1787,10,0.0,1161,112.81065442936952,True
midday_large20_flow_continuation_1330,full,2016-02-24,2026-06-09,1787,10,0.01,1081,105.03731045490822,True
midday_large20_flow_continuation_1330,full,2016-02-24,2026-06-09,1787,10,0.02,1011,98.23563447725459,True
midday_large20_flow_continuation_1330,limited_core_random_10pct,2016-04-14,2017-04-23,122,6,0.0,80,77.92,True
midday_large20_flow_continuation_1330,limited_core_random_10pct,2016-04-14,2017-04-23,122,6,0.01,69,67.206,True
midday_large20_flow_continuation_1330,limited_core_random_10pct,2016-04-14,2017-04-23,122,6,0.02,56,54.544000000000004,True
midday_large20_flow_continuation_1330,limited_core_random_10pct,2016-04-14,2017-04-23,122,8,0.0,77,74.998,True
midday_large20_flow_continuation_1330,limited_core_random_10pct,2016-04-14,2017-04-23,122,8,0.01,67,65.25800000000001,True
midday_large20_flow_continuation_1330,limited_core_random_10pct,2016-04-14,2017-04-23,122,8,0.02,55,53.57000000000001,True
midday_large20_flow_continuation_1330,limited_core_random_10pct,2016-04-14,2017-04-23,122,10,0.0,72,70.128,True
midday_large20_flow_continuation_1330,limited_core_random_10pct,2016-04-14,2017-04-23,122,10,0.01,63,61.36200000000001,True
midday_large20_flow_continuation_1330,limited_core_random_10pct,2016-04-14,2017-04-23,122,10,0.02,52,50.648,True
midday_large20_flow_continuation_1330,wfa_first_90pct,2016-02-24,2025-05-29,1544,6,0.0,1055,113.90444871415903,True
midday_large20_flow_continuation_1330,wfa_first_90pct,2016-02-24,2025-05-29,1544,6,0.01,978,105.5910434525569,True
midday_large20_flow_continuation_1330,wfa_first_90pct,2016-02-24,2025-05-29,1544,6,0.02,904,97.60153709725097,True
midday_large20_flow_continuation_1330,wfa_first_90pct,2016-02-24,2025-05-29,1544,8,0.0,1030,111.20529116169081,True
midday_large20_flow_continuation_1330,wfa_first_90pct,2016-02-24,2025-05-29,1544,8,0.01,957,103.32375110848359,True
midday_large20_flow_continuation_1330,wfa_first_90pct,2016-02-24,2025-05-29,1544,8,0.02,887,95.76610996157257,True
midday_large20_flow_continuation_1330,wfa_first_90pct,2016-02-24,2025-05-29,1544,10,0.0,996,107.53443689033402,True
midday_large20_flow_continuation_1330,wfa_first_90pct,2016-02-24,2025-05-29,1544,10,0.01,927,100.08476204552173,True
midday_large20_flow_continuation_1330,wfa_first_90pct,2016-02-24,2025-05-29,1544,10,0.02,863,93.17491871120308,True
midday_large20_flow_continuation_1330,latest_1y,2025-06-09,2026-06-09,237,6,0.0,164,163.6639344262295,True
midday_large20_flow_continuation_1330,latest_1y,2025-06-09,2026-06-09,237,6,0.01,153,152.68647540983608,True
midday_large20_flow_continuation_1330,latest_1y,2025-06-09,2026-06-09,237,6,0.02,148,147.69672131147541,True
midday_large20_flow_continuation_1330,latest_1y,2025-06-09,2026-06-09,237,8,0.0,164,163.6639344262295,True
midday_large20_flow_continuation_1330,latest_1y,2025-06-09,2026-06-09,237,8,0.01,153,152.68647540983608,True
midday_large20_flow_continuation_1330,latest_1y,2025-06-09,2026-06-09,237,8,0.02,148,147.69672131147541,True
midday_large20_flow_continuation_1330,latest_1y,2025-06-09,2026-06-09,237,10,0.0,162,161.66803278688525,True
midday_large20_flow_continuation_1330,latest_1y,2025-06-09,2026-06-09,237,10,0.01,151,150.6905737704918,True
midday_large20_flow_continuation_1330,latest_1y,2025-06-09,2026-06-09,237,10,0.02,146,145.70081967213116,True
