campaign_id,variant,entry_combo_index,total_grid_combinations,setup_mode,entry_time,entry_params_json,full_signals,full_signals_per_year,latest252_signals
nq_sector_dispersion_state,falling_5d_dispersion_long_1330,1,27,falling_5d_dispersion_long,13:30:00,"{""rank_max"": 0.35}",1325,85.82306259975172,81
nq_sector_dispersion_state,falling_5d_dispersion_long_1330,2,27,falling_5d_dispersion_long,13:30:00,"{""rank_max"": 0.3}",1132,73.32204291541053,70
nq_sector_dispersion_state,falling_5d_dispersion_long_1330,3,27,falling_5d_dispersion_long,13:30:00,"{""rank_max"": 0.25}",956,61.92214931725483,60
nq_sector_dispersion_state,high_1d_dispersion_short_1000,1,27,high_1d_dispersion_short,10:00:00,"{""rank_min"": 0.65}",1402,90.81051604894485,109
nq_sector_dispersion_state,high_1d_dispersion_short_1000,2,27,high_1d_dispersion_short,10:00:00,"{""rank_min"": 0.7}",1190,77.07882603298457,90
nq_sector_dispersion_state,high_1d_dispersion_short_1000,3,27,high_1d_dispersion_short,10:00:00,"{""rank_min"": 0.75}",1012,65.54938818939527,74
nq_sector_dispersion_state,high_5d_dispersion_short_1030,1,27,high_5d_dispersion_short,10:30:00,"{""rank_min"": 0.65}",1395,90.3571111899273,93
nq_sector_dispersion_state,high_5d_dispersion_short_1030,2,27,high_5d_dispersion_short,10:30:00,"{""rank_min"": 0.7}",1193,77.27314240113495,78
nq_sector_dispersion_state,high_5d_dispersion_short_1030,3,27,high_5d_dispersion_short,10:30:00,"{""rank_min"": 0.75}",1018,65.93802092569604,69
nq_sector_dispersion_state,low_1d_dispersion_long_1200,1,27,low_1d_dispersion_long,12:00:00,"{""rank_max"": 0.35}",1292,83.68558255009754,63
nq_sector_dispersion_state,low_1d_dispersion_long_1200,2,27,low_1d_dispersion_long,12:00:00,"{""rank_max"": 0.3}",1106,71.63796772477389,53
nq_sector_dispersion_state,low_1d_dispersion_long_1200,3,27,low_1d_dispersion_long,12:00:00,"{""rank_max"": 0.25}",935,60.56193474020216,44
nq_sector_dispersion_state,rising_1d_dispersion_short_1130,1,27,rising_1d_dispersion_short,11:30:00,"{""rank_min"": 0.65}",1356,87.83099840397233,94
nq_sector_dispersion_state,rising_1d_dispersion_short_1130,2,27,rising_1d_dispersion_short,11:30:00,"{""rank_min"": 0.7}",1168,75.6538393332151,83
nq_sector_dispersion_state,rising_1d_dispersion_short_1130,3,27,rising_1d_dispersion_short,11:30:00,"{""rank_min"": 0.75}",973,63.02327540344032,69
