variant_id,period,start_date,end_date,opening_range_minutes,last_entry_time,flow_mode,max_reclaim_bars,min_reclaim_orderflow_imbalance,signals,years,signals_per_year
or30_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:45:00,large10,12,0.01,185,1.541409993155373,120.01998223801066
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:45:00,signed_volume,6,0.0,2059,15.433264887063656,133.413118680149
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:45:00,signed_volume,6,0.0,195,1.541409993155373,126.5075488454707
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:45:00,signed_volume,6,0.005,2057,15.433264887063656,133.2835284725918
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:45:00,signed_volume,6,0.005,195,1.541409993155373,126.5075488454707
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:45:00,signed_volume,6,0.01,2054,15.433264887063656,133.08914316125598
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:45:00,signed_volume,6,0.01,195,1.541409993155373,126.5075488454707
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:45:00,signed_volume,12,0.0,1852,15.433264887063656,120.00053219797765
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:45:00,signed_volume,12,0.0,184,1.541409993155373,119.37122557726465
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:45:00,signed_volume,12,0.005,1850,15.433264887063656,119.87094199042043
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:45:00,signed_volume,12,0.005,184,1.541409993155373,119.37122557726465
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:45:00,signed_volume,12,0.01,1849,15.433264887063656,119.80614688664183
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:45:00,signed_volume,12,0.01,184,1.541409993155373,119.37122557726465
or60_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,60,15:45:00,signed_volume,6,0.0,1778,15.433264887063656,115.20569451836083
or60_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,60,15:45:00,signed_volume,6,0.0,174,1.541409993155373,112.88365896980461
or60_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,60,15:45:00,signed_volume,6,0.005,1778,15.433264887063656,115.20569451836083
or60_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,60,15:45:00,signed_volume,6,0.005,174,1.541409993155373,112.88365896980461
or60_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,60,15:45:00,signed_volume,6,0.01,1775,15.433264887063656,115.01130920702501
or60_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,60,15:45:00,signed_volume,6,0.01,174,1.541409993155373,112.88365896980461
or60_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,60,15:45:00,signed_volume,12,0.0,1602,15.433264887063656,103.80175625332623
or60_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,60,15:45:00,signed_volume,12,0.0,164,1.541409993155373,106.39609236234458
or60_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,60,15:45:00,signed_volume,12,0.005,1601,15.433264887063656,103.73696114954762
or60_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,60,15:45:00,signed_volume,12,0.005,164,1.541409993155373,106.39609236234458
or60_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,60,15:45:00,signed_volume,12,0.01,1600,15.433264887063656,103.67216604576902
or60_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,60,15:45:00,signed_volume,12,0.01,164,1.541409993155373,106.39609236234458
