variant_id,entry_rows,pass_rows,min_full_signals_per_year,median_full_signals_per_year,max_full_signals_per_year,min_limited_signals_per_year,median_limited_signals_per_year,max_limited_signals_per_year,min_latest_252_signals,median_latest_252_signals,max_latest_252_signals,verdict
afternoon90_1d_flow_confirm_1400,9,9,81.48333037772655,102.85813087426848,125.72269019329669,102.50355239786856,112.88365896980461,120.01998223801066,80,110.0,139,PASS
first120_3d_flow_confirm_1130,9,9,68.98231069338534,98.84225926582727,128.31357510196844,105.09857904085257,118.72246891651865,136.23889875666075,58,100.0,132,PASS
first150_5d_flow_confirm_1200,9,9,63.41190813974109,91.71732576697995,126.4999556658982,96.01598579040852,110.9373889875666,127.1563055062167,58,106.0,153,PASS
first60_1d_flow_confirm_1030,9,9,71.05501862032276,95.53888100727079,120.41137613051959,92.77220248667851,106.39609236234458,120.01998223801066,72,109.0,136,PASS
first90_2d_flow_confirm_1100,9,9,70.14820890228764,94.76161553466926,123.77952651179287,97.31349911190053,110.9373889875666,125.85879218472469,63,93.0,123,PASS
