phase,start_offset,end_offset,direction,entry_time,signal_bar_time,flow_column,ret_bps,flow_threshold,all_windows_ge_50,min_window_tpy,full_count,full_tpy,limited_10pct_count,limited_10pct_tpy,wfa90_count,wfa90_tpy,latest1y_count,latest1y_tpy
blackout_short,-14,20,short,10:30:00,10:29:00,large10_signed_volume,0,0,False,20.01,476,30.85,63,40.8,441,31.76,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large10_signed_volume,0,50,False,20.01,474,30.72,63,40.8,440,31.69,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large10_signed_volume,0,100,False,20.01,469,30.39,63,40.8,435,31.33,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large10_signed_volume,1,0,False,20.01,459,29.75,59,38.21,425,30.61,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large10_signed_volume,1,50,False,20.01,457,29.62,59,38.21,424,30.53,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large10_signed_volume,1,100,False,20.01,452,29.29,59,38.21,419,30.17,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large10_signed_volume,2,0,False,20.01,447,28.97,54,34.97,413,29.74,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large10_signed_volume,2,50,False,20.01,445,28.84,54,34.97,412,29.67,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large10_signed_volume,2,100,False,20.01,440,28.51,54,34.97,407,29.31,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large20_signed_volume,0,0,False,20.01,454,29.42,58,37.56,417,30.03,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large20_signed_volume,0,50,False,20.01,450,29.16,57,36.91,413,29.74,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large20_signed_volume,1,0,False,20.01,440,28.51,55,35.62,404,29.09,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large20_signed_volume,1,50,False,20.01,437,28.32,55,35.62,401,28.88,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large20_signed_volume,2,0,False,20.01,429,27.8,52,33.68,393,28.3,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large20_signed_volume,2,50,False,20.01,426,27.61,52,33.68,390,28.09,20,20.01
blackout_short,-14,20,short,10:30:00,10:29:00,large20_signed_volume,0,100,False,19.01,445,28.84,57,36.91,410,29.53,19,19.01
blackout_short,-14,20,short,10:30:00,10:29:00,large20_signed_volume,1,100,False,19.01,433,28.06,55,35.62,399,28.73,19,19.01
blackout_short,-14,20,short,10:30:00,10:29:00,large20_signed_volume,2,100,False,19.01,422,27.35,52,33.68,388,27.94,19,19.01
blackout_short,-14,20,short,10:30:00,10:29:00,signed_volume,0,0,False,27.02,545,35.32,67,43.39,502,36.15,27,27.02
blackout_short,-14,20,short,10:30:00,10:29:00,signed_volume,1,0,False,27.02,531,34.41,63,40.8,488,35.14,27,27.02
blackout_short,-14,20,short,10:30:00,10:29:00,signed_volume,2,0,False,25.02,514,33.31,57,36.91,473,34.06,25,25.02
blackout_short,-14,20,short,11:00:00,10:59:00,large10_signed_volume,0,0,False,21.01,477,30.91,60,38.86,443,31.9,21,21.01
blackout_short,-14,20,short,11:00:00,10:59:00,large10_signed_volume,0,50,False,21.01,475,30.78,60,38.86,441,31.76,21,21.01
blackout_short,-14,20,short,11:00:00,10:59:00,large10_signed_volume,0,100,False,21.01,470,30.46,60,38.86,436,31.4,21,21.01
blackout_short,-14,20,short,11:00:00,10:59:00,large10_signed_volume,1,0,False,21.01,467,30.26,59,38.21,433,31.18,21,21.01
blackout_short,-14,20,short,11:00:00,10:59:00,large10_signed_volume,1,50,False,21.01,465,30.14,59,38.21,431,31.04,21,21.01
blackout_short,-14,20,short,11:00:00,10:59:00,large10_signed_volume,1,100,False,21.01,460,29.81,59,38.21,426,30.68,21,21.01
blackout_short,-14,20,short,11:00:00,10:59:00,large10_signed_volume,2,0,False,21.01,458,29.68,57,36.91,424,30.53,21,21.01
blackout_short,-14,20,short,11:00:00,10:59:00,large10_signed_volume,2,50,False,21.01,456,29.55,57,36.91,422,30.39,21,21.01
blackout_short,-14,20,short,11:00:00,10:59:00,large10_signed_volume,2,100,False,21.01,451,29.23,57,36.91,417,30.03,21,21.01
blackout_short,-14,20,short,11:00:00,10:59:00,large20_signed_volume,0,0,False,19.01,471,30.52,60,38.86,439,31.61,19,19.01
blackout_short,-14,20,short,11:00:00,10:59:00,large20_signed_volume,0,50,False,19.01,466,30.2,60,38.86,434,31.25,19,19.01
blackout_short,-14,20,short,11:00:00,10:59:00,large20_signed_volume,0,100,False,19.01,459,29.75,60,38.86,427,30.75,19,19.01
