wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.level_rank_max,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,1,True,11,0.28,0.006,2.0,146,146,146,0,0,0,0,0,0,0,146,186.30926934601433,4675.0,1.2624929814710837,0.1353773313175677,2365.0,0.015059857361181865,0.03994134294429896,2.652172725569856,0.4452054794520548,0,0,True,-315.0,0.12192513368983957,6,True,
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,2,False,20,0.24,0.006,2.0,133,133,133,0,0,0,0,0,0,0,133,170.35245412592693,5175.0,1.3201360965047944,0.1599401841609465,2720.0,0.01722663795560341,0.044401503916987384,2.577490978298795,0.46616541353383456,0,0,True,-315.0,0.11014492753623188,6,True,
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,3,False,12,0.28,0.006,2.5,146,146,146,0,0,0,0,0,0,0,146,186.30926934601433,3795.0,1.209900442477876,0.11308237509498908,2152.5,0.01380272206992738,0.03239717575294776,2.347158450979243,0.4383561643835616,0,0,True,-315.0,0.18511198945981555,6,True,
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,4,False,21,0.24,0.006,2.5,133,133,133,0,0,0,0,0,0,0,133,170.35245412592693,4225.0,1.2570733191359902,0.13355334526313628,2577.5,0.016437875671625135,0.0362188906372809,2.203380251853438,0.45864661654135336,0,0,True,-315.0,0.16627218934911242,6,True,
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,5,False,19,0.24,0.006,1.5,133,133,133,0,0,0,0,0,0,0,133,170.35245412592693,2822.5,1.178131902808457,0.0950637981929163,2565.0,0.016507119298527873,0.024164640676008098,1.4638920479700617,0.48120300751879697,0,0,True,-315.0,0.15057573073516387,6,False,min_profit_factor
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,6,False,2,0.32,0.006,2.0,162,162,162,0,0,0,0,0,0,0,162,113.34621033139646,3940.0,1.1947602570439941,0.10883853733113498,2235.0,0.014310869217224268,0.018306269013911525,1.2791863817662783,0.4382716049382716,0,0,True,-345.0,0.1446700507614213,7,False,min_profit_factor
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,7,False,25,0.24,0.012,1.5,133,133,133,0,0,0,0,0,0,0,133,170.31512569237321,3962.5,1.2020652728199899,0.0637436713976166,4325.0,0.02760667666677305,0.03395283019161166,1.2298774894725644,0.5112781954887218,0,0,True,-580.0,0.2,6,True,
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,8,False,24,0.24,0.009,2.5,133,133,133,0,0,0,0,0,0,0,133,170.31512569237321,3270.0,1.170846394984326,0.07228424540735544,3960.0,0.025186033199771037,0.02800124411871341,1.11177666989528,0.48872180451127817,0,0,True,-445.0,0.30275229357798167,6,False,min_profit_factor
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,9,False,10,0.28,0.006,1.5,146,146,146,0,0,0,0,0,0,0,146,186.30926934601433,2040.0,1.1166380789022299,0.06942829478504707,2492.5,0.016129293190752753,0.017387312026827306,1.0779959060323734,0.4589041095890411,0,0,True,-315.0,0.20833333333333334,6,False,min_profit_factor
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,c7cf87ef1b645f392f3a07175cb26ffaaf26d7e2065cc975fa793ab77e745177,a1541e5e7724a96a8e8a7fb9bd65140adfa896ca1d8e8f8d5f025123b50bc8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,10,False,16,0.28,0.012,1.5,146,146,146,0,0,0,0,0,0,0,146,186.30926934601433,3442.5,1.1620762711864407,0.05264643254767231,4325.0,0.027742142398973702,0.029378560166491763,1.05898671212857,0.4863013698630137,0,0,True,-580.0,0.23021060275962238,6,False,min_profit_factor
