artifact_type,path,status
campaign_yaml,campaigns/nq_real_yield_breakeven_state/campaign.yaml,written
methodology_audit,campaigns/nq_real_yield_breakeven_state/methodology_audit.md,written
campaign_summary_json,backtest-campaigns/nq_real_yield_breakeven_state/campaign_test_summary.json,written
campaign_summary_md,backtest-campaigns/nq_real_yield_breakeven_state/campaign_test_summary.md,written
campaign_results_csv,backtest-campaigns/nq_real_yield_breakeven_state/campaign_results.csv,written
density_audit_md,research_artifacts/nq_real_yield_breakeven_state_density_audit_20260630.md,written
density_audit_csv,research_artifacts/nq_real_yield_breakeven_state_density_audit_20260630.csv,written
density_summary_csv,research_artifacts/nq_real_yield_breakeven_state_density_summary_20260630.csv,written
trade_logs_manifest,backtest-campaigns/nq_real_yield_breakeven_state/trade_logs_manifest.csv,written
equity_curves_manifest,backtest-campaigns/nq_real_yield_breakeven_state/equity_curves_manifest.csv,written
wfa_table,backtest-campaigns/nq_real_yield_breakeven_state/wfa_table.csv,written_empty_not_reached
wfa_oos_trade_log,backtest-campaigns/nq_real_yield_breakeven_state/wfa_oos_trade_log.csv,written_empty_not_reached
monte_carlo_summary,backtest-campaigns/nq_real_yield_breakeven_state/monte_carlo_summary.json,not_run_failed_before_stage
artifact_manifest,backtest-campaigns/nq_real_yield_breakeven_state/artifact_manifest.csv,written
variants_index,backtest-campaigns/nq_real_yield_breakeven_state/variants_index.yaml,written
