window_id,train_start,train_end,test_start,test_end,objective,train_objective,selected_params,train_mar,train_cagr,train_max_drawdown_pct,train_net_profit,train_profit_factor,train_max_drawdown,test_mar,test_cagr,test_max_drawdown_pct,test_net_profit,test_profit_factor,test_max_drawdown,test_trades,test_passed
1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.45547363932256896,"{'entry.params.share_rank_min': 0.35, 'entry.params.min_abs_return_ticks': 4, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 2.5}",0.45547363932256896,0.024918936189041396,0.054709941559084756,13911.25,1.1983071988595866,8285.0,3.7960701052474093,0.06101456175809261,0.016073086130245738,6232.5,1.9291837495341035,2467.5,46,False
2,2020-05-06,2024-05-06,2024-05-06,2025-05-06,MAR,1.243167875093923,"{'entry.params.share_rank_min': 0.35, 'entry.params.min_abs_return_ticks': 3, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 2.5}",1.243167875093923,0.0376648554655481,0.030297481313778695,23838.75,1.3472126133343043,5077.5,3.9728705258538395,0.07468890789814941,0.018799733696858258,10975.0,1.5937246416012985,2965.0,70,False
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,2.1746358665783903,"{'entry.params.share_rank_min': 0.35, 'entry.params.min_abs_return_ticks': 4, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",2.1746358665783903,0.050412332354861755,0.023181964911753887,32343.75,1.5203305984555984,3860.0,3.8880566199446225,0.06528607760829641,0.016791442098193075,3177.5,1.416994750656168,2562.5,32,False
