variant_id,wfa_oos_trade_log,status,reason
high_1q_net_equity_short_1000,,skipped,halted at limited_core_grid_test
high_4q_net_equity_short_1030,,skipped,halted at limited_core_grid_test
rising_4q_net_equity_short_1130,,skipped,halted at limited_core_grid_test
high_equity_share_short_1200,,skipped,halted at limited_core_grid_test
low_debt_minus_equity_short_1330,,skipped,halted at limited_core_grid_test
