variant_id,terminal_stage,stage_result,core_combinations,core_profitable_iterations,core_profitable_rate,core_benchmark_passing,core_top_net,core_top_pf,core_top_trades,core_top_failure,monkey_net_beat_rate,monkey_drawdown_beat_rate,monkey_profitable_rate,monkey_median_net,decision
high_21d_emv_riskoff_short_1000,limited_core_grid_test,failed,27,0,0.0,0,-3380.0,0.7521085441877521,142,min_total_net_profit;max_consecutive_losses,,,,,FAIL
high_21d_emv_rebound_long_1330,limited_core_grid_test,failed,27,0,0.0,0,-805.0,0.9248014946286782,142,min_total_net_profit,,,,,FAIL
rising_5d_emv_short_1030,limited_monkey_test,failed,27,20,0.7407407407407407,10,3975.0,1.250157331655129,134,,0.89,0.769625,0.2275,-2067.5,FAIL
high_7d_emv_short_1130,limited_core_grid_test,failed,27,17,0.6296296296296297,0,2125.0,1.1383914034516445,175,max_consecutive_losses,,,,,FAIL
high_1d_emv_rebound_long_1200,limited_core_grid_test,failed,27,0,0.0,0,-675.0,0.9184782608695652,81,min_total_net_profit,,,,,FAIL
