start_timestamp,contract_symbol,source
2009-12-15 00:00:00-05:00,ESH0,rule_tuesday_expiration_week
2010-03-16 00:00:00-04:00,ESM0,rule_tuesday_expiration_week
2010-06-15 00:00:00-04:00,ESU0,rule_tuesday_expiration_week
2010-09-14 00:00:00-04:00,ESZ0,rule_tuesday_expiration_week
2010-12-14 00:00:00-05:00,ESH1,rule_tuesday_expiration_week
2011-03-15 00:00:00-04:00,ESM1,rule_tuesday_expiration_week
2011-06-14 00:00:00-04:00,ESU1,rule_tuesday_expiration_week
2011-09-13 00:00:00-04:00,ESZ1,rule_tuesday_expiration_week
2011-12-13 00:00:00-05:00,ESH2,rule_tuesday_expiration_week
2012-03-13 00:00:00-04:00,ESM2,rule_tuesday_expiration_week
2012-06-12 00:00:00-04:00,ESU2,rule_tuesday_expiration_week
2012-09-18 00:00:00-04:00,ESZ2,rule_tuesday_expiration_week
2012-12-18 00:00:00-05:00,ESH3,rule_tuesday_expiration_week
2013-03-12 00:00:00-04:00,ESM3,rule_tuesday_expiration_week
2013-06-18 00:00:00-04:00,ESU3,rule_tuesday_expiration_week
2013-09-17 00:00:00-04:00,ESZ3,rule_tuesday_expiration_week
2013-12-17 00:00:00-05:00,ESH4,rule_tuesday_expiration_week
2014-03-18 00:00:00-04:00,ESM4,rule_tuesday_expiration_week
2014-06-17 00:00:00-04:00,ESU4,rule_tuesday_expiration_week
2014-09-16 00:00:00-04:00,ESZ4,rule_tuesday_expiration_week
2014-12-16 00:00:00-05:00,ESH5,rule_tuesday_expiration_week
2015-03-17 00:00:00-04:00,ESM5,rule_tuesday_expiration_week
2015-06-16 00:00:00-04:00,ESU5,rule_tuesday_expiration_week
2015-09-15 00:00:00-04:00,ESZ5,rule_tuesday_expiration_week
2015-12-15 00:00:00-05:00,ESH6,rule_tuesday_expiration_week
2016-03-15 00:00:00-04:00,ESM6,rule_tuesday_expiration_week
2016-06-14 00:00:00-04:00,ESU6,rule_tuesday_expiration_week
2016-09-13 00:00:00-04:00,ESZ6,rule_tuesday_expiration_week
2016-12-13 00:00:00-05:00,ESH7,rule_tuesday_expiration_week
2017-03-14 00:00:00-04:00,ESM7,rule_tuesday_expiration_week
2017-06-13 00:00:00-04:00,ESU7,rule_tuesday_expiration_week
2017-09-12 00:00:00-04:00,ESZ7,rule_tuesday_expiration_week
2017-12-12 00:00:00-05:00,ESH8,rule_tuesday_expiration_week
2018-03-13 00:00:00-04:00,ESM8,rule_tuesday_expiration_week
2018-06-12 00:00:00-04:00,ESU8,rule_tuesday_expiration_week
2018-09-18 00:00:00-04:00,ESZ8,rule_tuesday_expiration_week
2018-12-18 00:00:00-05:00,ESH9,rule_tuesday_expiration_week
2019-03-12 00:00:00-04:00,ESM9,rule_tuesday_expiration_week
2019-06-18 00:00:00-04:00,ESU9,rule_tuesday_expiration_week
2019-09-17 00:00:00-04:00,ESZ9,rule_tuesday_expiration_week
2019-12-17 00:00:00-05:00,ESH0,rule_tuesday_expiration_week
2020-03-17 00:00:00-04:00,ESM0,rule_tuesday_expiration_week
2020-06-16 00:00:00-04:00,ESU0,rule_tuesday_expiration_week
2020-09-15 00:00:00-04:00,ESZ0,rule_tuesday_expiration_week
2020-12-15 00:00:00-05:00,ESH1,rule_tuesday_expiration_week
2021-03-16 00:00:00-04:00,ESM1,rule_tuesday_expiration_week
2021-06-15 00:00:00-04:00,ESU1,rule_tuesday_expiration_week
2021-09-14 00:00:00-04:00,ESZ1,rule_tuesday_expiration_week
2021-12-14 00:00:00-05:00,ESH2,rule_tuesday_expiration_week
2022-03-15 00:00:00-04:00,ESM2,rule_tuesday_expiration_week
2022-06-14 00:00:00-04:00,ESU2,rule_tuesday_expiration_week
2022-09-13 00:00:00-04:00,ESZ2,rule_tuesday_expiration_week
2022-12-12 17:00:00-05:00,ESH3,inferred_from_motivewave_rithmic_csv
2023-03-14 00:00:00-04:00,ESM3,inferred_from_motivewave_rithmic_csv
2023-06-13 00:00:00-04:00,ESU3,inferred_from_motivewave_rithmic_csv
2023-09-12 00:00:00-04:00,ESZ3,inferred_from_motivewave_rithmic_csv
2023-12-12 00:00:00-05:00,ESH4,inferred_from_motivewave_rithmic_csv
2024-03-12 00:00:00-04:00,ESM4,inferred_from_motivewave_rithmic_csv
2024-06-18 00:00:00-04:00,ESU4,inferred_from_motivewave_rithmic_csv
2024-09-17 00:00:00-04:00,ESZ4,inferred_from_motivewave_rithmic_csv
2024-12-17 00:00:00-05:00,ESH5,inferred_from_motivewave_rithmic_csv
2025-03-18 00:00:00-04:00,ESM5,inferred_from_motivewave_rithmic_csv
2025-06-17 00:00:00-04:00,ESU5,inferred_from_motivewave_rithmic_csv
2025-09-16 00:00:00-04:00,ESZ5,inferred_from_motivewave_rithmic_csv
2025-12-16 00:00:00-05:00,ESH6,inferred_from_motivewave_rithmic_csv
2026-03-17 00:00:00-04:00,ESM6,inferred_from_motivewave_rithmic_csv
2026-06-16 00:00:00-04:00,ESU6,rule_tuesday_expiration_week
2026-09-15 00:00:00-04:00,ESZ6,rule_tuesday_expiration_week
2026-12-15 00:00:00-05:00,ESH7,rule_tuesday_expiration_week
