variant,terminal_stage,stage_status,profitable_iterations,total_combinations,profitable_rate,top_net_profit,top_profit_factor,top_total_trades,top_trades_per_year,top_max_drawdown,top_mar,monkey_percentage_profitable,monkey_median_net_profit,report_path
tech_1d_strength_long_1000,limited_core_grid_test,failed,0,27,0.0,-4812.5,0.7124290409321781,139,90.62711433689313,6965.0,-0.4581015232632127,,,backtest-campaigns/nq_tech_relative_strength_intraday/tech_1d_strength_long_1000/NQ/run1/campaign_test_summary.json
tech_1d_weakness_short_1000,limited_core_grid_test,failed,0,27,0.0,-5292.5,0.7357713429855217,146,95.91133060300736,7577.5,-0.46868449414961455,,,backtest-campaigns/nq_tech_relative_strength_intraday/tech_1d_weakness_short_1000/NQ/run1/campaign_test_summary.json
tech_5d_strength_long_1030,limited_core_grid_test,failed,3,27,0.1111111111111111,1095.0,1.044162129461585,182,123.28907492674759,4335.0,0.17259660249979317,,,backtest-campaigns/nq_tech_relative_strength_intraday/tech_5d_strength_long_1030/NQ/run1/campaign_test_summary.json
tech_5d_weakness_short_1130,limited_monkey_test,failed,20,27,0.7407407407407407,2400.0,1.1681260945709282,140,91.12660804781912,2405.0,0.6668802155962357,0.1885,-2370.0,backtest-campaigns/nq_tech_relative_strength_intraday/tech_5d_weakness_short_1130/NQ/run1/campaign_test_summary.json
tech_attention_strength_long_1330,limited_core_grid_test,failed,0,81,0.0,-2232.5,0.6312964492155244,64,41.7384576278542,3255.0,-0.4510870848934529,,,backtest-campaigns/nq_tech_relative_strength_intraday/tech_attention_strength_long_1330/NQ/run1/campaign_test_summary.json
