extra_round_turn_cost,n,net,pf,cagr,mar,max_dd,max_dd_pct,worst_day,positive_month_rate,expectancy_ticks,early_net,mid_net,late_net,holdout_net,all_splits_positive,acceptance_shaped
0.0,1088,156047.5,1.7588105860756877,0.04784569529002236,1.2148716535765305,5907.5,0.03938333333333333,-3742.5,0.5909090909090909,13.874080882352942,2685.0,11250.0,87072.5,55040.0,True,True
6.25,1088,149247.5,1.7145173934639115,0.04630375032983047,1.1055411937086463,6282.5,0.041883333333333335,-3748.75,0.5795454545454546,13.874080882352942,1197.5,9312.5,84585.0,54152.5,True,True
12.5,1088,142447.5,1.6712572451816596,0.0447287088049515,0.9020916061502824,7437.5,0.04958333333333333,-3755.0,0.5625,13.874080882352942,-290.0,7375.0,82097.5,53265.0,False,False
25.0,1088,128847.5,1.5883648983412675,0.04147320870047411,0.6380493646226786,9750.0,0.065,-3767.5,0.5340909090909091,13.874080882352942,-3265.0,3500.0,77122.5,51490.0,False,False
50.0,1088,101647.5,1.436063534282129,0.03449107696984122,0.2461304255697518,21020.0,0.14013333333333333,-3792.5,0.48295454545454547,13.874080882352942,-9215.0,-4250.0,67172.5,47940.0,False,False
