n,net,pf,cagr,mar,max_dd,max_dd_pct,worst_day,positive_month_rate,expectancy_ticks,early_net,mid_net,late_net,holdout_net,combo_id,legs,families,all_splits_positive,gate_count,loose,acceptance_shaped,score
924,151330.0,1.9311899084685793,0.0468568332642425,1.045133827455223,6725.0,0.044833333333333336,-3217.5,0.6149425287356322,15.502164502164502,4962.5,11687.5,78290.0,56390.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long|volume::flow_cont:10:00:w30:h60:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:both|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|participation::broad_trade_flow_cont_0.1:15:00:w5:h60:short|volume::flow_cont:11:00:w30:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,7,"participation,volume",True,8,True,True,20.07861581675962
1050,150987.5,1.8955102161857595,0.04670139999618783,1.0593890358303477,6612.5,0.044083333333333335,-3217.5,0.6089385474860335,13.903809523809525,945.0,12015.0,79572.5,58455.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h60:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long|participation::broad_trade_flow_cont_0.05:15:00:w15:h30:long,7,"participation,volume",True,8,True,True,20.06348205952483
1071,149595.0,1.7954430648977746,0.04638333835325614,1.1908430899423914,5842.5,0.03895,-3742.5,0.6201117318435754,13.57422969187675,42.5,16070.0,88515.0,44967.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both|volume::flow_cont:13:30:w30:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:long|participation::broad_trade_flow_cont_0.05:15:00:w15:h30:long|volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,7,"participation,volume",True,8,True,True,20.062242423166314
1024,151267.5,1.9061868176304084,0.04684257816886017,1.0401756810257625,6755.0,0.045033333333333335,-3217.5,0.6271186440677966,14.2177734375,3617.5,11927.5,80142.5,55580.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h60:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:both|volume::flow_cont:13:30:w60:h120:source_trades_rank63>=0.9:source_large20_imbalance0.1:long|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long|participation::broad_trade_flow_cont_0.1:15:00:w5:h60:short,7,"participation,volume",True,8,True,True,20.058935410304006
926,151020.0,1.9000670490948373,0.04670880690466617,1.0643860289707443,6582.5,0.04388333333333334,-3217.5,0.603448275862069,15.44708423326134,5297.5,10920.0,82045.0,52757.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h60:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both|volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:11:00:w30:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:long|participation::broad_trade_flow_cont_0.1:15:00:w5:h60:short,7,"participation,volume",True,8,True,True,20.055177124512085
1049,151017.5,1.8319262921595902,0.04670823716900685,1.084976473147662,6457.5,0.04305,-3105.0,0.5977653631284916,13.917063870352717,1860.0,15135.0,83017.5,51005.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h120:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long|volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long|participation::broad_trade_flow_cont_0.05:15:00:w15:h30:long,7,"participation,volume",True,8,True,True,20.048961853937566
1047,150802.5,1.8949437702145338,0.04665922335339023,1.0584322877895704,6612.5,0.044083333333333335,-3217.5,0.6089385474860335,13.922636103151863,82.5,16365.0,79280.0,55075.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h60:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:13:30:w30:h120:source_trades_rank63>=0.9:source_large20_imbalance0.1:long|participation::broad_trade_flow_cont_0.05:15:00:w15:h30:long|volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,7,"participation,volume",True,8,True,True,20.042887164313637
1006,153020.0,1.7888035465745658,0.04716318479023873,1.00418420419245,7045.0,0.046966666666666664,-3105.0,0.559322033898305,14.56858846918489,1642.5,14770.0,81162.5,55445.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h120:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long|participation::large20_composition_cont_0.05:10:30:w60:h120:short|volume::flow_cont:11:00:w30:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,7,"participation,volume",True,8,True,True,20.038600595977396
1073,149810.0,1.7300860157411242,0.04643253667854852,1.2018775671755442,5795.0,0.03863333333333333,-3742.5,0.6067415730337079,13.569431500465983,930.0,18402.5,78382.5,52095.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both|volume::flow_cont:13:30:w60:h120:source_trades_rank63>=0.9:source_large20_imbalance0.1:long|participation::large20_composition_cont_0.1:10:30:w30:h120:short|participation::broad_trade_flow_cont_0.05:15:00:w15:h30:long,7,"participation,volume",True,8,True,True,20.036125971263765
1046,151120.0,1.8880139853975995,0.04680892518523394,1.0394283904937218,6755.0,0.045033333333333335,-3217.5,0.576271186440678,13.957934990439771,1480.0,11180.0,76710.0,61750.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both|volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long|volume::flow_cont:10:00:w30:h60:source_trades_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:14:30:w60:h60:source_volume_rank63>=0.9:source_large20_imbalance0.1:both|volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short|volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long|participation::large20_composition_cont_0.1:10:00:w30:h60:short,7,"participation,volume",True,8,True,True,20.029512551398764
