excluded_year,n,net,pf,cagr,mar,max_dd,max_dd_pct,worst_day,positive_month_rate,expectancy_ticks,early_net,mid_net,late_net,holdout_net
2011,1051,157907.5,1.788561654951997,0.05110647552494352,1.2976675969092726,5907.5,0.03938333333333333,-3742.5,0.6024096385542169,14.419600380589914,4545.0,11250.0,87072.5,55040.0
2012,1015,156412.5,1.785055524185959,0.0479275532014658,1.2169501447684927,5907.5,0.03938333333333333,-3742.5,0.5975609756097561,14.72807881773399,3050.0,11250.0,87072.5,55040.0
2013,1012,153415.0,1.765238427773344,0.04725259291390849,1.1998119233324203,5907.5,0.03938333333333333,-3742.5,0.5878787878787879,14.527667984189723,52.5,11250.0,87072.5,55040.0
2014,1036,153770.0,1.7648346182541657,0.04733285429555467,1.2018498763153957,5907.5,0.03938333333333333,-3742.5,0.593939393939394,14.274131274131275,407.5,11250.0,87072.5,55040.0
2015,1048,152460.0,1.756174982640611,0.04703624213854374,1.1943184631030996,5907.5,0.03938333333333333,-3742.5,0.5868263473053892,14.038167938931299,2685.0,7662.5,87072.5,55040.0
2016,1018,157485.0,1.8013382351070462,0.04816755474893575,1.223044132431716,5907.5,0.03938333333333333,-3742.5,0.6097560975609756,14.776031434184675,2685.0,12687.5,87072.5,55040.0
2017,1030,157125.0,1.7790903794424267,0.048087082128062786,1.2210008157781496,5907.5,0.03938333333333333,-3742.5,0.6097560975609756,14.603883495145631,2685.0,12327.5,87072.5,55040.0
2018,1015,149950.0,1.7732071725987135,0.046464555076769276,1.179802498775352,5907.5,0.03938333333333333,-3742.5,0.5914634146341463,14.21871921182266,2685.0,5152.5,87072.5,55040.0
2019,1019,151967.5,1.7612934737685824,0.04692441896458055,1.1914791103998448,5907.5,0.03938333333333333,-3742.5,0.5878787878787879,14.33071638861629,2685.0,7170.0,87072.5,55040.0
2020,1012,150377.5,1.8019598693420438,0.04656223918669444,1.1822828401191987,5907.5,0.03938333333333333,-3742.5,0.5878787878787879,14.287549407114625,2685.0,11250.0,81402.5,55040.0
2021,1001,146757.5,1.7924698957827097,0.04573092525549893,1.0276612416966053,6675.0,0.0445,-3742.5,0.5914634146341463,14.128871128871129,2685.0,11250.0,77782.5,55040.0
2022,1010,119737.5,1.6723615127607603,0.03920845475396306,0.9955595790257231,5907.5,0.03938333333333333,-3047.5,0.5696969696969697,11.884158415841584,2685.0,11250.0,50762.5,55040.0
2023,995,138762.5,1.7560958997411797,0.043860819200594925,1.1136898654404128,5907.5,0.03938333333333333,-3742.5,0.5853658536585366,13.55678391959799,2685.0,11250.0,69787.5,55040.0
2024,1018,133185.0,1.7160195153421234,0.04252731801127063,1.0798303346069564,5907.5,0.03938333333333333,-3742.5,0.5792682926829268,12.866404715127702,2685.0,11250.0,68555.0,50695.0
2025,984,114767.5,1.659195014431154,0.03794259282079815,0.9634175070875535,5907.5,0.03938333333333333,-3742.5,0.5792682926829268,11.730691056910569,2685.0,11250.0,87072.5,13760.0
2026,1056,146632.5,1.7485068912710566,0.047084255383771145,1.1955375890927926,5907.5,0.03938333333333333,-3742.5,0.5941176470588235,13.508522727272727,2685.0,11250.0,87072.5,45625.0
