entry_ts,exit_ts,gross_ticks,pnl,leg_id,year,month
2011-03-07 14:30:00,2011-03-07 15:29:00,16.0,170.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2011,2011-03
2011-03-16 14:30:00,2011-03-16 15:29:00,-23.0,-317.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2011,2011-03
2011-03-18 10:00:00,2011-03-18 12:59:00,21.0,232.5,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short,2011,2011-03
2011-04-20 13:30:00,2011-04-20 15:29:00,-7.0,-117.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2011,2011-04
2011-05-04 13:30:00,2011-05-04 15:29:00,14.0,145.0,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,2011,2011-05
2011-05-12 13:30:00,2011-05-12 15:29:00,0.0,-30.0,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,2011,2011-05
2011-05-27 13:30:00,2011-05-27 15:29:00,3.0,7.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2011,2011-05
2011-06-07 15:00:00,2011-06-07 15:59:00,-35.0,-467.5,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2011,2011-06
2011-06-08 14:30:00,2011-06-08 15:29:00,-0.0,-30.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2011,2011-06
2011-06-09 13:30:00,2011-06-09 15:29:00,3.0,7.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2011,2011-06
2011-06-10 10:30:00,2011-06-10 12:29:00,17.0,182.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2011,2011-06
2011-06-10 15:00:00,2011-06-10 15:59:00,-34.0,-455.0,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2011,2011-06
2011-06-13 10:30:00,2011-06-13 12:29:00,26.0,295.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2011,2011-06
2011-06-14 15:00:00,2011-06-14 15:59:00,-13.0,-192.5,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2011,2011-06
2011-06-16 14:30:00,2011-06-16 15:29:00,-4.0,-80.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2011,2011-06
2011-06-17 10:00:00,2011-06-17 12:59:00,23.0,257.5,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short,2011,2011-06
2011-06-23 10:00:00,2011-06-23 12:59:00,-16.0,-230.0,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short,2011,2011-06
2011-06-23 13:30:00,2011-06-23 15:29:00,19.0,207.5,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,2011,2011-06
2011-06-27 15:00:00,2011-06-27 15:59:00,-13.0,-192.5,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2011,2011-06
2011-07-12 14:30:00,2011-07-12 15:29:00,-23.0,-317.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2011,2011-07
2011-07-19 14:30:00,2011-07-19 15:29:00,10.0,95.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2011,2011-07
2011-07-21 13:30:00,2011-07-21 15:29:00,-5.0,-92.5,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,2011,2011-07
2011-08-03 14:30:00,2011-08-03 15:29:00,27.0,307.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2011,2011-08
2011-08-10 13:30:00,2011-08-10 15:29:00,-10.0,-155.0,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,2011,2011-08
2011-09-07 10:00:00,2011-09-07 12:59:00,-24.0,-330.0,volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short,2011,2011-09
2011-09-07 13:30:00,2011-09-07 15:29:00,12.0,120.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2011,2011-09
2011-09-12 15:00:00,2011-09-12 15:59:00,79.0,957.5,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2011,2011-09
2011-09-23 10:00:00,2011-09-23 12:59:00,-1.0,-42.5,volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short,2011,2011-09
2011-10-04 10:00:00,2011-10-04 12:59:00,-82.0,-1055.0,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short,2011,2011-10
2011-10-19 14:30:00,2011-10-19 15:29:00,12.0,120.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2011,2011-10
