entry_ts,exit_ts,gross_ticks,pnl,leg_id,year,month
2011-10-20 13:30:00,2011-10-20 15:29:00,-2.0,-55.0,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,2011,2011-10
2011-11-01 14:30:00,2011-11-01 15:29:00,-32.0,-430.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2011,2011-11
2011-11-09 14:30:00,2011-11-09 15:29:00,-15.0,-217.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2011,2011-11
2011-12-07 10:30:00,2011-12-07 12:29:00,-45.0,-592.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2011,2011-12
2011-12-08 13:30:00,2011-12-08 15:29:00,11.0,107.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2011,2011-12
2011-12-12 15:00:00,2011-12-12 15:59:00,18.0,195.0,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2011,2011-12
2011-12-14 10:30:00,2011-12-14 12:29:00,13.0,132.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2011,2011-12
2012-01-04 10:30:00,2012-01-04 12:29:00,-26.0,-355.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-01
2012-01-10 15:00:00,2012-01-10 15:59:00,-6.0,-105.0,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2012,2012-01
2012-01-17 13:30:00,2012-01-17 15:29:00,-23.0,-317.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-01
2012-01-19 13:30:00,2012-01-19 15:29:00,-5.0,-92.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-01
2012-01-20 13:30:00,2012-01-20 15:29:00,-3.0,-67.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-01
2012-01-25 13:30:00,2012-01-25 15:29:00,17.0,182.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-01
2012-01-26 10:30:00,2012-01-26 12:29:00,21.0,232.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-01
2012-01-26 13:30:00,2012-01-26 15:29:00,35.0,407.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-01
2012-01-27 10:30:00,2012-01-27 12:29:00,11.0,107.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-01
2012-01-31 10:30:00,2012-01-31 12:29:00,21.0,232.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-01
2012-02-01 13:30:00,2012-02-01 15:29:00,14.0,145.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-02
2012-02-06 13:30:00,2012-02-06 15:29:00,2.0,-5.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-02
2012-02-08 13:30:00,2012-02-08 15:29:00,7.0,57.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-02
2012-02-09 10:30:00,2012-02-09 12:29:00,-22.0,-305.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-02
2012-02-09 13:30:00,2012-02-09 15:29:00,-4.0,-80.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-02
2012-02-14 10:30:00,2012-02-14 12:29:00,1.0,-17.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-02
2012-02-17 13:30:00,2012-02-17 15:29:00,10.0,95.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-02
2012-02-29 13:30:00,2012-02-29 15:29:00,8.0,70.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-02
2012-03-06 10:30:00,2012-03-06 12:29:00,13.0,132.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-03
2012-03-06 13:30:00,2012-03-06 15:29:00,2.0,-5.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-03
2012-03-07 13:30:00,2012-03-07 15:29:00,4.0,20.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-03
2012-03-08 13:30:00,2012-03-08 15:29:00,12.0,120.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-03
2012-03-12 13:30:00,2012-03-12 15:29:00,8.0,70.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-03
2012-03-13 13:30:00,2012-03-13 15:29:00,28.0,320.0,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,2012,2012-03
2012-03-14 10:30:00,2012-03-14 12:29:00,18.0,195.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-03
2012-03-14 13:30:00,2012-03-14 15:29:00,-20.0,-280.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-03
2012-03-19 10:30:00,2012-03-19 12:29:00,-19.0,-267.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-03
2012-03-19 13:30:00,2012-03-19 15:29:00,-9.0,-142.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-03
2012-03-21 10:30:00,2012-03-21 12:29:00,-8.0,-130.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-03
2012-03-23 13:30:00,2012-03-23 15:29:00,0.0,-30.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-03
2012-04-03 14:30:00,2012-04-03 15:29:00,-1.0,-42.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2012,2012-04
2012-04-10 14:30:00,2012-04-10 15:29:00,-9.0,-142.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2012,2012-04
2012-04-13 10:00:00,2012-04-13 12:59:00,6.0,45.0,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short,2012,2012-04
2012-04-16 10:00:00,2012-04-16 12:59:00,5.0,32.5,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short,2012,2012-04
2012-04-16 14:30:00,2012-04-16 15:29:00,-5.0,-92.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2012,2012-04
2012-05-03 14:30:00,2012-05-03 15:29:00,-8.0,-130.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2012,2012-05
2012-05-15 14:30:00,2012-05-15 15:29:00,43.0,507.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2012,2012-05
2012-05-16 14:30:00,2012-05-16 15:29:00,8.0,70.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2012,2012-05
2012-05-17 13:30:00,2012-05-17 15:29:00,-25.0,-342.5,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,2012,2012-05
2012-05-18 10:00:00,2012-05-18 12:59:00,9.0,82.5,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short,2012,2012-05
2012-05-18 14:30:00,2012-05-18 15:29:00,13.0,132.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2012,2012-05
2012-05-24 14:30:00,2012-05-24 15:29:00,-14.0,-205.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2012,2012-05
2012-05-31 10:00:00,2012-05-31 12:59:00,-20.0,-280.0,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short,2012,2012-05
2012-06-01 14:30:00,2012-06-01 15:29:00,6.0,45.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2012,2012-06
2012-06-11 10:30:00,2012-06-11 12:29:00,13.0,132.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-06
2012-06-11 13:30:00,2012-06-11 15:29:00,44.0,520.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-06
2012-06-12 10:30:00,2012-06-12 12:29:00,-30.0,-405.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-06
2012-06-14 10:00:00,2012-06-14 12:59:00,-19.0,-267.5,volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short,2012,2012-06
2012-06-14 13:30:00,2012-06-14 15:29:00,4.0,20.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-06
2012-06-19 13:30:00,2012-06-19 15:29:00,-9.0,-142.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-06
2012-06-29 15:00:00,2012-06-29 15:59:00,16.0,170.0,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2012,2012-06
2012-07-11 14:30:00,2012-07-11 15:29:00,-6.0,-105.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2012,2012-07
2012-07-16 13:30:00,2012-07-16 15:29:00,-3.0,-67.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-07
2012-07-27 13:30:00,2012-07-27 15:29:00,19.0,207.5,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,2012,2012-07
2012-08-02 10:00:00,2012-08-02 12:59:00,40.0,470.0,volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short,2012,2012-08
2012-08-16 15:00:00,2012-08-16 15:59:00,0.0,-30.0,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2012,2012-08
2012-09-04 10:30:00,2012-09-04 12:29:00,3.0,7.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-09
2012-09-04 15:00:00,2012-09-04 15:59:00,-13.0,-192.5,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2012,2012-09
2012-09-12 10:30:00,2012-09-12 12:29:00,-4.0,-80.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-09
2012-09-17 13:30:00,2012-09-17 15:29:00,-18.0,-255.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-09
2012-10-19 10:00:00,2012-10-19 12:59:00,48.0,570.0,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short,2012,2012-10
2012-11-05 15:00:00,2012-11-05 15:59:00,7.0,57.5,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2012,2012-11
2012-11-07 13:30:00,2012-11-07 15:29:00,13.0,132.5,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,2012,2012-11
2012-11-14 14:30:00,2012-11-14 15:29:00,31.0,357.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2012,2012-11
2012-11-16 10:00:00,2012-11-16 12:59:00,-33.0,-442.5,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short,2012,2012-11
2012-11-19 13:30:00,2012-11-19 15:29:00,-14.0,-205.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-11
2012-11-26 13:30:00,2012-11-26 15:29:00,3.0,7.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-11
2012-11-27 13:30:00,2012-11-27 15:29:00,-10.0,-155.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-11
2012-12-11 13:30:00,2012-12-11 15:29:00,-17.0,-242.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-12
2012-12-18 13:30:00,2012-12-18 15:29:00,4.0,20.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-12
2012-12-19 10:30:00,2012-12-19 12:29:00,-8.0,-130.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2012,2012-12
2012-12-28 13:30:00,2012-12-28 15:29:00,8.0,70.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-12
2012-12-31 13:30:00,2012-12-31 15:29:00,-18.0,-255.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2012,2012-12
2013-01-02 10:30:00,2013-01-02 12:29:00,15.0,157.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2013,2013-01
2013-01-03 13:30:00,2013-01-03 15:29:00,-28.0,-380.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-01
2013-01-04 13:30:00,2013-01-04 15:29:00,16.0,170.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-01
2013-01-07 15:00:00,2013-01-07 15:59:00,4.0,20.0,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2013,2013-01
2013-01-10 15:00:00,2013-01-10 15:59:00,10.0,95.0,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2013,2013-01
2013-01-14 10:30:00,2013-01-14 12:29:00,-4.0,-80.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2013,2013-01
2013-01-14 13:30:00,2013-01-14 15:29:00,4.0,20.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-01
2013-01-16 13:30:00,2013-01-16 15:29:00,0.0,-30.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-01
2013-01-18 15:00:00,2013-01-18 15:59:00,14.0,145.0,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2013,2013-01
2013-01-22 10:30:00,2013-01-22 12:29:00,-24.0,-330.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2013,2013-01
2013-01-22 13:30:00,2013-01-22 15:29:00,7.0,57.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-01
2013-01-24 10:00:00,2013-01-24 12:59:00,14.0,145.0,volume::vwap_stretch_fade:10:00:w30:h180:source_volume_rank63>=0.8:source_large20_imbalance0.1:short,2013,2013-01
2013-01-25 10:30:00,2013-01-25 12:29:00,-14.0,-205.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2013,2013-01
2013-01-29 13:30:00,2013-01-29 15:29:00,-9.0,-142.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-01
2013-01-30 10:30:00,2013-01-30 12:29:00,-1.0,-42.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2013,2013-01
2013-02-04 13:30:00,2013-02-04 15:29:00,-4.0,-80.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-02
2013-02-06 13:30:00,2013-02-06 15:29:00,-16.0,-230.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-02
2013-02-07 10:30:00,2013-02-07 12:29:00,1.0,-17.5,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2013,2013-02
2013-02-08 13:30:00,2013-02-08 15:29:00,-2.0,-55.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-02
2013-02-15 14:30:00,2013-02-15 15:29:00,-11.0,-167.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2013,2013-02
2013-02-19 15:00:00,2013-02-19 15:59:00,5.0,32.5,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long,2013,2013-02
2013-02-20 14:30:00,2013-02-20 15:29:00,36.0,420.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2013,2013-02
2013-02-22 10:30:00,2013-02-22 12:29:00,-12.0,-180.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2013,2013-02
2013-02-25 10:30:00,2013-02-25 12:29:00,28.0,320.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2013,2013-02
2013-02-25 14:30:00,2013-02-25 15:29:00,28.0,320.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2013,2013-02
2013-03-04 14:30:00,2013-03-04 15:29:00,3.0,7.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2013,2013-03
2013-03-14 13:30:00,2013-03-14 15:29:00,-3.0,-67.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-03
2013-03-25 14:30:00,2013-03-25 15:29:00,-18.0,-255.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2013,2013-03
2013-04-03 10:00:00,2013-04-03 12:59:00,33.0,382.5,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short,2013,2013-04
2013-04-03 14:30:00,2013-04-03 15:29:00,-1.0,-42.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2013,2013-04
2013-04-09 13:30:00,2013-04-09 15:29:00,2.0,-5.0,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long,2013,2013-04
2013-04-15 14:30:00,2013-04-15 15:29:00,14.0,145.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2013,2013-04
2013-04-17 14:30:00,2013-04-17 15:29:00,-1.0,-42.5,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2013,2013-04
2013-04-18 10:00:00,2013-04-18 12:59:00,1.0,-17.5,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short,2013,2013-04
2013-04-19 10:00:00,2013-04-19 12:59:00,-23.0,-317.5,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short,2013,2013-04
2013-05-02 13:30:00,2013-05-02 15:29:00,-1.0,-42.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-05
2013-05-03 13:30:00,2013-05-03 15:29:00,6.0,45.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-05
2013-05-07 10:30:00,2013-05-07 12:29:00,-12.0,-180.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2013,2013-05
2013-05-07 13:30:00,2013-05-07 15:29:00,5.0,32.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-05
2013-05-09 10:30:00,2013-05-09 12:29:00,-4.0,-80.0,participation::large20_composition_cont_0.1:10:30:w30:h120:short,2013,2013-05
2013-05-15 13:30:00,2013-05-15 15:29:00,10.0,95.0,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-05
2013-05-17 13:30:00,2013-05-17 15:29:00,29.0,332.5,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both,2013,2013-05
2013-05-22 14:30:00,2013-05-22 15:29:00,38.0,445.0,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both,2013,2013-05
