entry_ts,exit_ts,planned_exit_ts,entry_price,exit_price,direction,gross_ticks,pnl,exit_reason,leg_id
2011-03-07 14:30:00,2011-03-07 15:29:00,2011-03-07 15:29:00,1307.25,1311.25,long,16.0,170.0,time,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both
2011-03-16 14:30:00,2011-03-16 15:29:00,2011-03-16 15:29:00,1250.5,1256.25,short,-23.0,-317.5,time,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both
2011-03-18 10:00:00,2011-03-18 12:59:00,2011-03-18 12:59:00,1282.25,1277.0,short,21.0,232.5,time,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short
2011-04-20 13:30:00,2011-04-20 15:29:00,2011-04-20 15:29:00,1325.25,1327.0,short,-7.0,-117.5,time,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both
2011-05-04 13:30:00,2011-05-04 15:29:00,2011-05-04 15:29:00,1342.0,1345.5,long,14.0,145.0,time,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long
2011-05-12 13:30:00,2011-05-12 15:29:00,2011-05-12 15:29:00,1345.5,1345.5,long,0.0,-30.0,time,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long
2011-05-27 13:30:00,2011-05-27 15:29:00,2011-05-27 15:29:00,1330.25,1329.5,short,3.0,7.5,time,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both
2011-06-07 15:00:00,2011-06-07 15:59:00,2011-06-07 15:59:00,1292.75,1284.0,long,-35.0,-467.5,time,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long
2011-06-08 14:30:00,2011-06-08 15:29:00,2011-06-08 15:29:00,1277.75,1277.75,long,0.0,-30.0,time,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both
2011-06-09 13:30:00,2011-06-09 15:29:00,2011-06-09 15:29:00,1291.0,1291.75,long,3.0,7.5,time,volume::flow_no_price_follow:13:30:w15:h120:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:both
2011-06-10 10:30:00,2011-06-10 12:29:00,2011-06-10 12:29:00,1277.25,1273.0,short,17.0,182.5,time,participation::large20_composition_cont_0.1:10:30:w30:h120:short
2011-06-10 15:00:00,2011-06-10 15:59:00,2011-06-10 15:59:00,1278.25,1269.75,long,-34.0,-455.0,time,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long
2011-06-13 10:30:00,2011-06-13 12:29:00,2011-06-13 12:29:00,1276.0,1269.5,short,26.0,295.0,time,participation::large20_composition_cont_0.1:10:30:w30:h120:short
2011-06-14 15:00:00,2011-06-14 15:59:00,2011-06-14 15:59:00,1285.75,1282.5,long,-13.0,-192.5,time,volume::flow_cont:15:00:w60:h60:source_avg_trade_size_rank63>=0.8:source_large20_imbalance0.1:long
2011-06-16 14:30:00,2011-06-16 15:29:00,2011-06-16 15:29:00,1257.75,1258.75,short,-4.0,-80.0,time,volume::flow_cont:14:30:w60:h60:source_trades_rank63>=0.9:source_large20_imbalance0.1:both
2011-06-17 10:00:00,2011-06-17 12:59:00,2011-06-17 12:59:00,1272.0,1266.25,short,23.0,257.5,time,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short
2011-06-23 10:00:00,2011-06-23 12:59:00,2011-06-23 12:59:00,1262.25,1266.25,short,-16.0,-230.0,time,volume::flow_cont:10:00:w30:h180:source_trades_rank63>=0.8:source_large20_imbalance0.1:short
2011-06-23 13:30:00,2011-06-23 15:29:00,2011-06-23 15:29:00,1268.0,1272.75,long,19.0,207.5,time,volume::flow_cont:13:30:w60:h120:source_volume_rank63>=0.9:source_large20_imbalance0.1:long
